TRR Name,State,Number of Medicare beneficiaries with ESRD,Percent of patients with end-stage renal disease,Percent of ESRD patients using AV fistulas,Percent of ESRD patients receiving living donor transplants within two years of starting dialysis,Percent of ESRD patients receiving deceased donor transplants within two years of starting dialysis,Percent readmitted within 30 days following transplant
Louisville,KY,2534,0.2155457282,16.2146731373109,1.5129888666857,3.05452469312018,42.2222222222222
New Orleans,LA,4931,0.2293526588,14.429830162176,1.64729919550504,2.65611033073682,53.0434782608696
Shreveport,LA,1938,0.2628104918,13.217253660467,1.06846062524733,0.949742777997626,
Boston,MA,4875,0.1894488766,18.8453337707069,6.93783828112186,2.32901426931278,54.6875
Springfield,MA,920,0.1997281758,22.2664015904573,5.26838966202783,1.49105367793241,
Worcester,MA,467,0.1846005707,20.1459854014599,6.27737226277372,4.67153284671533,57.8947368421053
Baltimore,MD,5927,0.2291369115,11.637819684836,3.85211995863495,3.68407445708376,58.8235294117647
Portland,ME,1028,0.1330550897,23.7213403880071,5.55555555555556,3.17460317460317,50
Ann Arbor,MI,4588,0.2344766504,13.4158415841584,3.99339933993399,2.0957095709571,56.25
Detroit,MI,5284,0.2305795271,10.7397924807977,2.883708395095,2.04824147688991,61.2903225806452
Grand Rapids,MI,1196,0.1818913278,13.5359116022099,6.52294085129906,2.32172470978441,40
Minneapolis,MN,2399,0.1633684085,13.0204081632653,9.94080424576444,3.93957950602164,61.7647058823529
Rochester,MN,1008,0.1979547514,15.6807511737089,10.1408450704225,2.72300469483568,
Columbia,MO,654,0.1685731702,11.9341563786008,3.43406593406593,4.3956043956044,64.7058823529412
Kansas City,MO,3235,0.2054429447,11.8910816887335,2.30057514378595,5.27631907976994,45.0549450549451
St Louis,MO,5860,0.2298196314,10.1703344523188,2.6613605272976,2.67379679144385,63.1578947368421
Jackson,MS,659,0.2170501329,10.2564102564103,,2.21445221445221,
Charlotte,NC,2069,0.1700070343,20.1122544434051,2.33936369307548,3.30630068621335,55.5555555555556
Durham,NC,4405,0.2039801717,14.5384983261597,2.05676020408163,1.76977040816327,47.5
Greenville,NC,1259,0.1890089418,15.8102766798419,2.43741765480896,1.11989459815547,77.2727272727273
Winston-Salem,NC,2255,0.1898629677,15.7089228992203,2.10799884493214,5.51544903263067,53.0864197530864
Bismarck,ND,461,0.1844295882,17.1656686626747,4.99001996007984,3.99201596806387,
Fargo/Moorhead MN,ND,667,0.2652857107,11.4285714285714,5.4421768707483,3.53741496598639,40
Omaha,NE,2225,0.2046578144,12.1445042275173,4.88086087624904,3.7663335895465,49.1525423728814
Lebanon,NH,498,0.1464928351,21.3872832369942,8.47784200385357,4.04624277456647,
New Brunswick,NJ,268,0.2416688107,14.2857142857143,6.62020905923345,3.13588850174216,
Newark,NJ,7372,0.2813013785,13.0648667200549,4.65728344204142,2.01396040736926,51.8987341772152
Albuquerque,NM,1415,0.1537271902,15.5858930602958,3.03375047402351,2.27531285551763,50
Las Vegas,NV,1345,0.2307459028,9.59367945823928,1.31677953348382,2.21971407072987,46.6666666666667
Albany,NY,1748,0.2353940389,15.0226244343891,2.21719457013575,1.99095022624434,55.8823529411765
Buffalo,NY,1160,0.2279456316,14.8112756808409,4.30004777830865,2.77114190157668,60.5263157894737
East Long Island,NY,187,0.1901988292,17.1270718232044,6.62983425414365,1.65745856353591,
Manhattan,NY,11993,0.2239509456,15.2210408505876,5.05749465757607,2.4880431464333,51.5850144092219
Rochester,NY,1084,0.2101776116,17.6415970287837,3.80687093779016,1.71773444753946,44.1176470588235
Syracuse,NY,1341,0.2036046073,16.9751116783663,2.04211869814933,1.531589023612,52.1739130434783
White Plains,NY,1020,0.2196159871,12.8274616079494,6.23869801084991,1.5370705244123,60
Cincinnati,OH,2571,0.278638749,11.568345323741,4.69064748201439,1.41007194244604,59.6774193548387
Cleveland,OH,4997,0.2543989102,15.6929974943954,2.54550250593511,1.51675019783698,62.6168224299065
Columbus,OH,4937,0.2827319007,11.1868166693076,3.93026941362916,2.6148969889065,40.650406504065
Dayton,OH,885,0.2268568978,14.2642642642643,3.07807807807808,4.05405405405405,48.1481481481481
Toledo,OH,1228,0.2902372152,7.64671013633669,3.6158861885003,2.7267338470658,70
Oklahoma City,OK,2653,0.2087987099,10.1192207036929,2.1808665309683,2.7042744984007,44
Tulsa,OK,1172,0.1752898707,13.0010834236186,1.84182015167931,2.11267605633803,40.7407407407407
Portland,OR,1908,0.1494623291,20.8137715179969,4.29242119382964,3.15224681421865,57.4074074074074
Allentown,PA,500,0.2164695169,9.35251798561151,2.73381294964029,5.03597122302158,75
Danville,PA,848,0.1953993224,15.25,6.25,2.5,41.3793103448276
Harrisburg,PA,1504,0.16993259,10.2893890675241,4.13987138263666,2.04983922829582,54.7619047619048
Philadelphia,PA,8070,0.2318792793,13.658420173415,2.87191726332538,3.2140015910899,48.3985765124555
Pittsburgh,PA,3818,0.2447729621,12.5518802666331,2.56571500440196,2.40221355804301,58.5858585858586
Providence,RI,749,0.1949202895,14.9129447388342,4.08781226343679,1.43830431491294,60
Charleston,SC,4403,0.1863609358,14.351371386212,1.83867141162515,3.06939501779359,48.780487804878
Sioux Falls,SD,705,0.1512037686,8.66666666666667,6.44444444444444,4.22222222222222,54.1666666666667
Chattanooga,TN,677,0.180929691,18.729817007535,3.01399354144241,1.72228202368138,
Johnson City,TN,576,0.1667798878,11.7713004484305,2.13004484304933,6.16591928251121,
Knoxville,TN,1455,0.2524083611,12.4662709120345,1.78089584457636,2.15866162978953,40
Memphis,TN,3087,0.2274181614,9.77308917197452,1.49283439490446,2.2093949044586,41.6666666666667
Nashville,TN,2128,0.1816664003,13.6721113127647,3.29803328290469,2.84417549167927,53.6231884057971
Austin,TX,900,0.1787877116,13.1112686038271,4.25230333097094,2.12615166548547,45.8333333333333
Dallas,TX,4854,0.1953493182,14.4667776213033,2.82970550576184,3.23943661971831,45
El Paso,TX,601,0.1857905484,7.00757575757576,2.08333333333333,1.32575757575758,
Fort Worth,TX,1123,0.2267860427,8.39805825242718,2.03883495145631,1.69902912621359,74.1935483870968
Houston,TX,6807,0.2692995342,8.34272829763247,2.34874107478392,2.15144682450207,50.354609929078
Lubbock,TX,1175,0.2234274696,6.42325895875592,4.73292765382015,2.29885057471264,
Odessa,TX,523,0.2456073234,9.91735537190083,1.92837465564738,2.06611570247934,
San Antonio,TX,5713,0.2525772656,10.8220397665447,3.23634204275534,0.811559778305622,52.5
Temple,TX,315,0.1654807955,20.5985915492958,2.99295774647887,3.16901408450704,
Tyler,TX,566,0.1901606145,14.2394822006472,1.94174757281553,2.9126213592233,
Salt Lake City,UT,1699,0.1580649461,15.1118760757315,7.09122203098107,4.81927710843374,48.9795918367347
Charlottesville,VA,2554,0.2164377063,14.4526034712951,3.63818424566088,2.369826435247,52.3809523809524
Norfolk,VA,1587,0.1876973638,11.4796869176295,2.75810659709281,1.00633619083116,44.7368421052632
Richmond,VA,2256,0.191537675,12.5776857058301,3.43296833382658,3.01864456939923,44.4444444444444
Burlington,VT,601,0.1797367036,15.2307692307692,5.39291217257319,7.08782742681048,73.6842105263158
Seattle,WA,4065,0.1537094741,20.1807698301387,4.56670822942643,3.38216957605985,64.9122807017544
Spokane,WA,1000,0.1820293012,18.3835182250396,3.64500792393027,2.37717908082409,40.625
Madison,WI,3030,0.1930406903,15.7207314177155,5.9144893111639,5.72446555819477,50.9090909090909
Milwaukee,WI,2216,0.2407162244,14.3553101656382,3.28028580708022,5.19649236765184,45.7627118644068
Charleston,WV,1303,0.2682934469,9.86372485399091,1.23296560674886,2.14146658014276,60.7142857142857
Morgantown,WV,38,0.150680507,20.3703703703704,,1.85185185185185,
United States,US,282820,0.213917246383262,13.02736596,3.333431685,2.5,53.4
