HSA #,HSA label,Medicare Enrollees (1993),"All Medical Discharges per 1,000 Medicare Enrollees (1993)","Medical Discharges Excluding ACS Events per 1,000 Medicare Enrollees (1993)","Discharges for Ambulatory Care Sensitive Conditions per 1,000 Medicare Enrollees (1993)","Discharges for Convulsions per 1,000 Medicare Enrollees (1993)","COPD Discharges per 1,000 Medicare Enrollees (1993)","Bacterial Pneumonia Discharges per 1,000 Medicare Enrollees (1993)","Asthma Discharges per 1,000 Medicare Enrollees (1993)","Congestive Heart Failure Discharges per 1,000 Medicare Enrollees (1993)","Hypertension Discharges per 1,000 Medicare Enrollees (1993)","Angina Discharges per 1,000 Medicare Enrollees (1993)","Cellulitis Discharges per 1,000 Medicare Enrollees (1993)","Diabetes Discharges per 1,000 Medicare Enrollees (1993)","Gastroenteritis Discharges per 1,000 Medicare Enrollees (1993)","Kidney/Urinary Infection Discharges per 1,000 Medicare Enrollees (1993)","Dehydration Discharges per 1,000 Medicare Enrollees (1993)"
49037,VA-Newport News,"26,100",197.0 ,138.2 ,60.9 ,1.16 ,7.29 ,9.85 ,1.38 ,20.04 ,0.53 ,6.23 ,1.41 ,1.88 ,1.32 ,4.86 ,4.69 
49038,VA-Norfolk,"32,440",208.6 ,143.4 ,68.3 ,0.85 ,8.98 ,12.73 ,2.48 ,19.69 ,0.71 ,6.15 ,2.42 ,2.27 ,1.28 ,4.93 ,5.68 
49039,VA-Norton,"3,991",483.4 ,286.3 ,201.9 ,,35.13 ,27.46 ,,38.01 ,,34.77 ,,,,,
49040,VA-Pearisburg,"3,182",302.3 ,184.9 ,121.1 ,,,22.65 ,,31.80 ,,,,,,,
49041,VA-Pennington Gap,"2,756",432.7 ,272.1 ,160.8 ,,,30.61 ,,37.70 ,,,,,,,
49042,VA-Petersburg,"13,830",230.5 ,157.4 ,75.1 ,,5.10 ,14.13 ,5.52 ,22.51 ,,7.72 ,2.20 ,1.99 ,,5.05 ,5.88 
49043,VA-Portsmouth,"18,819",217.4 ,146.4 ,73.6 ,1.46 ,9.18 ,12.04 ,2.13 ,23.15 ,,8.15 ,2.07 ,1.81 ,,5.46 ,5.70 
49044,VA-Pulaski,"3,184",380.6 ,258.9 ,122.6 ,,,9.42 ,,30.38 ,,,,,,,
49045,VA-Radford,"4,344",229.1 ,154.7 ,76.1 ,,4.78 ,16.53 ,,21.19 ,,10.18 ,,,,,
49046,VA-Reston,"5,351",208.1 ,140.6 ,70.4 ,,10.74 ,10.39 ,,22.09 ,,7.59 ,,,,6.73 ,
49047,VA-Richlands,"3,523",438.8 ,253.2 ,190.1 ,,43.28 ,26.29 ,,44.31 ,,27.26 ,,,,,
49048,VA-Richmond,"94,809",216.8 ,151.9 ,67.1 ,1.23 ,7.68 ,10.14 ,3.78 ,20.60 ,0.70 ,5.87 ,2.06 ,2.15 ,1.21 ,5.16 ,5.94 
49049,VA-Roanoke,"33,721",210.2 ,142.4 ,70.1 ,1.31 ,8.97 ,13.00 ,1.99 ,20.39 ,0.89 ,6.86 ,1.60 ,2.62 ,1.27 ,4.88 ,6.35 
49050,VA-Rocky Mount,"3,181",241.9 ,161.5 ,82.6 ,,,22.57 ,,21.03 ,,,,,,,
49051,VA-Salem,"6,947",201.3 ,139.2 ,63.7 ,,7.20 ,15.75 ,,21.00 ,,4.86 ,,,,5.61 ,2.17 
49052,VA-South Boston,"9,270",232.9 ,156.5 ,78.1 ,,13.38 ,17.79 ,,17.14 ,,9.12 ,,1.60 ,,5.56 ,7.33 
49053,VA-South Hill,"4,447",263.2 ,186.3 ,79.3 ,,7.58 ,17.56 ,,17.42 ,,14.17 ,,,,5.17 ,
49054,VA-Staunton,"14,326",257.5 ,173.6 ,85.5 ,,7.26 ,15.40 ,2.65 ,27.19 ,,12.75 ,1.86 ,3.48 ,,4.26 ,6.82 
49055,VA-Stuart,"2,248",266.9 ,175.0 ,93.7 ,,,16.86 ,,19.95 ,,,,,,,
49056,VA-Suffolk,"8,071",239.8 ,164.2 ,77.2 ,,10.94 ,12.81 ,,22.43 ,,9.45 ,,2.41 ,,6.21 ,3.91 
49057,VA-Tappahannock,"4,072",243.0 ,165.9 ,77.9 ,,9.82 ,12.86 ,,24.63 ,,12.91 ,,,,,
49058,VA-Tazewell,"1,924",307.5 ,209.8 ,103.0 ,,,19.59 ,,24.22 ,,,,,,,
49059,VA-Virginia Beach,"19,113",207.9 ,142.4 ,67.9 ,,6.76 ,11.75 ,2.69 ,20.26 ,,7.71 ,2.06 ,1.80 ,,6.21 ,5.67 
49060,VA-Warrenton,"4,838",243.0 ,158.7 ,85.8 ,,13.76 ,16.20 ,,19.71 ,,14.67 ,,,,6.48 ,
49062,VA-Williamsburg,"7,607",217.1 ,146.2 ,72.3 ,,4.03 ,17.26 ,,18.15 ,,9.02 ,,,,6.12 ,10.09 
49063,VA-Winchester,"12,965",258.8 ,170.7 ,90.6 ,,16.43 ,13.98 ,3.36 ,27.00 ,,9.21 ,2.30 ,1.73 ,,6.16 ,5.83 
49065,VA-Woodbridge,"4,602",207.0 ,142.2 ,66.0 ,,5.22 ,12.70 ,,22.11 ,,8.88 ,,,,,
49066,VA-Woodstock,"3,343",248.7 ,154.2 ,96.8 ,,,21.62 ,,36.22 ,,,,,,,
49067,VA-Wytheville,"4,837",290.3 ,178.3 ,115.1 ,,8.65 ,48.48 ,,24.56 ,,10.73 ,,,,,
