HRR #,HRR name,State,Medicare enrollees (2015),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)"
102,Colorado Springs,CO,71923,8225.88,8492.55,3385.87,3653.93,2392.91,2325.68,1398.33,1419.58,442.82,446.12,342.99,350.95,256.6,295.28
103,Denver,CO,156142,9309.98,9268,3978.15,3953.16,2672.77,2639.54,1658.23,1660.68,443.03,435.57,334.09,325.39,216.21,245.43
104,Fort Collins,CO,34594,8529.41,8453.06,3918.77,3885.71,2216.2,2172.73,1622.43,1629.7,307.78,307.29,189.79,195.31,265.44,252.95
105,Grand Junction,CO,35033,7405.41,7274.92,3036.31,2945.27,1689.29,1643.3,1643.03,1661.49,266.8,269.17,533.65,530.59,246.05,236.24
106,Greeley,CO,34406,8572.62,8636.2,3620.73,3744.16,2097.71,2037.81,1984.27,2007.22,355.67,355.41,233.16,231.35,284.08,266.13
107,Pueblo,CO,16943,8497.78,8729.7,3567.84,3814.07,2394.32,2350.47,1353.19,1374.93,450.94,459.56,350.75,372.14,376.42,357.91
109,Bridgeport,CT,62385,10988.47,9460.13,4927.72,4039.99,3093.6,2950.12,2029.05,1690.5,600.52,503.63,236.54,179.71,128.89,136.25
110,Hartford,CT,146054,10249.89,9334.65,4708.12,4128.2,2926.97,2834.37,1646.61,1491.68,572.41,519.65,238.14,205.65,174.7,178.79
111,New Haven,CT,142722,11156.49,9683.27,5140.52,4205.07,2944.83,2819.33,1939.32,1683.81,714.49,627.56,262.27,200.06,169.25,173.76
113,Washington,DC,258887,9752.21,8902.73,4241.21,3587.89,3101.49,2916.3,1696.16,1689.3,317.11,313.4,263.12,261.22,155.61,160.44
112,Wilmington,DE,94586,10130.48,9705.22,4436.6,4175.03,3133.38,3081.45,1503.41,1440.36,428.08,410.23,448.89,410.48,188.68,195.77
115,Bradenton,FL,39678,10129.46,10544.49,3779.58,4212.99,3977.45,3902.24,1141.38,1172.71,767.26,805.97,296.92,271.84,156.88,174.85
116,Clearwater,FL,52103,10761.3,11331.01,4052.25,4575.79,3910.86,3868.9,1283.12,1337.17,932.29,976.96,367.09,342.69,199.37,217.5
118,Fort Lauderdale,FL,270366,11375.6,11515.69,3942.58,4276,4413.1,4269.25,1463.61,1486.57,890.48,912.36,473.07,385.76,189.13,191.12
119,Fort Myers,FL,192018,9712.25,9980.16,3230.31,3672.06,4170.3,4002.06,1076.57,1098.89,611.76,625.67,377.65,345.11,215.71,216.44
120,Gainesville,FL,63302,10023.61,10328.01,4288.46,4553.13,3193.05,3177.88,1136.1,1196.98,706.61,748.38,477.41,452.12,234.52,212.59
122,Hudson,FL,45070,10765.49,11494.79,4373.73,5079.43,4042.67,3999.53,960.27,999.25,891.39,932.71,295.57,263.64,188.49,209.79
123,Jacksonville,FL,159629,10618.75,11143.78,4220.95,4599.15,3531.94,3568.6,1471.69,1554.04,674.06,709.42,517.69,495.72,211.6,225.16
124,Lakeland,FL,29141,10231.28,11032.98,4164.02,4831.43,3498.58,3468.6,1114.99,1193.59,831.94,889.65,421.24,425.65,190.2,211.94
127,Miami,FL,145033,13455.17,13109.15,5350.54,5191.65,3839.66,3701.58,1529.76,1556.16,1574.47,1593.65,674.92,568.85,205.89,211.54
129,Ocala,FL,104695,9554.95,10236.63,3344.73,3993.02,3956.03,3915.66,1049.12,1118.49,579.26,615.65,387.28,366.82,208.46,208.39
130,Orlando,FL,354310,10364.67,11017.52,4012.37,4600.6,3621.12,3590.6,1308.77,1372.76,744.05,781.06,461.25,441.48,212.11,226.26
131,Ormond Beach,FL,52061,9505.59,10043.62,3371.3,3773.12,3208.34,3210.42,1428.6,1533.12,723.04,773.86,612.24,588.84,164.47,171.31
133,Panama City,FL,27363,10330.71,11393.02,4191.32,5122.49,3553.71,3539.09,1238.98,1343.43,565.31,612.58,462.99,497.88,314.41,287.24
134,Pensacola,FL,93551,9457.01,10448.59,3547.08,4313.57,2907.76,2902.79,1657.69,1809.99,650.17,716.57,440.87,485.91,255.14,231.76
137,Sarasota,FL,90707,9218.71,9645.26,3064.87,3489.95,3884.83,3847.34,1188.76,1217.29,666.15,685.47,249.31,234.91,158.78,172.09
139,St. Petersburg,FL,37395,11054.68,11662.96,4640.77,5171.11,3807.71,3797.55,1225.66,1278.71,892.62,934.37,301.6,275.82,180.93,199.04
140,Tallahassee,FL,62676,8861.01,9944.33,3651.84,4416.51,2644,2690.74,1452.25,1630.85,442.28,493.29,433.79,493.38,245.64,223.01
141,Tampa,FL,90046,11193.55,11766.31,4557.38,5037.77,3701.59,3691.05,1231.28,1289.53,1049.93,1107.03,435.89,404.33,200.51,218.04
142,Albany,GA,17980,7956.29,8904.66,3161.9,3767.23,2200.25,2295.14,1592.82,1770.4,312.24,342.31,441.25,495.86,262.7,239.31
144,Atlanta,GA,429107,8817.4,9376.71,3310.24,3739.38,2840.24,2873.59,1464.31,1524.64,459.31,478.85,570.28,581.57,192.26,197.27
145,Augusta,GA,62610,8322.74,8954.02,3492.35,3887.55,2425.67,2495.61,1447.79,1528.02,325.76,349.95,490.35,540.32,161.19,174.12
146,Columbus,GA,29460,8484.49,9423.11,3104.48,3690.18,2338.71,2460.82,1805.62,1971.56,418.35,457.43,642.99,672.72,203.99,185.37
147,Macon,GA,63782,9293.09,10110.99,3647.59,4215.16,3080.34,3162.25,1378.86,1497.12,408.07,434.8,573.73,617.18,238.23,216.44
148,Rome,GA,29463,9403.52,10395.16,3983.22,4640.3,2640.06,2756.27,1343.31,1464.6,667.83,726.92,556.65,619.33,241.2,227.93
149,Savannah,GA,86381,8700.52,9380.65,3413.44,3784.87,2841.11,2988.49,1415.72,1530.03,349.69,381.05,493.53,531.23,198.97,180.29
150,Honolulu,HI,89169,7718.39,7189.89,3384.28,2965.21,2216.72,2214.18,1506.89,1416.65,150.93,143.42,367.86,359.16,92.91,90.39
190,Cedar Rapids,IA,31517,8135.49,8695.88,3432.39,3763.33,2088.78,2176.48,1922.65,2046.83,234.96,251.38,278.22,297.04,185.5,169.1
191,Davenport,IA,62610,8704.76,9154.85,3744.35,4062.31,2312.16,2381.36,1790.64,1838.38,399.02,406.28,265.33,285.23,197.24,185.34
192,Des Moines,IA,130845,7759.75,8153.11,3315.91,3498.51,2052.2,2131.97,1742.93,1858.84,200.99,212.42,261.83,280.29,196.57,182.33
193,Dubuque,IA,14326,7792.4,8288.45,3430.35,3751.88,2107.94,2173.93,1656.22,1745.36,202.17,213.44,214.44,239.03,173.18,157.9
194,Iowa City,IA,40235,8127.46,8363.54,3736.72,3763.28,1713.36,1809.56,2011.83,2103.84,165.55,176.15,305.68,328.83,207.16,191.78
195,Mason City,IA,24099,8220.77,8553.4,3617.16,3655.49,1500.24,1589.49,2655.24,2869.47,129.82,141.36,170.94,174.61,220.55,202.95
196,Sioux City,IA,31141,8169.51,8741.33,3443.17,3810.7,2014.29,2056.56,2085.08,2222.89,204.51,218.42,242.16,267.37,211.25,195.29
197,Waterloo,IA,28957,8967.87,9564.6,3573.63,3869.3,2146.55,2249.55,2569.04,2740.45,203.01,218.08,299.96,328.3,194.28,179.34
151,Boise,ID,68462,7945.46,8458.56,3072.54,3291.38,1548.24,1622.95,2103.23,2227.76,470.72,499.98,558,619.9,200.73,209.41
152,Idaho Falls,ID,19726,8540.63,8967.35,3201.2,3289.68,1847.21,2007.22,1875.39,1985.69,714.39,741.26,527.79,594.63,395.42,374.74
154,Aurora,IL,20286,9980.54,10062.8,4126.51,4315.97,2937.6,2905.27,1774.85,1734.58,633.61,615.51,334.58,300.25,164.43,182.45
155,Blue Island,IL,83674,10499.28,10433.26,4704.52,4800,3035.74,2961.64,1496.96,1454.3,784.39,758.97,291.2,256.91,176.66,190.72
156,Chicago,IL,145630,10917.41,10291.83,5010.15,4589.73,2680.3,2587.5,1620.12,1575.21,1117.25,1081.55,244.58,216,139.93,148.59
158,Elgin,IL,71993,10429.49,10586.28,4453.73,4761.41,3129.61,3061.57,1610.83,1569.65,672.83,654.18,414.05,380.14,153.19,168.47
161,Evanston,IL,111384,9732.66,9543.78,3864.02,3874.21,2980.72,2872.67,1850.22,1801.04,620.55,604.32,298.47,267.22,133.32,143.49
163,Hinsdale,IL,44019,9652.02,9742.04,3977.7,4230.94,3035.38,2935.07,1559.98,1520.98,594.9,579.45,328.1,309.72,150,163.74
164,Joliet,IL,66073,10719.95,10993.52,4804.59,5100.19,2954.67,2990.67,1864.03,1833.23,603.1,586.31,305.84,286.62,188.08,196.45
166,Melrose Park,IL,117381,9964.13,9862.25,4380.04,4448.69,2762.28,2664.76,1709.82,1664,676.8,657.82,286.77,266.56,150.55,163.23
170,Peoria,IL,72112,8591.61,9202.41,3914.87,4240.08,2215.3,2357.51,1605.63,1715.64,350.18,369.31,287.26,318,222.69,204.05
171,Rockford,IL,76420,8969.86,9449.2,3929.16,4251.15,2109.66,2215.26,2015.87,2063.55,372.16,369.2,346.18,365.33,201.2,188.28
172,Springfield,IL,102344,8972.34,9773.63,4122.84,4557.96,2302.73,2504.3,1884.86,2025.29,309.67,329.78,134.2,151.21,238.25,223.83
173,Urbana,IL,36908,9220.07,9837.9,4246.2,4566.3,2053.01,2217.67,2249.9,2365.7,260.14,275.56,192.59,210.99,230.65,212.24
175,Bloomington,IL,16233,8157.18,8639.79,3318.02,3649.82,2776.67,2857.44,1256.18,1318.59,324.69,330.22,245.3,270.24,223.78,203.44
179,Evansville,IN,84359,9295.89,10421.78,4465.03,5271.85,2111.51,2238.52,1930.39,2090.57,336.88,364.62,245.41,265.93,216.84,200.11
180,Fort Wayne,IN,67961,8822.66,9356.49,4099.71,4407.49,2150.4,2264.85,1749.66,1839.6,273.1,288.37,349.51,369.83,204.19,187.65
181,Gary,IN,57101,10686.89,11274.43,4990.53,5473.07,2831.6,2893.37,1803.93,1832.13,599.9,608.77,265.72,257.01,187.59,201.66
183,Indianapolis,IN,273511,9392.52,9641.15,4338.24,4512.59,2150.54,2181.25,1906.7,1931.68,436.22,438.24,359.52,372.24,205.04,207.55
184,Lafayette,IN,22354,9250.94,9790.03,4286.7,4726.98,2337.62,2386.77,1649.78,1678.97,301.78,308.3,439.3,464.05,233.51,221.47
185,Muncie,IN,20795,9413.76,9671.58,4446.77,4585.97,2281.14,2288.77,1722.69,1802.09,377.16,389.36,327.81,366.24,262.98,241.14
186,Munster,IN,33830,11711.27,12232.4,5536.65,5895.66,3031.9,3162.78,1987.31,2006.89,782.62,785.56,188.64,178.75,177.12,195.61
187,South Bend,IN,65508,8481.99,8996.53,3580.37,4001.12,2519.28,2519.95,1455.33,1523.38,277.43,288.74,451.8,478.82,188.68,172.71
188,Terre Haute,IN,22436,10125.54,10575.93,4532.92,4850.5,2273.73,2317.93,2219.41,2292.01,438.33,452.05,403.92,425.47,265.6,246.17
200,Topeka,KS,57079,8550.85,9403.85,3705.06,4293.12,2155.95,2259.41,1957.17,2096.4,236.56,255.58,282.56,305.64,216.02,196.24
201,Wichita,KS,157104,8918.68,9792.45,4024.63,4566.37,2330.63,2389.29,1753.74,1959.82,310.04,344.49,255.48,288.93,256.61,254.94
203,Covington,KY,29534,9979.89,10541.44,4981.08,5338.59,2542.86,2670.65,1421.26,1464.95,580.67,600.51,317.92,309.17,154.25,171.76
204,Lexington,KY,139592,9588.49,10572.67,4589.62,5096.03,2169.88,2424.74,1682.88,1858.88,589.05,650.22,267.63,277.46,304.45,279.18
205,Louisville,KY,176047,9264.9,10406.27,4216.36,4843.07,2309.49,2595.34,1752.19,1911.08,525.62,574.84,218.72,223.76,243.22,257.9
207,Owensboro,KY,17278,9043.16,9962.89,4349.05,4661.62,2161.15,2503.05,1712.3,1931.88,400.34,452.02,211.23,213.13,214.72,201.34
208,Paducah,KY,48930,8790.41,10261.49,4074.62,4981.73,2175.53,2468.88,1674.17,1880.52,464.52,523.34,167.36,193.18,234.94,216.43
209,Alexandria,LA,33271,10758.57,12283.7,4826.53,5827.35,2358.76,2435.96,1622.87,1835.02,1088.96,1238.33,664.52,779.72,233.67,212.15
210,Baton Rouge,LA,55771,9910.21,10886.55,3964.68,4520.99,2598.49,2682.64,1764.05,1940.81,832.63,905.81,564.88,640.9,191.04,193.3
212,Houma,LA,25828,9294.89,10481.25,3906.65,4592.54,2199.28,2292.14,1873.4,2153.96,748.6,843.75,310.36,366.58,252.06,228.72
213,Lafayette,LA,66864,9799.11,11226.78,4209.12,5121.8,2466.13,2587.9,1631.4,1853.73,829.29,945.29,431.73,502.58,230.35,209.57
214,Lake Charles,LA,28250,9397.48,10642.41,3843.86,4619.82,2246.24,2343.91,1693.52,1922.97,822.41,947.47,579.9,617.4,239.5,217.7
216,Metairie,LA,29072,10672.08,11456.06,4336.87,4785.54,2637.62,2712.33,2192.08,2363.26,879,940.14,416.75,435.27,199.91,206.31
217,Monroe,LA,28540,11095.5,12653.72,4733.54,5732.97,2632.81,2708.69,1817.68,2070.83,1135.54,1290.99,494.44,583.09,266.56,241.82
218,New Orleans,LA,29669,10026.42,10099.51,4428.34,4265.23,2298.82,2337.76,1963.43,2097.37,683.05,727.47,442.39,450.62,160.76,169.65
219,Shreveport,LA,74333,10482.1,11680.98,4711.9,5529.77,2498.05,2551.04,1748.58,1929.05,865.58,954.91,404.79,470.05,226.64,208.19
220,Slidell,LA,15843,10658.61,11759.3,4550.18,5212.07,2505.35,2638.79,2001.86,2178.69,870.32,954.64,513.78,573.67,244.68,237.94
227,Boston,MA,507963,11098.16,9559.75,5238.63,4240.83,2559.37,2537.5,2075.88,1715.75,769.47,638.86,322.96,287.91,137.98,143.42
230,Springfield,MA,77201,9894.37,8579.98,4724.08,3844.52,2319.5,2300.47,1919.56,1591.36,588.18,489.04,216.54,214.88,144.92,152.77
231,Worcester,MA,59199,11333.59,9647.18,5744.48,4397.24,2369.05,2347.49,2085.28,1843.19,701.14,617.26,308,286.09,155.07,168.66
223,Baltimore,MD,285206,11288.88,9675.19,5143.33,3707.57,3009.92,2848.33,2337.12,2336.8,382.61,382.36,253.82,239.91,161.46,172.85
225,Salisbury,MD,83780,10086.25,9680.37,4278.12,3908.17,2863.67,2783.62,2017.67,2073.37,390.64,400.07,304.04,295.6,203.02,186.4
226,Takoma Park,MD,77199,9807.84,8713.13,4183.51,3404.55,3412.88,3127.88,1535.27,1510.29,321.44,317.25,287.15,279.25,130.61,138.86
221,Bangor,ME,55281,9030.84,9485.24,3892.29,3941.75,1462.74,1727.16,2916.7,3041.59,354.23,364.04,212.68,230.79,207.22,191.35
222,Portland,ME,126334,8271.39,8456.11,3392.94,3452.91,1943.94,2090.6,1994.95,1991.67,465.76,461.9,317.94,315.44,167.85,156.07
232,Ann Arbor,MI,117763,10256.75,10315.1,4646.24,4615.14,2465.45,2515.44,1999.01,2010.88,587.86,595.87,374.85,392.26,184.4,185.69
233,Dearborn,MI,39756,12005.7,12288.41,6042.84,6218.79,3025,3049.9,1763.52,1807.91,715.65,732.91,275.07,277.43,180.59,194.6
234,Detroit,MI,130869,11140.01,11262.7,5180.85,5216.05,3038.78,3077.98,1667.67,1698.58,761.85,772.59,284.53,282.48,175.89,189.11
235,Flint,MI,49718,11952.48,11577.2,5743.98,5364.94,3254.47,3337.01,1556.8,1491.14,674.91,657.18,523.34,509.35,197.76,220.74
236,Grand Rapids,MI,72136,8833.44,9250.04,3762.37,3937.09,2231.76,2280.04,1717.72,1832.71,513.92,545.95,400.84,439.12,203.56,210.3
238,Kalamazoo,MI,60118,9094.54,9250.14,4099.21,4149.56,2096.87,2158.54,1861.16,1893.38,415.11,422.53,406.56,427.28,217.72,199.38
239,Lansing,MI,62946,9792.23,9763.21,4322.08,4213.15,2248.59,2327.84,2041.45,2041.92,514.83,518.85,423.51,437.95,246.03,226.08
240,Marquette,MI,24855,8246.02,8405.09,3533.76,3373.63,1578.54,1620.73,2298.71,2513.62,470.16,516.09,174.99,203.15,186.79,173.86
242,Muskegon,MI,22915,8975.3,9334.78,3705.69,3953.47,2326.76,2373.61,1906.82,1975.98,455.05,470.26,354.02,358.08,232.72,208.79
243,Petoskey,MI,24685,8513.72,8837.25,3413.15,3422.9,1975.96,2029.26,2214.44,2426.85,293.41,319.62,353.62,391.45,232.8,215.37
244,Pontiac,MI,39927,10843.83,10885.71,4935.98,4894.46,3054.89,3075.64,1679,1702.6,579.82,588.46,410.32,423.18,184.1,201.25
245,Royal Oak,MI,66843,11037.81,11290.36,4809.48,4965.51,3382.43,3419.04,1616.52,1646.44,707.37,720.53,353.57,356.68,166.65,179.66
246,Saginaw,MI,79743,9693.33,10280.03,4423.32,4757.2,2143.65,2214.32,2014.83,2146.13,488.7,511.32,362.82,410.9,266.02,243.66
248,St. Joseph,MI,14892,8598.42,8942.73,3499.33,3644.17,2085.85,2143.18,1757.89,1840.08,541.23,567.92,500.66,550.41,206.18,187.16
249,Traverse City,MI,31924,8822.63,9141.28,3770.18,3780.85,2098.54,2151.27,2091.58,2288.68,352.42,384.28,283.19,327.74,226.29,208.78
250,Duluth,MN,28051,8417.84,8444.56,3879.44,3871.71,1464.62,1544.03,2412.24,2376.9,232.62,228.81,246.44,250.2,177.63,165.77
251,Minneapolis,MN,154661,8477.79,8405.63,3846.08,3678.16,1944.8,2089.89,1916.79,1881.84,304.55,290.18,312.82,313.79,164.46,164.15
253,Rochester,MN,34029,8568.54,7940.6,4337.41,3626.97,1524.6,1634.17,2181.37,2163.78,121.55,118.74,240.86,249.37,204.06,188.95
254,St. Cloud,MN,11829,8639.93,8286.52,4068.35,3574.5,1820.51,2083.6,2123.87,2023.09,265.3,252.47,213,217.16,192.21,183.1
256,St. Paul,MN,45546,8577.22,8364.62,3806.66,3598.05,2081.74,2189.77,1718.99,1634.1,371.66,348.53,432.66,420.47,156.26,166.53
263,Cape Girardeau,MO,35258,8557.93,9469.87,3964.59,4586.81,1823.62,1930.05,1977.87,2117.71,281.71,306.71,243.9,282.18,265.7,246.91
264,Columbia,MO,86918,8259.45,9042.11,3604.93,4089.84,2121.81,2194.59,1759.93,1933.74,217.81,238.49,284.67,333.07,263.12,247.25
267,Joplin,MO,45862,8857.91,10030.17,3819.84,4624.66,1994.82,2073.51,2005.05,2204.59,394.58,436.14,367.58,435.8,262.29,245.66
268,Kansas City,MO,225080,9281.44,9925,4029.59,4475.36,2265.96,2339.58,1898.06,1976.41,413.04,426.74,467.23,489.39,205.69,215.74
270,Springfield,MO,90690,7983.52,8980.68,3373.15,4015.38,1804.72,1897.6,1853.76,2040.99,344.19,380.27,372.22,436.72,234.35,216.27
273,St. Louis,MO,302143,9452.25,10209.89,4209.43,4733.68,2420.37,2496.83,1895.9,1992.04,424.68,445.35,312.53,341.64,190.48,200.08
257,Gulfport,MS,20986,9413.97,10896.35,4124.08,5093.19,2087.39,2265.15,1834.29,2072.95,666.23,755.5,453.76,489.66,259.81,233.39
258,Hattiesburg,MS,34352,9886.96,11324.98,4165.4,5174.65,2710.89,2799.37,1554.86,1755.54,745.26,839.98,453.24,536.24,270.75,239.78
259,Jackson,MS,111781,9537.5,10989.8,4103.24,5026.5,2295.44,2408.86,1587.18,1802.18,892.84,1015.07,408.84,475.48,220.74,213.85
260,Meridian,MS,25390,9729.39,11458.6,4175.16,5313.94,2162.42,2270.86,1808.01,2073.7,806.33,925.25,504.46,603.28,244.56,221.29
261,Oxford,MS,18265,9749.69,10939.93,4046.3,4677.77,2134.28,2251.45,1976.36,2247.75,800.52,916.77,465.05,538.87,314.74,288.43
