HSA #,HSA name,State,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
11065,Hawkinsville,GA,1901,9164.25,10161.85,3702.77,4334.98,2628.61,2716.97,1506.92,1676.4,487.7,541.65,536.03,611.13,318.12,300.29
11066,Hazlehurst,GA,1593,9588.27,11047.8,3629,4584.24,2421.05,2527.5,1828.28,2055.04,436.25,494.29,1070.85,1229.91,293.58,274.86
11067,Hiawassee,GA,2619,7702.88,8563.3,2644.23,3119.47,2723.58,2940.81,1411.28,1552.44,442.17,466.13,216.85,247.14,220.27,201.77
11068,Hinesville,GA,2058,8226.96,9190.52,3164.17,3795.23,2832.87,3006.73,1223.34,1341.37,350.94,380.86,458.13,489.18,245.48,227.74
11069,Homerville,GA,516,13220.5,14388.71,5620.97,6077.46,2709.41,2796.65,3289.85,3737.11,693.98,787.18,619.83,733.93,261.71,239.22
11070,Jackson,GA,2239,8988.26,9657.25,3537.14,4151.31,2884.3,2888.49,1381.99,1409.33,409.01,422.74,658.07,661.01,155.68,170.62
11071,Jasper,GA,4534,8676.65,9254.41,3003.63,3442.75,2968.17,3030.2,1462.76,1496.01,517.47,525.81,527.26,556.7,173.88,198.83
11072,Jesup,GA,3348,10428.36,11302.55,4784.32,5194.24,2818.5,2979.74,1579.93,1774.64,335.73,382.13,652.87,754.05,284.59,259.14
11073,La Grange,GA,7256,8388.49,9264.5,3245.21,3661.11,2558.27,2803,1478.01,1636.34,342.16,372.58,549.23,586.71,230.8,219.04
11074,Lakeland,GA,506,12355.06,14528.78,5030.3,6549.92,3057.43,3156.34,2274.64,2591.18,697.64,792.48,994.15,1207.41,370.44,330.82
11075,Lawrenceville,GA,26237,9012.35,9454.04,3398.45,3755.67,2857.39,2869.33,1432.34,1472.94,505.8,515.52,625.64,632.94,211.88,227.06
11077,Louisville,GA,871,9290.12,10301.21,4442.32,5130.15,2138.78,2189.23,1877.85,2069.31,254.51,280.19,400.09,461.83,166.3,143.05
11078,Macon,GA,22150,9437.92,10078.81,3975.87,4463.18,3061.61,3124.73,1254.9,1321.48,386.27,404.64,560.87,584.78,235.98,214.72
11080,Marietta,GA,35112,8901.93,9375.84,3407.17,3850.09,2906.01,2909.13,1367.17,1392.51,445.81,453.75,617.38,603.24,163.9,177.31
11081,McRae,GA,790,9688.04,10596.47,3459.15,3956.82,2900.9,2942.12,1627.98,1803.01,529.12,613.96,890.17,1012.24,304.94,284.08
11082,Metter,GA,2009,9402.02,10729.98,4052.37,4969.67,2318.95,2426.85,1616.22,1801.32,344.92,386.35,936.23,1031.44,186.63,172.36
11083,Milledgeville,GA,2748,9165.43,10032.05,3571.21,4123.09,2945.1,3027.22,1467.39,1613.75,433.53,454.57,524.14,612.46,243.11,223.22
11084,Millen,GA,851,9465.44,10296.1,4377.56,4890.02,2200.31,2243.78,1825.13,2016.08,350.46,382.34,451.76,524.98,248.75,219.41
11085,Monroe,GA,4457,9863.75,10528.02,3860.43,4427.33,2994.23,3030.06,1548.52,1594.78,584.76,599.09,687.29,673.66,213.04,230.39
11086,Montezuma,GA,721,8509.18,9465.67,3713.95,4384.63,2456.01,2511.48,1527.8,1693.43,277.01,297.53,356.58,409.16,210.69,185.75
11088,Moultrie,GA,4008,9347.79,10563.36,3904.36,4707.91,2353.95,2389.35,1833.5,2072.16,299.18,339.34,631.49,763.71,331.3,308.44
11089,Nashville,GA,1282,8198.26,9291.3,2993.48,3693.71,2406.02,2494.59,1464.83,1662.98,520.8,592.2,499.89,578.01,309.49,282.46
11090,Newnan,GA,11317,8625.62,9181.25,3244.33,3655,2509.64,2578.67,1406.8,1434.81,468.24,482.39,851.45,877.31,198.68,213.06
11091,Ocilla,GA,612,7965.98,8980.47,3339.85,3989.79,2062.64,2117.01,1560.65,1768.56,391.07,442.31,329.65,396.25,276.14,259.57
11092,Perry,GA,2194,9189.59,10023.48,3525.95,4136.66,3255.95,3352.45,1226.88,1340.38,345.33,366.8,621.45,640.59,249.96,222.23
11093,Quitman,GA,1031,9108.91,10770.78,3915.95,5089.38,2324.91,2427.85,1871.32,2125.31,322.03,365.9,463.45,548.48,218.51,195.5
11094,Reidsville,GA,448,9845.41,10337.71,4386.94,4476.75,2440.13,2584.63,1608.32,1797.49,366.02,415.08,1005.98,1038.64,184.48,171.1
11095,Richland,GA,412,6890.98,7448.77,2107,2396.53,1977.93,2072.56,1764.69,1929.77,247.56,263.81,602.41,629.03,259.36,203.46
11096,Riverdale,GA,9221,8575.88,8914.6,3584.35,3895.23,2624.06,2629.53,1264.62,1287.37,369.12,374.54,663.18,629.32,155.89,171.55
11098,Rome,GA,19367,9437.51,10105.62,4075.27,4539.7,2718.36,2820.28,1214.71,1249.12,665.44,677.23,546.15,623.51,237.87,223.19
11099,Roswell,GA,20876,9215.65,9691.72,3120.13,3525.81,2909.16,2940.41,1776.73,1818.3,581.2,590.78,625.1,607.68,187.32,201.6
11100,Royston,GA,3619,8639.43,9400.36,3507.41,3962.11,2665.54,2739.34,1163.07,1270.72,563.9,626.66,541.15,637.43,213.17,193.21
11101,Sandersville,GA,2362,8000.02,8735.04,3307.55,3723.33,2277.99,2359.41,1600.01,1762.03,240.29,261.09,425.32,490.05,168.5,153.74
11102,Savannah,GA,31059,8640.58,9319.95,3509.05,3967.08,2901.36,3034.2,1205.6,1269.56,319.41,340.52,514.87,537.7,218.28,198.53
