HSAID,HSANAME,HRRID,HRRNAME
1063,AL- ONEONTA,1,AL- BIRMINGHAM
1064,AL- OPELIKA,1,AL- BIRMINGHAM
1065,AL- OPP,2,AL- DOTHAN
1066,AL- OZARK,2,AL- DOTHAN
1068,AL- PHENIX CITY,146,GA- COLUMBUS
1070,AL- PRATTVILLE,7,AL- MONTGOMERY
1071,AL- RED BAY,1,AL- BIRMINGHAM
1072,AL- ROANOKE,1,AL- BIRMINGHAM
1073,AL- RUSSELLVILLE,1,AL- BIRMINGHAM
1074,AL- SCOTTSBORO,5,AL- HUNTSVILLE
1075,AL- SELMA,1,AL- BIRMINGHAM
1077,AL- SYLACAUGA,1,AL- BIRMINGHAM
1078,AL- TALLADEGA,1,AL- BIRMINGHAM
1079,AL- TALLASSEE,7,AL- MONTGOMERY
1080,AL- THOMASVILLE,6,AL- MOBILE
1081,AL- TROY,7,AL- MONTGOMERY
1082,AL- TUSCALOOSA,9,AL- TUSCALOOSA
1083,AL- UNION SPRINGS,7,AL- MONTGOMERY
1084,AL- VALLEY,1,AL- BIRMINGHAM
1085,AL- VERNON,9,AL- TUSCALOOSA
1086,AL- WEDOWEE,1,AL- BIRMINGHAM
1088,AL- WINFIELD,1,AL- BIRMINGHAM
2001,AK- ANCHORAGE,10,AK- ANCHORAGE
2002,AK- CORDOVA,10,AK- ANCHORAGE
2003,AK- FAIRBANKS,10,AK- ANCHORAGE
2004,AK- HOMER,10,AK- ANCHORAGE
2005,AK- JUNEAU,10,AK- ANCHORAGE
2006,AK- KETCHIKAN,10,AK- ANCHORAGE
2007,AK- KODIAK,10,AK- ANCHORAGE
2008,AK- NOME,10,AK- ANCHORAGE
2009,AK- PALMER,10,AK- ANCHORAGE
2010,AK- PETERSBURG,10,AK- ANCHORAGE
2011,AK- SEWARD,10,AK- ANCHORAGE
2012,AK- SITKA,10,AK- ANCHORAGE
2013,AK- SOLDOTNA,10,AK- ANCHORAGE
2014,AK- VALDEZ,10,AK- ANCHORAGE
2015,AK- WRANGELL,10,AK- ANCHORAGE
2016,AK- BARROW,10,AK- ANCHORAGE
2017,AK- BETHEL,10,AK- ANCHORAGE
2018,AK- DILLINGHAM,10,AK- ANCHORAGE
2019,AK- KOTZEBUE,10,AK- ANCHORAGE
3002,AZ- BISBEE,15,AZ- TUCSON
3003,AZ- BULLHEAD CITY,279,NV- LAS VEGAS
3004,AZ- CASA GRANDE,12,AZ- PHOENIX
3005,AZ- CHANDLER,11,AZ- MESA
3006,AZ- COTTONWOOD,12,AZ- PHOENIX
3007,AZ- DOUGLAS,15,AZ- TUCSON
3008,AZ- FLAGSTAFF,12,AZ- PHOENIX
3009,AZ- FLORENCE,11,AZ- MESA
3010,AZ- GANADO,293,NM- ALBUQUERQUE
3014,AZ- KINGMAN,12,AZ- PHOENIX
3015,AZ- LAKE HAVASU CITY,12,AZ- PHOENIX
3016,AZ- MESA,11,AZ- MESA
3019,AZ- PAGE,12,AZ- PHOENIX
3020,AZ- PARKER,12,AZ- PHOENIX
3021,AZ- PAYSON,12,AZ- PHOENIX
3022,AZ- PHOENIX,12,AZ- PHOENIX
3023,AZ- PRESCOTT,12,AZ- PHOENIX
3024,AZ- SAFFORD,15,AZ- TUCSON
3025,AZ- SCOTTSDALE,12,AZ- PHOENIX
3026,AZ- SHOW LOW,12,AZ- PHOENIX
3027,AZ- SIERRA VISTA,15,AZ- TUCSON
3028,AZ- SPRINGERVILLE,12,AZ- PHOENIX
3029,AZ- SUN CITY,14,AZ- SUN CITY
3032,AZ- TUCSON,15,AZ- TUCSON
3033,AZ- WICKENBURG,14,AZ- SUN CITY
3034,AZ- WILLCOX,15,AZ- TUCSON
3035,AZ- WINSLOW,12,AZ- PHOENIX
3037,AZ- YUMA,12,AZ- PHOENIX
3038,AZ- CHINLE,293,NM- ALBUQUERQUE
3040,AZ- KEAMS CANYON,12,AZ- PHOENIX
3042,AZ- SAN CARLOS,12,AZ- PHOENIX
3044,AZ- TUBA CITY,12,AZ- PHOENIX
3047,AZ- CLAYPOOL,12,AZ- PHOENIX
4001,AR- ARKADELPHIA,19,AR- LITTLE ROCK
4002,AR- ASHDOWN,22,AR- TEXARKANA
4003,AR- BATESVILLE,19,AR- LITTLE ROCK
4004,AR- BENTON,19,AR- LITTLE ROCK
4005,AR- BENTONVILLE,21,AR- SPRINGDALE
4006,AR- BERRYVILLE,21,AR- SPRINGDALE
4007,AR- BLYTHEVILLE,379,TN- MEMPHIS
4008,AR- BOONEVILLE,16,AR- FORT SMITH
4010,AR- CALICO ROCK,19,AR- LITTLE ROCK
4011,AR- CAMDEN,19,AR- LITTLE ROCK
4012,AR- CHEROKEE VILLAGE,19,AR- LITTLE ROCK
4013,AR- CLARKSVILLE,19,AR- LITTLE ROCK
4015,AR- CONWAY,19,AR- LITTLE ROCK
4017,AR- CROSSETT,19,AR- LITTLE ROCK
4018,AR- DANVILLE,19,AR- LITTLE ROCK
4019,AR- DARDANELLE,19,AR- LITTLE ROCK
4020,AR- DE QUEEN,22,AR- TEXARKANA
4021,AR- DE WITT,19,AR- LITTLE ROCK
4023,AR- DUMAS,19,AR- LITTLE ROCK
4024,AR- EL DORADO,19,AR- LITTLE ROCK
4025,AR- EUREKA SPRINGS,270,MO- SPRINGFIELD
4026,AR- FAYETTEVILLE,21,AR- SPRINGDALE
4027,AR- FORDYCE,19,AR- LITTLE ROCK
4028,AR- FORREST CITY,379,TN- MEMPHIS
4029,AR- FORT SMITH,16,AR- FORT SMITH
4030,AR- GRAVETTE,21,AR- SPRINGDALE
4031,AR- HARRISON,21,AR- SPRINGDALE
4032,AR- HEBER SPRINGS,19,AR- LITTLE ROCK
4033,AR- HELENA,379,TN- MEMPHIS
4034,AR- HOPE,22,AR- TEXARKANA
4035,AR- HOT SPRINGS,19,AR- LITTLE ROCK
4038,AR- JACKSONVILLE,19,AR- LITTLE ROCK
4039,AR- JONESBORO,18,AR- JONESBORO
4040,AR- LAKE VILLAGE,19,AR- LITTLE ROCK
4041,AR- LITTLE ROCK,19,AR- LITTLE ROCK
4042,AR- MAGNOLIA,19,AR- LITTLE ROCK
4043,AR- MALVERN,19,AR- LITTLE ROCK
4045,AR- MCGEHEE,19,AR- LITTLE ROCK
4046,AR- MENA,16,AR- FORT SMITH
4047,AR- MONTICELLO,19,AR- LITTLE ROCK
4048,AR- MORRILTON,19,AR- LITTLE ROCK
4049,AR- MOUNTAIN HOME,270,MO- SPRINGFIELD
4050,AR- MOUNTAIN VIEW,19,AR- LITTLE ROCK
4051,AR- MURFREESBORO,19,AR- LITTLE ROCK
4052,AR- NASHVILLE,22,AR- TEXARKANA
4053,AR- NEWPORT,19,AR- LITTLE ROCK
4054,AR- NORTH LITTLE ROCK,19,AR- LITTLE ROCK
4055,AR- OSCEOLA,379,TN- MEMPHIS
4056,AR- OZARK,16,AR- FORT SMITH
4057,AR- PARAGOULD,18,AR- JONESBORO
4059,AR- PIGGOTT,18,AR- JONESBORO
4060,AR- PINE BLUFF,19,AR- LITTLE ROCK
4061,AR- POCAHONTAS,18,AR- JONESBORO
4062,AR- PRESCOTT,22,AR- TEXARKANA
4063,AR- ROGERS,21,AR- SPRINGDALE
4064,AR- RUSSELLVILLE,19,AR- LITTLE ROCK
4065,AR- SALEM,19,AR- LITTLE ROCK
4066,AR- SEARCY,19,AR- LITTLE ROCK
4067,AR- SILOAM SPRINGS,21,AR- SPRINGDALE
4068,AR- SPRINGDALE,21,AR- SPRINGDALE
4069,AR- STUTTGART,19,AR- LITTLE ROCK
4070,AR- TEXARKANA,22,AR- TEXARKANA
4072,AR- WALDRON,16,AR- FORT SMITH
4074,AR- WARREN,19,AR- LITTLE ROCK
4075,AR- WEST MEMPHIS,379,TN- MEMPHIS
4076,AR- WYNNE,379,TN- MEMPHIS
5001,CA- ALAMEDA,65,CA- ALAMEDA CO.
5003,CA- ALTURAS,280,NV- RENO
5004,CA- ANAHEIM,23,CA- ORANGE CO.
5005,CA- ANTIOCH,33,CA- CONTRA COSTA CO.
5006,CA- APPLE VALLEY,79,CA- SAN BERNARDINO
5007,CA- ARCADIA,56,CA- LOS ANGELES
5008,CA- ARCATA,73,CA- REDDING
5009,CA- ARROYO GRANDE,83,CA- SAN LUIS OBISPO
5012,CA- AUBURN,77,CA- SACRAMENTO
5013,CA- AVALON,56,CA- LOS ANGELES
5015,CA- BAKERSFIELD,25,CA- BAKERSFIELD
5017,CA- BANNING,79,CA- SAN BERNARDINO
5018,CA- BARSTOW,79,CA- SAN BERNARDINO
5019,CA- BELLFLOWER,56,CA- LOS ANGELES
5020,CA- BERKELEY,65,CA- ALAMEDA CO.
5021,CA- BIG BEAR LAKE,79,CA- SAN BERNARDINO
5022,CA- BISHOP,280,NV- RENO
5023,CA- BLYTHE,12,AZ- PHOENIX
5024,CA- BRAWLEY,80,CA- SAN DIEGO
5028,CA- BURBANK,56,CA- LOS ANGELES
5029,CA- BURLINGAME,85,CA- SAN MATEO CO.
5031,CA- CAMARILLO,96,CA- VENTURA
5032,CA- CANOGA PARK,56,CA- LOS ANGELES
5033,CA- CARMICHAEL,77,CA- SACRAMENTO
5034,CA- CASTRO VALLEY,65,CA- ALAMEDA CO.
5035,CA- CEDARVILLE,280,NV- RENO
5036,CA- CHESTER,31,CA- CHICO
5037,CA- CHICO,31,CA- CHICO
5038,CA- CHINO,79,CA- SAN BERNARDINO
5040,CA- CHULA VISTA,80,CA- SAN DIEGO
5041,CA- CLEARLAKE,62,CA- NAPA
5043,CA- COALINGA,43,CA- FRESNO
5044,CA- COLUSA,77,CA- SACRAMENTO
5045,CA- CONCORD,33,CA- CONTRA COSTA CO.
5046,CA- CORCORAN,43,CA- FRESNO
5047,CA- CORONA,23,CA- ORANGE CO.
5048,CA- CORONADO,80,CA- SAN DIEGO
5050,CA- COVINA,56,CA- LOS ANGELES
5051,CA- CRESCENT CITY,343,OR- MEDFORD
5052,CA- CULVER CITY,56,CA- LOS ANGELES
5053,CA- DALY CITY,85,CA- SAN MATEO CO.
5054,CA- DAVIS,77,CA- SACRAMENTO
5055,CA- DEER PARK,62,CA- NAPA
5056,CA- DELANO,25,CA- BAKERSFIELD
5057,CA- DINUBA,43,CA- FRESNO
5059,CA- DOWNEY,56,CA- LOS ANGELES
5060,CA- DUARTE,56,CA- LOS ANGELES
5062,CA- EL CENTRO,80,CA- SAN DIEGO
5063,CA- ENCINITAS,80,CA- SAN DIEGO
5064,CA- ENCINO,56,CA- LOS ANGELES
5065,CA- ESCONDIDO,80,CA- SAN DIEGO
5066,CA- EUREKA,73,CA- REDDING
5068,CA- FAIRFIELD,33,CA- CONTRA COSTA CO.
5069,CA- FALL RIVER MILLS,73,CA- REDDING
5070,CA- FALLBROOK,80,CA- SAN DIEGO
5071,CA- FOLSOM,77,CA- SACRAMENTO
5072,CA- FONTANA,79,CA- SAN BERNARDINO
5073,CA- FORT BRAGG,62,CA- NAPA
5074,CA- FORTUNA,73,CA- REDDING
5075,CA- FOUNTAIN VALLEY,23,CA- ORANGE CO.
5077,CA- FREMONT,65,CA- ALAMEDA CO.
5078,CA- FRESNO,43,CA- FRESNO
5079,CA- FULLERTON,23,CA- ORANGE CO.
5080,CA- GARBERVILLE,62,CA- NAPA
5081,CA- GARDEN GROVE,23,CA- ORANGE CO.
5082,CA- GARDENA,56,CA- LOS ANGELES
5083,CA- GILROY,82,CA- SAN JOSE
5084,CA- GLENDALE,56,CA- LOS ANGELES
5085,CA- GLENDORA,56,CA- LOS ANGELES
5086,CA- GRANADA HILLS,56,CA- LOS ANGELES
5087,CA- GRASS VALLEY,77,CA- SACRAMENTO
5088,CA- GREENBRAE,81,CA- SAN FRANCISCO
5089,CA- GREENVILLE,31,CA- CHICO
5090,CA- GRIDLEY,77,CA- SACRAMENTO
5091,CA- HANFORD,43,CA- FRESNO
5092,CA- HARBOR CITY,56,CA- LOS ANGELES
5094,CA- HAWTHORNE,56,CA- LOS ANGELES
5095,CA- HAYWARD,65,CA- ALAMEDA CO.
5096,CA- HEALDSBURG,89,CA- SANTA ROSA
5097,CA- HEMET,79,CA- SAN BERNARDINO
5098,CA- HOLLISTER,82,CA- SAN JOSE
5100,CA- HUNTINGTON BEACH,23,CA- ORANGE CO.
5102,CA- INDIO,80,CA- SAN DIEGO
5103,CA- INGLEWOOD,56,CA- LOS ANGELES
5104,CA- JACKSON,77,CA- SACRAMENTO
5105,CA- JOSHUA TREE,69,CA- PALM SPR/RANCHO MIR.
5106,CA- KING CITY,78,CA- SALINAS
5108,CA- LA JOLLA,80,CA- SAN DIEGO
5109,CA- LA MESA,80,CA- SAN DIEGO
5112,CA- LAGUNA HILLS,23,CA- ORANGE CO.
5114,CA- LAKE ISABELLA,25,CA- BAKERSFIELD
5115,CA- LAKEPORT,62,CA- NAPA
5116,CA- LAKEWOOD,56,CA- LOS ANGELES
5117,CA- LANCASTER,56,CA- LOS ANGELES
5118,CA- LINDSAY,25,CA- BAKERSFIELD
5119,CA- LIVERMORE,65,CA- ALAMEDA CO.
5120,CA- LODI,77,CA- SACRAMENTO
5121,CA- LOMA LINDA,79,CA- SAN BERNARDINO
5122,CA- LOMPOC,86,CA- SANTA BARBARA
5123,CA- LONE PINE,279,NV- LAS VEGAS
5124,CA- LONG BEACH,56,CA- LOS ANGELES
5125,CA- LOS ALAMITOS,23,CA- ORANGE CO.
5126,CA- LOS ANGELES,56,CA- LOS ANGELES
5127,CA- LOS BANOS,58,CA- MODESTO
5130,CA- LYNWOOD,56,CA- LOS ANGELES
5131,CA- MADERA,43,CA- FRESNO
5132,CA- MAMMOTH LAKES,280,NV- RENO
5133,CA- MANTECA,91,CA- STOCKTON
5136,CA- MARTINEZ,33,CA- CONTRA COSTA CO.
5137,CA- MARYSVILLE,77,CA- SACRAMENTO
5138,CA- MERCED,58,CA- MODESTO
5139,CA- MISSION HILLS,56,CA- LOS ANGELES
5140,CA- MISSION VIEJO,23,CA- ORANGE CO.
5141,CA- MODESTO,58,CA- MODESTO
5144,CA- MONTEBELLO,56,CA- LOS ANGELES
5145,CA- MONTEREY,78,CA- SALINAS
5146,CA- MONTEREY PARK,56,CA- LOS ANGELES
5148,CA- MOUNT SHASTA,73,CA- REDDING
5149,CA- MOUNTAIN VIEW,82,CA- SAN JOSE
5150,CA- NAPA,62,CA- NAPA
5151,CA- NATIONAL CITY,80,CA- SAN DIEGO
5152,CA- NEEDLES,279,NV- LAS VEGAS
5155,CA- NEWPORT BEACH,23,CA- ORANGE CO.
5157,CA- NORTHRIDGE,56,CA- LOS ANGELES
5158,CA- NORWALK,56,CA- LOS ANGELES
5159,CA- NOVATO,81,CA- SAN FRANCISCO
5160,CA- OAKDALE,58,CA- MODESTO
5161,CA- OAKLAND,65,CA- ALAMEDA CO.
5162,CA- OCEANSIDE,80,CA- SAN DIEGO
5163,CA- OJAI,96,CA- VENTURA
5165,CA- ORANGE,23,CA- ORANGE CO.
5166,CA- OROVILLE,31,CA- CHICO
5167,CA- OXNARD,96,CA- VENTURA
5168,CA- PALM SPRINGS,69,CA- PALM SPR/RANCHO MIR.
5171,CA- PANORAMA CITY,56,CA- LOS ANGELES
5172,CA- PARADISE,31,CA- CHICO
5173,CA- PARAMOUNT,56,CA- LOS ANGELES
5174,CA- PASADENA,56,CA- LOS ANGELES
5177,CA- PETALUMA,89,CA- SANTA ROSA
5179,CA- PINOLE,81,CA- SAN FRANCISCO
5180,CA- PITTSBURG,33,CA- CONTRA COSTA CO.
5182,CA- PLACERVILLE,77,CA- SACRAMENTO
5183,CA- POMONA,56,CA- LOS ANGELES
5185,CA- PORTERVILLE,25,CA- BAKERSFIELD
5186,CA- PORTOLA,280,NV- RENO
5187,CA- POWAY,80,CA- SAN DIEGO
5188,CA- QUINCY,280,NV- RENO
5189,CA- RANCHO MIRAGE,69,CA- PALM SPR/RANCHO MIR.
5190,CA- RED BLUFF,31,CA- CHICO
5191,CA- REDDING,73,CA- REDDING
5192,CA- REDLANDS,79,CA- SAN BERNARDINO
5194,CA- REDWOOD CITY,85,CA- SAN MATEO CO.
5197,CA- RIDGECREST,79,CA- SAN BERNARDINO
5198,CA- RIVERSIDE,79,CA- SAN BERNARDINO
5199,CA- ROSEVILLE,77,CA- SACRAMENTO
5200,CA- SACRAMENTO,77,CA- SACRAMENTO
5201,CA- SALINAS,78,CA- SALINAS
5202,CA- SAN ANDREAS,91,CA- STOCKTON
5203,CA- SAN BERNARDINO,79,CA- SAN BERNARDINO
5204,CA- SAN CLEMENTE,23,CA- ORANGE CO.
5205,CA- SAN DIEGO,80,CA- SAN DIEGO
5206,CA- SAN DIMAS,56,CA- LOS ANGELES
5208,CA- SAN FRANCISCO,81,CA- SAN FRANCISCO
5209,CA- SAN GABRIEL,56,CA- LOS ANGELES
5210,CA- SAN JOSE,82,CA- SAN JOSE
5211,CA- SAN LEANDRO,65,CA- ALAMEDA CO.
5212,CA- SAN LUIS OBISPO,83,CA- SAN LUIS OBISPO
5213,CA- SAN MATEO,85,CA- SAN MATEO CO.
5214,CA- SAN PABLO,81,CA- SAN FRANCISCO
5215,CA- SAN PEDRO,56,CA- LOS ANGELES
5218,CA- SANTA ANA,23,CA- ORANGE CO.
5219,CA- SANTA BARBARA,86,CA- SANTA BARBARA
5221,CA- SANTA CRUZ,87,CA- SANTA CRUZ
5222,CA- SANTA MARIA,86,CA- SANTA BARBARA
5223,CA- SANTA MONICA,56,CA- LOS ANGELES
5224,CA- SANTA PAULA,96,CA- VENTURA
5225,CA- SANTA ROSA,89,CA- SANTA ROSA
5226,CA- SEBASTOPOL,89,CA- SANTA ROSA
5227,CA- SELMA,43,CA- FRESNO
5229,CA- SIMI VALLEY,96,CA- VENTURA
5230,CA- SOLVANG,86,CA- SANTA BARBARA
5231,CA- SONOMA,89,CA- SANTA ROSA
5232,CA- SONORA,58,CA- MODESTO
5233,CA- SOUTH EL MONTE,56,CA- LOS ANGELES
5234,CA- SOUTH LAGUNA,23,CA- ORANGE CO.
5235,CA- SOUTH LAKE TAHOE,77,CA- SACRAMENTO
5236,CA- SOUTH SAN FRANCISCO,85,CA- SAN MATEO CO.
5237,CA- STANFORD,85,CA- SAN MATEO CO.
5239,CA- STOCKTON,91,CA- STOCKTON
5241,CA- SUSANVILLE,280,NV- RENO
5244,CA- TARZANA,56,CA- LOS ANGELES
5246,CA- TEMPLETON,83,CA- SAN LUIS OBISPO
5247,CA- THOUSAND OAKS,96,CA- VENTURA
5248,CA- TORRANCE,56,CA- LOS ANGELES
5249,CA- TRACY,91,CA- STOCKTON
5250,CA- TRUCKEE,280,NV- RENO
5251,CA- TULARE,25,CA- BAKERSFIELD
5252,CA- TURLOCK,58,CA- MODESTO
5253,CA- UKIAH,62,CA- NAPA
5254,CA- UPLAND,79,CA- SAN BERNARDINO
5255,CA- VACAVILLE,33,CA- CONTRA COSTA CO.
5256,CA- VALENCIA,56,CA- LOS ANGELES
5257,CA- VALLEJO,81,CA- SAN FRANCISCO
5258,CA- VAN NUYS,56,CA- LOS ANGELES
5259,CA- VENTURA,96,CA- VENTURA
5260,CA- VICTORVILLE,79,CA- SAN BERNARDINO
5261,CA- VISALIA,25,CA- BAKERSFIELD
5262,CA- WALNUT CREEK,33,CA- CONTRA COSTA CO.
5263,CA- WATSONVILLE,87,CA- SANTA CRUZ
5264,CA- WEAVERVILLE,73,CA- REDDING
5265,CA- WEST COVINA,56,CA- LOS ANGELES
5270,CA- WHITTIER,56,CA- LOS ANGELES
5271,CA- WILDOMAR,80,CA- SAN DIEGO
5272,CA- WILLITS,62,CA- NAPA
5274,CA- WOODLAND,77,CA- SACRAMENTO
5277,CA- YREKA,343,OR- MEDFORD
5278,CA- YUBA CITY,77,CA- SACRAMENTO
5282,CA- IRVINE,23,CA- ORANGE CO.
5285,CA- MORGAN HILL,82,CA- SAN JOSE
5287,CA- PLEASANTON,65,CA- ALAMEDA CO.
5288,CA- SAN RAMON,33,CA- CONTRA COSTA CO.
5289,CA- SUN CITY,79,CA- SAN BERNARDINO
6002,CO- ALAMOSA,102,CO- COLORADO SPRINGS
6003,CO- ASPEN,103,CO- DENVER
6004,CO- AURORA,103,CO- DENVER
6005,CO- BOULDER,101,CO- BOULDER
6006,CO- BRIGHTON,103,CO- DENVER
6007,CO- BRUSH,106,CO- GREELEY
6008,CO- BURLINGTON,103,CO- DENVER
6009,CO- CANON CITY,102,CO- COLORADO SPRINGS
6010,CO- CHEYENNE WELLS,102,CO- COLORADO SPRINGS
6011,CO- COLORADO SPRINGS,102,CO- COLORADO SPRINGS
6012,CO- CORTEZ,293,NM- ALBUQUERQUE
6013,CO- CRAIG,103,CO- DENVER
6015,CO- DELTA,105,CO- GRAND JUNCTION
6016,CO- DENVER,103,CO- DENVER
6017,CO- DURANGO,293,NM- ALBUQUERQUE
6018,CO- EADS,102,CO- COLORADO SPRINGS
6020,CO- ESTES PARK,104,CO- FORT COLLINS
6022,CO- FORT COLLINS,104,CO- FORT COLLINS
6023,CO- FORT MORGAN,106,CO- GREELEY
6025,CO- GLENWOOD SPRINGS,105,CO- GRAND JUNCTION
6026,CO- GRAND JUNCTION,105,CO- GRAND JUNCTION
6027,CO- GREELEY,106,CO- GREELEY
6028,CO- GUNNISON,105,CO- GRAND JUNCTION
6029,CO- HAXTUN,106,CO- GREELEY
6030,CO- HOLYOKE,106,CO- GREELEY
6031,CO- HUGO,103,CO- DENVER
6032,CO- JULESBURG,106,CO- GREELEY
6033,CO- KREMMLING,103,CO- DENVER
6034,CO- LA JARA,102,CO- COLORADO SPRINGS
6035,CO- LA JUNTA,102,CO- COLORADO SPRINGS
6036,CO- LAMAR,102,CO- COLORADO SPRINGS
6037,CO- LEADVILLE,103,CO- DENVER
6038,CO- LONGMONT,101,CO- BOULDER
6039,CO- LOVELAND,106,CO- GREELEY
6040,CO- MEEKER,105,CO- GRAND JUNCTION
6041,CO- MONTROSE,105,CO- GRAND JUNCTION
6042,CO- PUEBLO,107,CO- PUEBLO
6043,CO- RANGELY,423,UT- SALT LAKE CITY
6045,CO- SALIDA,102,CO- COLORADO SPRINGS
6046,CO- SPRINGFIELD,102,CO- COLORADO SPRINGS
6047,CO- STEAMBOAT SPRINGS,103,CO- DENVER
6048,CO- STERLING,106,CO- GREELEY
6049,CO- THORNTON,103,CO- DENVER
6050,CO- TRINIDAD,102,CO- COLORADO SPRINGS
6051,CO-VAIL,103,CO- DENVER
6052,CO- WALSENBURG,107,CO- PUEBLO
6053,CO- WHEAT RIDGE,103,CO- DENVER
6054,CO- WRAY,106,CO- GREELEY
6055,CO- YUMA,106,CO- GREELEY
7001,CT- BRIDGEPORT,109,CT- BRIDGEPORT
7002,CT- BRISTOL,110,CT- HARTFORD
7003,CT- DANBURY,111,CT- NEW HAVEN
7004,CT- DERBY,111,CT- NEW HAVEN
7006,CT- GREENWICH,109,CT- BRIDGEPORT
7007,CT- HARTFORD,110,CT- HARTFORD
7008,CT- MANCHESTER,110,CT- HARTFORD
7009,CT- MERIDEN,111,CT- NEW HAVEN
7010,CT- MIDDLETOWN,110,CT- HARTFORD
7011,CT- MILFORD,111,CT- NEW HAVEN
7012,CT- NEW BRITAIN,110,CT- HARTFORD
7013,CT- NEW HAVEN,111,CT- NEW HAVEN
7014,CT- NEW LONDON,111,CT- NEW HAVEN
7015,CT- NEW MILFORD,111,CT- NEW HAVEN
7017,CT- NORWALK,109,CT- BRIDGEPORT
7018,CT- NORWICH,110,CT- HARTFORD
7019,CT- PUTNAM,110,CT- HARTFORD
7020,CT- ROCKVILLE,110,CT- HARTFORD
7021,CT- SHARON,110,CT- HARTFORD
7022,CT- SOUTHINGTON,111,CT- NEW HAVEN
7023,CT- STAFFORD SPRINGS,110,CT- HARTFORD
7024,CT- STAMFORD,109,CT- BRIDGEPORT
7025,CT- TORRINGTON,110,CT- HARTFORD
7026,CT- WATERBURY,111,CT- NEW HAVEN
7027,CT- WILLIMANTIC,110,CT- HARTFORD
7028,CT- WINSTED,110,CT- HARTFORD
8001,DE- DOVER,112,DE- WILMINGTON
8002,DE- LEWES,225,MD- SALISBURY
8003,DE- MILFORD,225,MD- SALISBURY
8004,DE- SEAFORD,225,MD- SALISBURY
8005,DE- WILMINGTON,112,DE- WILMINGTON
9001,DC- WASHINGTON,113,DC- WASHINGTON
10001,FL- APALACHICOLA,133,FL- PANAMA CITY
10002,FL- ARCADIA,137,FL- SARASOTA
10003,FL- ATLANTIS,118,FL- FORT LAUDERDALE
10005,FL- AVON PARK,130,FL- ORLANDO
10006,FL- BARTOW,124,FL- LAKELAND
10007,FL- BELLE GLADE,118,FL- FORT LAUDERDALE
10008,FL- BLOUNTSTOWN,140,FL- TALLAHASSEE
10009,FL- BOCA RATON,118,FL- FORT LAUDERDALE
10011,FL- BOYNTON BEACH,118,FL- FORT LAUDERDALE
10012,FL- BRADENTON,115,FL- BRADENTON
10013,FL- BRANDON,141,FL- TAMPA
10014,FL- BROOKSVILLE,122,FL- HUDSON
10015,FL- BUNNELL,131,FL- ORMOND BEACH
10016,FL- CAPE CORAL,119,FL- FORT MYERS
10017,FL- CHIPLEY,133,FL- PANAMA CITY
