state,state_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
30,MT-Montana,147007,886,149510,912,151938,945,155360,960,158975,983,163571,988,168452,987,172193,982,177390,1002,183195,1002,190670,1042,197768,1087
31,NE-Nebraska,267951,2031,269260,2083,271014,2160,273706,2205,276717,2277,280550,2270,284564,2249,287676,2254,291680,2281,297721,2214,305718,2197,313065,2240
32,NV-Nevada,279105,2172,292462,2415,302687,2601,313425,2742,323307,2919,335381,3112,348003,3348,359033,3431,373227,3715,392149,3953,413390,4128,433917,4377
33,NH-New Hampshire,183992,952,187651,997,191784,1057,196818,1077,201924,1079,208644,1069,215212,1081,221034,1093,228018,1123,237667,1106,248802,1101,258965,1150
34,NJ-New Jersey,1267256,12918,1272582,13346,1277315,13638,1286938,14004,1299682,14425,1321121,14555,1343925,15044,1361845,15306,1386970,15564,1423659,15937,1466276,16104,1500040,16324
35,NM-New Mexico,255570,2667,262035,2804,269146,2883,279404,3052,288725,3176,298509,3238,308014,3378,316645,3457,326312,3548,338444,3577,352107,3615,364025,3658
36,NY-New York,2852356,25968,2865040,27521,2878078,27513,2899610,28565,2923896,28910,2967933,29783,3018067,30783,3054636,31018,3107751,31460,3184832,31689,3274251,31788,3350170,32291
37,NC-North Carolina,1241617,13942,1271149,14741,1300855,15193,1341211,15967,1381378,16567,1427578,16973,1473378,17456,1512493,17625,1557928,18277,1614308,18631,1681199,18886,1740854,19341
38,ND-North Dakota,107180,666,107544,672,107358,736,107962,770,108753,843,109656,827,111089,868,112170,875,113257,908,114785,939,116895,898,118967,914
39,OH-Ohio,1796098,15901,1809221,16861,1821944,17154,1841308,18072,1863282,18758,1895214,19416,1929854,19886,1954230,20081,1987216,20622,2040886,20895,2106106,21069,2159385,21293
40,OK-Oklahoma,542086,4501,549288,4787,557702,4875,570400,5119,582070,5188,595325,5293,609347,5525,620141,5653,632414,5889,648934,5990,667347,5920,683322,6289
41,OR-Oregon,530743,3273,540727,3520,552110,3621,566491,3777,579726,3820,595702,3865,613193,4048,629478,4138,649363,4353,675203,4420,704626,4550,732919,4706
42,PA-Pennsylvania,2198958,17662,2208168,18179,2217476,18409,2235452,19072,2257131,19370,2291712,19533,2327724,19798,2348810,20337,2380494,20659,2433263,20866,2499006,20814,2553975,21259
44,RI-Rhode Island,179647,1246,179588,1292,179964,1285,180576,1312,181434,1240,183533,1224,186161,1262,188048,1288,190904,1283,195284,1295,200393,1299,204814,1321
45,SC-South Carolina,624699,7732,640465,8176,658661,8612,683701,8881,706404,9231,732336,9545,759088,9837,781937,9964,808685,10215,842513,10215,880649,10383,916066,10852
46,SD-South Dakota,125905,945,127086,927,128591,1006,130615,1032,132621,1047,135301,1049,138085,1040,140184,1021,142401,1068,145744,1038,149905,1061,154250,1090
47,TN-Tennessee,901899,8608,919342,8800,939757,8970,968302,9337,995143,9634,1023706,10089,1053425,10493,1077202,10833,1105713,11317,1144358,11794,1188935,12034,1226215,12416
48,TX-Texas,2467423,32319,2521740,34185,2587490,35844,2680474,38160,2762798,39718,2854558,41250,2952839,42883,3040481,44357,3144718,46469,3278930,48215,3425123,49594,3557382,51639
49,UT-Utah,225924,1619,232040,1627,238955,1712,248678,1815,257539,1919,266960,1971,276936,2015,285654,2104,295433,2186,307455,2241,321947,2305,335393,2371
50,VT-Vermont,95690,560,97070,575,98884,580,101202,588,103643,622,106798,626,110096,644,112942,638,116548,637,120784,591,125701,598,129959,578
51,VA-Virginia,975618,10843,995582,11439,1015645,11869,1043308,12176,1068921,12619,1100106,12727,1133028,13072,1161562,13193,1193443,13435,1236977,13573,1287357,13413,1330676,13784
53,WA-Washington,797645,5516,815571,5907,832696,6127,862476,6441,888341,6709,918192,6768,949174,6884,982197,7239,1017332,7579,1060508,7828,1109381,8031,1154276,8221
54,WV-West Virginia,358533,2631,362644,2674,366565,2812,372025,2839,377416,2940,384174,2907,389794,2941,393230,2971,397546,2976,405368,3011,414917,3049,422240,3166
55,WI-Wisconsin,831966,5939,841752,6162,852600,6829,865790,7072,879525,7428,897070,7475,915609,7638,931231,7695,953171,7912,980605,7869,1013410,7796,1043788,8032
56,WY-Wyoming,70615,392,71598,401,72815,415,74397,426,75985,427,77872,429,79767,427,81797,416,83752,432,86590,461,90146,455,93391,448
