state,state_lab,age,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
32,NV-Nevada,3:40-64,31455,964,34215,1042,36964,1102,39540,1195,41204,1281,42395,1336,43626,1458,44931,1484,47295,1576,49894,1700,51838,1738,53895,1817
32,NV-Nevada,4:65-75,139126,507,144904,591,148852,669,153351,664,158786,695,166604,777,175197,820,181770,900,189078,977,200773,1050,214790,1125,227322,1207
32,NV-Nevada,5:75-85,80358,356,83432,412,85767,447,87656,476,88563,510,90067,525,91382,537,93174,540,95475,632,98462,645,102074,699,106535,770
32,NV-Nevada,6:85+,22739,62,24128,90,25084,97,26624,111,28384,126,29732,143,31161,168,32411,172,34238,182,35556,204,36858,203,38121,217
33,NH-New Hampshire,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
33,NH-New Hampshire,2:18-39,5221,109,5394,96,5673,103,5982,90,6276,81,6545,78,6883,70,7032,74,7483,70,8096,64,8643,64,9049,68
33,NH-New Hampshire,3:40-64,21353,341,22832,363,24423,366,26414,386,27963,427,29336,410,30509,404,31630,423,33226,422,35111,414,36388,425,37760,417
33,NH-New Hampshire,4:65-75,79286,236,80032,253,80863,273,82239,283,84413,276,88171,280,92558,291,96177,275,99605,306,105391,293,113678,284,120508,296
33,NH-New Hampshire,5:75-85,55873,211,56413,227,57175,257,57729,241,57982,212,58522,211,58655,233,58627,233,59154,237,59653,227,60113,235,61038,276
33,NH-New Hampshire,6:85+,22251,47,22973,51,23646,55,24447,70,25284,77,26061,81,26599,75,27561,81,28542,80,29408,100,29976,89,30605,88
34,NJ-New Jersey,1:0-17,89,77,92,84,75,71,76,73,79,76,62,60,54,53,50,46,44,38,43,38,35,30,37,32
34,NJ-New Jersey,2:18-39,25461,1174,24947,1136,24883,1088,24853,1052,24432,1022,24297,1039,24326,1002,24336,973,25351,989,26344,925,27208,904,27683,890
34,NJ-New Jersey,3:40-64,121688,5059,126797,5201,132688,5267,138662,5399,143551,5625,147185,5646,150942,5815,155478,6005,161198,6137,166592,6177,170956,6209,175105,6201
34,NJ-New Jersey,4:65-75,537731,3091,534097,3145,530563,3275,529850,3294,535284,3382,550803,3459,569600,3592,582766,3672,598671,3838,627451,4025,661979,4157,687873,4355
34,NJ-New Jersey,5:75-85,418950,2762,420014,2933,419705,3070,418067,3187,414578,3286,411282,3246,405826,3352,400934,3312,398235,3218,395716,3331,394766,3373,395332,3387
34,NJ-New Jersey,6:85+,163337,755,166635,847,169401,867,175430,999,181758,1034,187492,1105,193177,1230,198281,1298,203471,1344,207513,1441,211332,1431,214010,1459
35,NM-New Mexico,1:0-17,27,24,21,19,24,21,25,22,23,21,13,11,15,13,15,15,14,14,13,13,12,12,,
35,NM-New Mexico,2:18-39,6096,256,6357,256,6661,265,7004,286,7445,288,7856,255,8156,252,8428,260,8759,251,9227,265,9672,258,9837,260
35,NM-New Mexico,3:40-64,32382,1237,34234,1282,36711,1352,39461,1417,41873,1451,44427,1499,46400,1592,48070,1638,50105,1675,51873,1657,53321,1684,54470,1685
35,NM-New Mexico,4:65-75,115520,679,117830,721,120134,717,124132,759,128006,820,132748,859,138184,878,142581,881,147654,918,155293,944,164805,947,172630,1006
35,NM-New Mexico,5:75-85,74375,413,75607,457,77338,455,79287,484,80432,501,81370,512,82072,540,83511,548,84654,567,86292,562,87727,566,89643,544
35,NM-New Mexico,6:85+,27170,58,27986,69,28278,73,29495,84,30946,95,32095,102,33187,103,34040,115,35126,123,35746,136,36570,148,37435,153
36,NY-New York,1:0-17,175,156,179,158,162,141,170,154,163,149,154,141,140,131,147,134,162,146,153,137,140,128,123,113
36,NY-New York,2:18-39,67780,2382,66834,2308,65935,2195,65833,2119,65550,2110,65982,2081,66920,2068,67544,1990,69852,1962,72606,1918,74267,1843,75161,1813
36,NY-New York,3:40-64,332611,10873,344318,11048,357435,10987,371749,11359,384559,11472,395646,11786,407546,12050,420028,12126,434182,12238,445790,12183,454167,12140,461329,12169
36,NY-New York,4:65-75,1183364,6106,1176833,6697,1173023,6733,1173203,7039,1182540,7165,1211444,7407,1247405,7813,1272061,7826,1302126,7956,1358295,8230,1429374,8356,1486997,8729
36,NY-New York,5:75-85,893713,5093,897393,5717,898309,5765,895437,5947,888292,5967,882424,6165,873106,6350,864736,6458,860666,6522,858509,6541,859425,6488,863355,6533
36,NY-New York,6:85+,374713,1358,379483,1593,383214,1692,393218,1947,402792,2047,412283,2203,422950,2371,430120,2484,440763,2636,449479,2680,456878,2833,463205,2934
37,NC-North Carolina,1:0-17,78,72,79,77,74,71,95,92,93,90,93,90,90,86,80,79,72,70,79,74,83,73,82,73
37,NC-North Carolina,2:18-39,33508,1514,34165,1531,34710,1534,35424,1570,36036,1617,36912,1637,37499,1644,37690,1585,38974,1593,40038,1570,40837,1544,41116,1540
37,NC-North Carolina,3:40-64,189623,6480,201326,6919,212868,7181,225433,7555,235555,7854,244499,8042,251544,8323,259102,8556,268940,8827,276914,9038,282335,8990,287948,9045
37,NC-North Carolina,4:65-75,536378,3314,544103,3468,554109,3568,569440,3757,589886,3970,615071,4092,645163,4164,667051,4180,689808,4367,727401,4438,776046,4720,816875,5063
37,NC-North Carolina,5:75-85,354363,2165,360750,2311,365411,2388,371158,2482,373957,2440,379466,2501,382426,2603,386833,2614,393753,2796,398976,2842,405743,2817,414535,2857
37,NC-North Carolina,6:85+,127667,397,130726,435,133683,451,139661,511,145851,596,151537,611,156656,636,161737,611,166381,624,170900,669,176155,742,180298,763
38,ND-North Dakota,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
38,ND-North Dakota,2:18-39,2045,60,2060,56,2072,64,2118,62,2153,67,2216,55,2276,64,2282,62,2308,63,2401,61,2473,61,2498,63
38,ND-North Dakota,3:40-64,9012,266,9379,273,9700,280,10149,295,10505,302,10826,286,11175,297,11481,310,11736,309,12042,328,12163,312,12293,332
38,ND-North Dakota,4:65-75,44489,148,44130,137,43602,159,43477,163,43827,199,44341,191,45277,208,45901,203,46677,222,48017,237,50175,242,52194,241
38,ND-North Dakota,5:75-85,34692,141,34905,147,35006,164,34970,188,34760,198,34627,214,34534,214,34365,202,34095,219,33789,213,33395,197,33146,197
38,ND-North Dakota,6:85+,16935,44,17063,52,16971,62,17244,58,17500,69,17639,74,17822,80,18137,94,18439,93,18534,99,18688,85,18833,78
39,OH-Ohio,1:0-17,133,120,110,102,100,90,93,88,102,95,103,98,99,95,86,82,83,77,73,69,72,64,69,60
39,OH-Ohio,2:18-39,44290,1541,45333,1507,46187,1469,47245,1492,47751,1523,48149,1504,49338,1477,49861,1480,51377,1436,53478,1449,54741,1425,55280,1377
39,OH-Ohio,3:40-64,196664,6214,204286,6595,214047,6784,224759,7270,233450,7634,240817,7869,250147,8057,259891,8189,273605,8481,287778,8566,298084,8633,307378,8648
39,OH-Ohio,4:65-75,765543,3967,764323,4298,763161,4296,763534,4361,774630,4425,796423,4638,820420,4811,833053,4862,846248,4988,880555,5213,929798,5379,966821,5606
39,OH-Ohio,5:75-85,576442,3323,577681,3541,578776,3655,578587,3906,572142,3977,567560,4132,560047,4126,555177,4062,552384,4138,550261,4120,549859,4071,553090,4086
39,OH-Ohio,6:85+,213026,736,217488,818,219673,860,227090,955,235207,1104,242162,1175,249803,1320,256162,1406,263519,1502,268741,1478,273552,1497,276747,1516
40,OK-Oklahoma,1:0-17,38,36,42,40,46,45,43,43,44,41,44,39,42,40,44,41,48,45,50,48,50,45,44,42
40,OK-Oklahoma,2:18-39,11477,449,12029,463,12620,465,13575,503,14473,503,15303,520,16086,529,16649,523,17420,540,18158,506,18724,506,18897,537
40,OK-Oklahoma,3:40-64,66907,2047,70827,2148,75482,2173,81123,2258,85829,2329,90610,2380,94680,2483,97710,2534,101760,2689,105818,2739,108268,2726,110346,2850
40,OK-Oklahoma,4:65-75,237715,1130,239968,1199,242967,1220,246444,1260,251579,1239,258000,1244,266059,1315,271770,1388,276494,1402,286908,1470,300409,1466,310766,1606
40,OK-Oklahoma,5:75-85,163060,699,163340,756,163729,795,165126,841,164585,878,164948,907,164971,915,165586,924,166537,944,166998,938,168019,886,170607,955
40,OK-Oklahoma,6:85+,62889,140,63082,181,62858,177,64089,214,65560,198,66420,203,67509,243,68382,243,70155,269,71002,289,71877,291,72662,299
41,OR-Oregon,1:0-17,40,40,41,38,42,40,46,45,48,47,42,41,33,32,27,26,25,25,29,29,30,30,28,28
41,OR-Oregon,2:18-39,11012,353,11088,356,11240,363,11507,363,11570,350,11932,333,12217,361,12555,359,13324,366,14169,354,14814,352,15456,353
41,OR-Oregon,3:40-64,56019,1336,59843,1429,63610,1517,67714,1554,70861,1571,73327,1644,75747,1721,78826,1747,82892,1843,86525,1840,89087,1833,91879,1894
41,OR-Oregon,4:65-75,223820,699,227487,795,232681,777,239541,834,247454,858,259540,836,273222,880,284715,948,297174,1028,315843,1094,338839,1247,358805,1324
41,OR-Oregon,5:75-85,171019,681,171297,726,171859,731,172133,766,171389,762,170103,760,168849,776,168391,762,168973,785,170113,789,172287,795,176468,813
41,OR-Oregon,6:85+,68833,164,70971,176,72678,193,75550,215,78404,232,80758,251,83125,278,84964,296,86975,306,88524,314,89569,293,90283,294
42,PA-Pennsylvania,1:0-17,108,84,103,91,101,90,88,82,91,85,88,81,82,77,80,77,84,78,82,75,80,72,80,71
42,PA-Pennsylvania,2:18-39,45397,1523,47151,1430,48789,1374,50577,1361,52058,1318,53561,1312,55309,1324,56301,1263,58331,1250,60352,1220,61687,1189,62247,1144
42,PA-Pennsylvania,3:40-64,216981,6501,229574,6731,244021,6875,259292,7066,273674,7342,286032,7420,297368,7517,308719,7686,322011,7912,333703,7998,342727,7957,352827,7978
42,PA-Pennsylvania,4:65-75,909285,4438,899137,4519,890213,4476,886485,4581,892736,4648,913688,4679,940819,4794,954644,4972,970887,5120,1011460,5292,1068409,5507,1111276,5853
42,PA-Pennsylvania,5:75-85,743354,4165,741804,4377,739470,4472,734972,4661,725184,4615,716396,4623,703861,4545,690688,4604,681753,4518,673050,4463,665805,4257,663638,4437
42,PA-Pennsylvania,6:85+,283833,951,290399,1031,294882,1122,304038,1321,313388,1362,321947,1418,330285,1541,338378,1735,347428,1781,354616,1818,360298,1832,363907,1776
44,RI-Rhode Island,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
44,RI-Rhode Island,2:18-39,4789,114,4797,115,4899,108,4949,101,5006,95,5082,95,5156,88,5226,87,5426,88,5550,87,5710,85,5765,87
44,RI-Rhode Island,3:40-64,21832,423,22762,424,24043,428,25185,425,26090,428,26931,406,27790,416,28310,422,29363,438,30413,446,31014,457,31589,465
44,RI-Rhode Island,4:65-75,67834,281,66782,294,65926,282,65413,272,65881,265,67734,283,70143,299,72150,298,74143,289,78077,312,82838,314,86712,326
44,RI-Rhode Island,5:75-85,60211,336,59732,351,59140,350,58325,372,57087,314,55661,299,54376,318,52980,333,51879,315,50648,311,49845,298,49533,308
44,RI-Rhode Island,6:85+,24974,86,25509,102,25951,112,26695,133,27360,128,28118,134,28693,138,29379,145,30091,151,30594,137,30982,142,31210,132
45,SC-South Carolina,1:0-17,56,54,50,50,46,43,52,52,44,43,38,37,36,36,32,32,36,33,27,27,45,38,47,45
45,SC-South Carolina,2:18-39,17490,890,17841,887,18110,848,18404,849,18452,886,18710,916,18874,899,18894,867,19412,866,19992,842,20264,806,20505,795
45,SC-South Carolina,3:40-64,102199,3647,108286,3875,114640,4135,121086,4270,126258,4472,130265,4625,133788,4739,138180,4837,143565,4952,148868,4956,153292,4952,156922,5137
45,SC-South Carolina,4:65-75,269427,1811,274768,1910,282632,2022,294463,2077,307134,2208,322507,2275,340182,2426,353256,2509,367748,2589,389753,2583,416116,2705,439906,2869
45,SC-South Carolina,5:75-85,174583,1143,177346,1234,179225,1302,182230,1349,183698,1311,186838,1367,189448,1418,192404,1396,196302,1446,200501,1479,205284,1533,211433,1642
45,SC-South Carolina,6:85+,60944,187,62174,220,64008,262,67466,284,70818,311,73978,325,76760,319,79171,323,81622,329,83372,328,85648,349,87253,364
46,SD-South Dakota,1:0-17,17,17,14,13,11,11,,,,,,,,,,,,,,,,,,
46,SD-South Dakota,2:18-39,2656,76,2625,76,2614,77,2674,84,2719,83,2808,80,2913,80,2919,80,3035,84,3172,82,3245,78,3329,84
46,SD-South Dakota,3:40-64,11656,379,12131,365,12622,383,13184,386,13595,413,13972,424,14270,421,14610,410,14935,417,15409,414,15865,441,16181,451
46,SD-South Dakota,4:65-75,52662,215,52692,217,53315,227,54026,236,55113,237,57046,233,59197,236,60748,245,62105,264,64510,275,68034,285,71622,287
46,SD-South Dakota,5:75-85,40366,196,40715,193,40917,219,41209,230,41194,230,41241,224,40926,211,40832,195,40870,219,40919,189,40998,185,41179,196
46,SD-South Dakota,6:85+,18548,62,18909,63,19112,89,19512,86,19992,76,20227,81,20771,84,21070,86,21450,78,21727,71,21759,68,21936,69
47,TN-Tennessee,1:0-17,73,68,77,71,65,61,65,62,60,60,57,56,48,47,52,52,40,40,42,40,43,39,35,30
47,TN-Tennessee,2:18-39,26563,1020,26938,981,27525,964,28011,958,28175,941,28433,960,28826,968,28832,935,29599,952,30835,972,31746,972,31727,923
47,TN-Tennessee,3:40-64,142387,3917,149994,4061,159166,4180,168580,4374,176671,4489,182818,4687,188246,4865,193572,5131,201736,5351,210401,5564,216905,5572,222311,5705
47,TN-Tennessee,4:65-75,385250,1984,392102,2037,399764,2074,411728,2156,425150,2231,441613,2346,461299,2486,474977,2533,487693,2703,510869,2845,541579,3017,565357,3267
47,TN-Tennessee,5:75-85,252996,1323,254814,1357,257115,1389,260794,1465,262162,1525,265152,1628,266925,1685,269218,1738,272908,1809,276719,1867,281028,1889,287351,1952
47,TN-Tennessee,6:85+,94630,296,95417,293,96122,302,99124,322,102925,388,105633,412,108081,442,110551,444,113737,462,115492,506,117634,545,119434,539
48,TX-Texas,1:0-17,303,288,278,271,282,276,304,299,287,281,284,276,289,281,275,268,272,259,274,261,267,252,260,246
48,TX-Texas,2:18-39,51756,3670,53457,3675,55918,3716,60126,3826,63548,3936,67066,4003,70614,3978,73400,4131,77998,4178,83649,4174,88041,4114,90171,4093
48,TX-Texas,3:40-64,273441,15161,292452,16227,315824,17142,344428,18453,367548,19306,389387,20161,407929,21055,425509,21750,445563,22934,468223,23752,484701,24251,498543,25077
48,TX-Texas,4:65-75,1135978,7609,1153546,8041,1173532,8368,1204426,8714,1240903,9013,1287044,9365,1346029,9912,1392266,10287,1445507,10819,1528792,11505,1626752,12225,1713944,13047
48,TX-Texas,5:75-85,736094,4667,748975,4967,763355,5229,781129,5665,788604,5821,797908,5969,805200,6093,816067,6303,830431,6569,842957,6728,860783,6902,880974,7211
48,TX-Texas,6:85+,269851,924,273032,1004,278579,1113,290061,1203,301908,1361,312869,1476,322778,1564,332964,1618,344947,1710,355035,1795,364579,1850,373490,1965
49,UT-Utah,1:0-17,23,23,23,22,28,25,31,31,33,32,37,37,32,32,24,23,21,20,24,23,28,27,24,24
49,UT-Utah,2:18-39,5693,291,5927,286,6262,290,6630,300,7031,314,7519,290,7889,292,8072,309,8604,301,9200,306,9623,311,9858,293
49,UT-Utah,3:40-64,21106,699,22569,723,24031,751,25877,749,27867,808,29609,843,30918,840,32200,868,33773,887,35747,903,37614,937,39200,980
49,UT-Utah,4:65-75,102717,311,105124,300,108283,343,112415,397,116338,430,121360,432,127676,468,132242,494,136892,534,143683,534,153172,562,161594,582
49,UT-Utah,5:75-85,70443,255,71348,247,72781,243,74836,279,76079,271,77277,291,78095,301,79710,330,81363,362,82939,380,84734,375,87012,393
49,UT-Utah,6:85+,25942,40,27049,49,27570,60,28889,59,30191,64,31158,78,32326,82,33406,80,34780,82,35862,95,36776,93,37705,99
50,VT-Vermont,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
50,VT-Vermont,2:18-39,2830,38,2871,37,2925,36,3068,39,3233,35,3328,34,3518,34,3644,39,3909,37,4102,31,4235,28,4338,28
50,VT-Vermont,3:40-64,11793,214,12303,221,13086,217,13802,220,14492,225,15107,231,15636,250,16264,245,16951,247,17637,229,18066,221,18405,206
50,VT-Vermont,4:65-75,40678,137,40938,139,41248,143,41980,152,43101,172,45031,168,47371,166,49134,161,51091,161,54100,158,57885,167,61112,172
50,VT-Vermont,5:75-85,28529,127,28807,130,29272,140,29571,130,29718,147,29790,157,29694,153,29701,146,29918,141,30009,128,30240,135,30648,128
50,VT-Vermont,6:85+,11854,39,12142,40,12349,40,12776,42,13092,36,13537,31,13872,36,14192,40,14671,43,14930,40,15269,41,15452,41
51,VA-Virginia,1:0-17,71,66,64,61,57,54,63,59,68,66,73,69,62,61,55,53,53,50,52,49,56,49,53,45
51,VA-Virginia,2:18-39,24060,1162,24489,1186,24753,1176,25179,1176,26024,1178,26566,1142,27080,1084,27407,1090,28313,1058,29474,1027,30335,984,30652,964
51,VA-Virginia,3:40-64,126443,4777,132868,5110,139854,5319,146982,5563,153535,5800,158470,5833,162335,5979,166320,6023,171346,6124,176304,6110,180271,5982,183405,5998
51,VA-Virginia,4:65-75,428900,2572,435383,2651,442237,2792,453106,2820,465037,2907,483935,2991,507190,3154,525445,3261,543564,3280,573331,3426,609888,3422,639731,3636
51,VA-Virginia,5:75-85,290716,1894,294265,2014,297676,2070,301742,2061,302334,2162,304770,2142,305729,2202,307338,2141,310658,2257,314529,2272,319964,2287,327131,2439
51,VA-Virginia,6:85+,105428,372,108513,417,111068,458,116236,497,121923,506,126292,550,130632,592,134997,625,139509,666,143287,689,146843,689,149704,702
53,WA-Washington,1:0-17,62,60,61,60,56,56,60,60,52,52,54,53,58,58,55,55,66,66,66,66,68,68,73,72
53,WA-Washington,2:18-39,18216,640,18634,662,19249,674,20235,655,21075,642,21857,622,22479,617,22697,639,23890,639,25287,643,26665,639,27474,641
53,WA-Washington,3:40-64,88675,2292,94604,2454,101207,2593,108619,2711,114804,2855,120380,2872,124332,2871,128531,3060,134813,3199,140392,3287,144724,3359,149048,3403
53,WA-Washington,4:65-75,339257,1229,346284,1287,352969,1312,365819,1366,379678,1434,398913,1503,422143,1601,445245,1704,466931,1837,497045,1972,533390,2070,564612,2190
53,WA-Washington,5:75-85,251471,1046,252674,1150,253169,1177,256225,1279,255785,1284,255797,1262,255174,1293,257283,1317,259840,1367,263373,1355,268355,1415,274894,1426
53,WA-Washington,6:85+,99964,249,103314,294,106046,315,111518,370,116947,442,121191,456,124988,444,128386,464,131792,471,134345,505,136179,480,138175,489
54,WV-West Virginia,1:0-17,26,25,25,25,25,24,19,18,19,17,19,17,16,14,13,13,,,,,,,,
54,WV-West Virginia,2:18-39,10719,233,11146,217,11346,205,11595,220,11946,210,12193,216,12406,219,12267,194,12386,195,12484,183,12435,189,12112,175
54,WV-West Virginia,3:40-64,64603,1049,67506,1067,70982,1126,74479,1141,77342,1200,79955,1195,81813,1203,83143,1224,84820,1240,86422,1215,86609,1189,86217,1235
54,WV-West Virginia,4:65-75,144047,674,144188,691,144457,729,145671,736,147995,785,151443,792,155676,776,158170,769,160357,777,166029,831,174842,893,181884,951
54,WV-West Virginia,5:75-85,102243,532,102659,550,102953,596,102889,584,101709,592,101318,554,99774,585,98857,612,98700,592,98410,599,98383,578,98859,614
54,WV-West Virginia,6:85+,36895,118,37120,124,36802,132,37372,140,38405,136,39246,133,40109,144,40780,159,41274,163,42016,176,42638,190,43159,182
55,WI-Wisconsin,1:0-17,55,53,48,46,53,52,59,59,54,54,57,57,47,47,36,36,40,37,34,31,33,29,27,24
55,WI-Wisconsin,2:18-39,19917,672,20334,642,20847,622,21357,619,21627,624,21908,613,22617,607,23239,577,24258,546,25341,548,26063,556,26610,594
55,WI-Wisconsin,3:40-64,80215,2241,84924,2369,90577,2605,96556,2765,101299,2876,105268,2883,109212,2945,114050,2999,120497,3065,126217,3065,130605,3025,134622,3124
55,WI-Wisconsin,4:65-75,352907,1323,353838,1356,355327,1527,357397,1588,363485,1689,374570,1682,387585,1764,396544,1785,407166,1908,425104,1893,449409,1899,470981,1995
55,WI-Wisconsin,5:75-85,265180,1328,266448,1394,268584,1618,270196,1602,269743,1696,269058,1673,267043,1695,265802,1690,266489,1711,266718,1688,267747,1648,269851,1656
55,WI-Wisconsin,6:85+,113692,322,116160,355,117212,405,120225,439,123317,489,126209,567,129105,580,131560,608,134721,645,137191,644,139553,639,141697,639
56,WY-Wyoming,1:0-17,,,,,,,,,,,,,,,,,,,,,,,,
56,WY-Wyoming,2:18-39,1552,50,1512,50,1564,52,1629,44,1639,45,1699,46,1738,43,1768,45,1792,48,1876,45,1977,39,2049,36
56,WY-Wyoming,3:40-64,7580,182,7796,185,8089,180,8441,186,8737,193,9048,194,9313,190,9509,187,9854,197,10269,217,10525,193,10781,198
56,WY-Wyoming,4:65-75,32500,83,32741,85,33212,91,33809,86,34673,82,35963,94,37375,104,38764,103,39854,103,41686,109,44398,121,46663,116
56,WY-Wyoming,5:75-85,20974,63,21471,65,21809,79,22020,89,22081,82,22092,76,22043,68,22190,60,22473,62,22802,68,23119,76,23456,76
56,WY-Wyoming,6:85+,8001,,8070,,8134,,8489,12,8846,16,9062,11,9294,18,9561,17,9774,18,9954,19,10121,20,10438,18
