HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2001),Total Medicare reimbursements per enrollee (Part A and B) (2001),Total Part A Medicare reimbursements per enrollee (2001),Total Part B Medicare reimbursements per enrollee (2001),Medicare reimbursements for inpatient short stays per enrollee (2001),Medicare reimbursements for inpatient long stays per enrollee (2001),Medicare reimbursements for outpatient services per enrollee (2001),Part B Medicare reimbursements for professional & laboratory services per enrollee (2001),Part B Medicare reimbursements for medical & surgical services per enrollee (2001),Part B Medicare reimbursements for medical care per enrollee (2001),Part B Medicare reimbursements for surgical services per enrollee (2001),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2001)",Part B Medicare reimbursements for durable medical equipment per enrollee (2001),Medicare reimbursements for home health services per enrollee (2001),Medicare reimbursements for hospice services per enrollee (2001),Medicare reimbursements for skilled nursing facilities per enrollee (2001)
10073,FL-Melbourne,1672.49401855469,6368.49371277068,3365.92624992919,2997.21469761691,2290.17345414224,245.47524368227,420.79817337703,2024.35082910673,1427.32304527298,975.921775308239,451.448412987104,596.177640321278,129.753273473238,213.412938176985,,579.351042630149
10074,FL-Miami,4706.23110961914,10747.64740818,5242.3282226917,5539.64278285684,3763.75668296405,418.862381776933,1011.73143191045,2717.18810776829,1927.76595397443,1427.77491691964,496.875963416254,791.335490325747,1069.62022816732,505.10763517914,294.407824779377,545.564644538597
10075,FL-Miami Beach,551.248153686523,9455.22877951996,4489.33891609137,5014.54516749168,3161.51060118739,,798.188835783129,2678.09378614229,1859.04689234568,1317.15601714938,541.202137074481,821.695782113196,1026.05148781616,350.703739008689,,428.601897702645
10076,FL-Milton,189.332748413086,8499.94698669649,5689.90766163497,2852.10282529519,4321.99066392653,,557.689410461789,1649.2037630834,1304.54468108027,858.53304752597,444.645985181154,346.043446984434,215.564311243775,,,
10077,FL-Naples,2750.4139251709,6257.82734312883,2913.2830631905,3320.94278012857,2000.17303278752,236.204249748122,433.068815156761,2187.58242214548,1516.70240772344,993.484281370392,521.591479658253,668.436667865997,96.2523350788425,197.531115294323,178.102037769564,361.014207766739
10078,FL-New Port Richey,1400.57867431641,6575.78656933806,3376.95806530663,3211.85322575412,2390.0254582861,166.619689011717,431.85199743433,2027.68580910508,1470.07757475742,1030.57318561743,439.523693131631,558.409868995785,152.232718828304,345.665048410376,,477.721877027514
10079,FL-New Smyrna Beach,435.499160766602,4555.71259696732,1948.9758464638,2587.26600389139,1445.26866921156,,597.76719081699,1395.18224429303,1053.15362202985,635.892346922096,414.769770861935,341.921120854758,108.220405518899,255.841515271482,,
10080,FL-Niceville,238.166564941406,5801.37865208657,3049.9005444066,2731.38485164484,2148.21607171366,,656.233939236153,1496.93133883819,1182.09886640582,837.481417704572,346.390572500046,316.116238330795,172.213750018848,,,
10083,FL-Ocala,2957.99557495117,6006.55751688557,3063.36048184258,2932.14397325147,2165.14763258761,88.823742361849,390.190937627181,1871.49696055499,1249.45145075949,783.454002056025,464.306972801459,620.256909213135,197.955473082071,231.897456852789,142.613967382961,543.218951191033
10084,FL-Okeechobee,246.332626342773,9642.01947738873,5356.45700137191,4276.76472730166,4279.39372490708,,751.876562387369,2203.25462919901,1548.26020152415,965.544525785314,578.296227833558,652.203900805894,422.258484608881,,,
10085,FL-Orange Park,454.58154296875,7187.6812471776,4132.90207107802,3053.2629128531,2862.63035018096,,504.557715537689,1834.91969672641,1369.52680202947,945.056432668006,424.766871439399,465.011581885625,234.683162221179,258.756073471689,,
10086,FL-Orlando,3495.14779663086,6994.83950455567,4009.82870080796,2984.16902288873,2726.69981511005,154.827099619219,434.860810349785,1887.22169394945,1411.2335089932,997.192778359922,414.22603404347,475.8732768434,184.7426603556,303.648403985107,353.09309831327,629.877820496611
10087,FL-Ormond Beach,620.748794555664,6379.65769243492,3387.96015631502,2987.85412158428,2083.77589699577,,746.591378133509,1669.01591915161,1232.08787588599,832.116407086273,399.82952440675,436.692082557442,142.446118807479,253.42739467704,,734.130756263078
10088,FL-Pahokee,16.6665954589844,,,,,,,,,,,,,,,
10089,FL-Palatka,501.082672119141,6906.54987217371,3999.2016388266,2906.56296998295,3120.59138324775,,665.984508017758,1671.57155050962,1190.21433655646,819.206547869188,371.161568357122,480.386059910393,191.346090905347,206.840162238454,,
