"CT,C,11","CT_ST,C,2","PCSA,C,11","PCSA_ST,C,2","PCSA_L,C,30"
51019030503,VA,51019030501,VA,VA02_BEDFORD
51019030504,VA,51019030501,VA,VA02_BEDFORD
51019030601,VA,51161031102,VA,VA02_ROANOKE
51019030602,VA,51161031102,VA,VA02_ROANOKE
51019030603,VA,51161031102,VA,VA02_ROANOKE
51019030604,VA,51161031102,VA,VA02_ROANOKE
51019030605,VA,51023040501,VA,VA02_TROUTVILLE
51021040100,VA,51021040200,VA,VA00_BASTIAN
51021040200,VA,51021040200,VA,VA00_BASTIAN
51023040100,VA,51023040301,VA,VA00_FINCASTLE
51023040200,VA,51023040200,VA,VA00_BUCHANAN
51023040301,VA,51023040301,VA,VA00_FINCASTLE
51023040302,VA,51023040302,VA,VA01_TROUTVILLE
51023040401,VA,51023040302,VA,VA01_TROUTVILLE
51023040402,VA,51023040302,VA,VA01_TROUTVILLE
51023040501,VA,51023040501,VA,VA02_TROUTVILLE
51023040502,VA,51023040501,VA,VA02_TROUTVILLE
51025930100,VA,51117930200,VA,VA00_SOUTH HILL
51025930201,VA,51595890200,VA,VA00_EMPORIA
51025930202,VA,51595890200,VA,VA00_EMPORIA
51025930203,VA,51025930300,VA,VA00_LAWRENCEVILLE
51025930300,VA,51025930300,VA,VA00_LAWRENCEVILLE
51027010100,VA,51027010100,VA,VA00_GRUNDY
51027010200,VA,51027010100,VA,VA00_GRUNDY
51027010300,VA,51027010100,VA,VA00_GRUNDY
51027010400,VA,51027010100,VA,VA00_GRUNDY
51027010500,VA,51185020900,VA,VA00_RICHLANDS
51027010600,VA,51027010600,VA,VA00_OAKWOOD
51027010700,VA,51027010100,VA,VA00_GRUNDY
51029930101,VA,51029930102,VA,VA00_NEW CANTON
51029930102,VA,51029930102,VA,VA00_NEW CANTON
51029930201,VA,51029930102,VA,VA00_NEW CANTON
51029930202,VA,51029930102,VA,VA00_NEW CANTON
51031020101,VA,51680000300,VA,VA00_LYNCHBURG
51031020102,VA,51680000300,VA,VA00_LYNCHBURG
51031020200,VA,51680000300,VA,VA00_LYNCHBURG
51031020300,VA,51680000300,VA,VA00_LYNCHBURG
51031020401,VA,51680000300,VA,VA00_LYNCHBURG
51031020402,VA,51019030103,VA,VA00_FOREST
51031020403,VA,51680000300,VA,VA00_LYNCHBURG
51031020500,VA,51680000300,VA,VA00_LYNCHBURG
51031020600,VA,51143010200,VA,VA00_HURT
51031020700,VA,51143010200,VA,VA00_HURT
51031020800,VA,51031020900,VA,VA00_BROOKNEAL
51031020900,VA,51031020900,VA,VA00_BROOKNEAL
51033030100,VA,51033030100,VA,VA00_RAPPAHANNOCK ACADEMY
51033030201,VA,51033030100,VA,VA00_RAPPAHANNOCK ACADEMY
51033030202,VA,51033030100,VA,VA00_RAPPAHANNOCK ACADEMY
51033030300,VA,51033030100,VA,VA00_RAPPAHANNOCK ACADEMY
51033030400,VA,51033030500,VA,VA00_RUTHER GLEN
51033030500,VA,51033030500,VA,VA00_RUTHER GLEN
51033030600,VA,51085320601,VA,VA00_ASHLAND
51035080100,VA,51640070102,VA,VA00_GALAX
51035080200,VA,51640070102,VA,VA00_GALAX
51035080300,VA,51640070102,VA,VA00_GALAX
51035080400,VA,51640070102,VA,VA00_GALAX
51035080500,VA,51035080500,VA,VA00_DUGSPUR
51035080601,VA,51640070102,VA,VA00_GALAX
51035080602,VA,37171930400,NC,NC00_MOUNT AIRY
51036600100,VA,51127700100,VA,VA00_QUINTON
51036600200,VA,51127700100,VA,VA00_QUINTON
51036600300,VA,51127700100,VA,VA00_QUINTON
51037930100,VA,51037930100,VA,VA00_CHARLOTTE COURT HOUSE
