GEOID,State name,Total* Medicare beneficiaries age 65-99,Percent of U.S. population age 75 and older (2010),Percent of Medicare beneficiaries whose race was non-Hispanic white,Percent of Medicare beneficiaries whose race was black,Percent of Medicare beneficiaries whose race was Hispanic,Percent of Medicare beneficiaries receiving fee-for-service care,Percent of Medicare beneficiaries living in nursing homes,Percent of Medicare beneficiaries eligible for Medicaid
26,Missouri,828777,6.4753502589,90.7194577069586,7.1139763772402,0.878523414621786,73.6125640552284,3.40272473777627,8.43869943301998
27,Montana,148720,6.6706083898,94.8110543302851,0.144566971490048,0.849919311457773,82.8187197417967,2.69230769230769,5.39268423883809
28,Nebraska,244431,6.7649469623,94.4057832271684,2.2296680862902,1.76777904602935,86.7606809283601,4.25109744672321,7.6070547516477
29,Nevada,324265,4.6871175549,78.2144233882781,5.87050714693229,8.51988342867716,65.1911245431977,1.01275191587128,4.96754197955376
30,New Hampshire,186858,6.1912538835,97.3948131736399,0.394417150991662,0.708559440858834,93.9986513823331,3.56902032559484,5.51381262777082
31,New Jersey,1163762,6.535099263,78.1800746200684,9.40656251020398,7.31094502140472,83.5411364179274,2.86003495560089,9.16553384626754
32,New Mexico,261698,5.7528267334,64.2083623107551,1.37524933320087,28.1393056118121,68.8190203975575,1.4826250105083,7.4983377786609
33,New York,2531389,6.4884631116,73.8980061934377,11.0160469212752,8.90779726071339,63.7066053459188,2.61196520961417,17.0613445819667
34,North Carolina,1247126,5.6264795396,81.2944321584186,15.618630354912,1.05153769546942,79.0078949520738,2.32510588344722,10.6531336849685
35,North Dakota,94911,7.523740282,96.5072541644277,0.133809568964609,0.307656646753274,85.4653306782143,5.29864820726786,7.12773018933527
36,Ohio,1604079,6.6899036311,89.5354281179418,7.99648895098059,0.905878077077251,59.3773748051062,2.94056589482189,7.45873488774555
37,Oklahoma,499458,6.0310805361,86.062291524012,4.42119257274886,1.56449591357031,82.5719079482159,3.08154038978252,9.92115453151216
38,Oregon,550571,6.3557112183,93.2475557194258,0.909056234345797,2.22096695975633,55.0541165444602,0.569045590850226,6.60205495748959
39,Pennsylvania,1943419,7.7132716635,89.9302209147899,6.55417076811537,1.5726407943938,58.2982362527072,2.75077067786206,9.35027392445993
41,Rhode Island,149706,7.410644643,91.2541915487689,2.26911413036218,4.12608713077632,58.722429294751,2.74070511535944,11.0636848222516
42,South Carolina,644910,5.6823852134,78.7900637298228,19.2594315485882,0.796855375168628,81.3208044533346,2.2640368423501,9.92572607030438
43,South Dakota,121378,7.2409049596,95.0501738371039,0.198553279836544,0.410288520160161,85.1950106279557,4.78422778427722,6.43691608034405
44,Tennessee,863096,5.7734311046,88.6082197113647,9.64272803952283,0.60248222677431,71.1692557954156,2.83722784024025,8.44738012920927
45,Texas,2619986,4.4923634832,69.1003692386143,8.37023556614425,19.4462871175648,75.1742566563333,2.84879384851675,10.0807408894551
46,Utah,248435,4.0246971202,93.2034536196591,0.386418982832532,3.72693058546501,62.4626159760098,1.25384909533681,4.5339827319017
47,Vermont,95052,6.6385293596,97.5771156840466,0.26090981778395,0.502882632664226,91.8623490300046,2.77637503682195,10.2480747380381
49,Virginia,986073,5.3384791747,79.5764613776059,14.8213164745409,1.66559676616234,84.5111873056052,2.32568988300055,6.95769988631673
50,Washington,861714,5.509031101,88.4750624917316,1.82636002200266,2.69103205936076,69.3371582682885,1.34835920038435,8.65670048299088
51,West Virginia,290808,7.2252797365,96.5984429589282,2.18460289950758,0.363813925339055,72.5667794558609,2.56732964705235,8.36909576077687
52,Wisconsin,793808,6.6259702415,94.2159816983452,2.6879295749098,1.18718884163425,63.936997359563,2.64018503214883,8.39497712293149
53,Wyoming,71293,5.4152931199,93.9124458221705,0.389940106321799,3.46597842705455,93.8661579678229,3.23874714207566,5.06922138218338
99,United States,39835289,6.0096593202,80.8049867543323,8.29886033963504,6.54138846589013,70.7046859883457,2.46785959052538,10.1685618497709
