HRR ID,HRR Name,State,Medicare Part D beneficiaries (2010),Average number of 30-day prescription fills per beneficiary (2010),Percent of patients filling beta-blocker prescription in the first 6 months following heart attack (2008-10),Percent of patients filling beta-blocker prescription in the 7-12 months following heart attack (2008-10),Percent of patients filling statin prescription in the first 6 months following heart attack (2008-10),Percent of patients filling statin prescription in the 7-12 months following heart attack (2008-10),Percent of diabetic patients age 65-75 filling ACE-I or ARB prescription (2010),Percent of diabetic patients age 65-75 filling statin prescription (2010),Percent of beneficiaries with a fragility fracture filling prescription for an osteoporosis drug within 6 months (2006-10),Percent of beneficiaries filling at least one prescription for a PPI (2010),Percent of beneficiaries filling at least one prescription for an SSRI/SNRI (2010),Percent of beneficiaries filling at least one prescription for a dementia medication (2010),Percent of beneficiaries filling at least one prescription for a new sedative-hypnotic (2010),Percent of beneficiaries filling prescriptions for more than one discretionary medication (2010),Percent of beneficiaries filling at least one prescription for a high-risk medication (2010),Percent of beneficiaries filling prescriptions for more than one high-risk medication (2010),Part D spending per Medicare beneficiary (2010),Spending for non-prescription drug services (Parts A and B) per Medicare beneficiary (2010),Proportion of 30-day prescriptions filled with brand-name products (2010)
158,Elgin,IL,13114,46.676,89.39,84.85,78.03,76.52,74.22,70.76,18.18181818,21.4,15.6,6.7,6.1,10.4,22.1,4.2,2403.76,10339.3,25.9
161,Evanston,IL,24444,44.521,81.25,79.46,78.13,72.32,71.22,72.65,14.10891089,20.5,15.3,6.2,8.2,10.8,17,2.2,2475.95,9926.74,28.3
163,Hinsdale,IL,8085,46.956,88.89,83.33,83.33,75,74.52,78.06,17.21311475,20.1,16.7,7.1,6.8,11,17.8,2.4,2450.67,9235.66,26.7
164,Joliet,IL,11801,48.146,90.48,81.75,74.6,73.81,71.38,70.09,13.77245509,23.7,15.9,6.7,4.8,10.6,20.7,3.5,2481.88,10312.62,25.2
166,Melrose Park,IL,23555,44.967,87.98,79.4,81.97,79.83,73.75,74.69,14.07185629,20.2,15.2,6.4,5.9,10,18.3,2.5,2338.86,10142.31,25.6
170,Peoria,IL,13817,48.785,84.25,80.14,77.4,73.97,73.84,68.65,9.57446809,22.7,16.5,6.1,4.7,10.5,25.9,5.7,2382.46,8064.7,22
171,Rockford,IL,15106,49.259,88.27,84.57,72.84,73.46,71.12,74,14.91935484,22,16.7,5.4,4.7,10.1,21.9,3.7,2384.09,8327.62,23.3
172,Springfield,IL,23182,51.211,88.69,86.24,76.45,73.39,72.32,73.16,11.46666667,25.4,19.5,6.7,4.5,12.4,25.9,5.4,2506.13,7953.26,23.3
173,Urbana,IL,7604,50.052,85.26,85.26,70.53,72.63,74.03,66.31,14.85148515,23.7,17,7,4.8,11.2,25.9,5.7,2463.57,8180.88,23.1
175,Bloomington,IL,2733,49.405,95.83,79.17,91.67,87.5,71.96,71.96,,21.6,17.8,6.6,4.3,10.5,22.2,4.4,2645.63,8174.24,24.5
179,Evansville,IN,17335,51.277,83.78,77.93,71.62,66.67,72.14,62.35,14.19141914,24.7,20.1,7.2,5.8,13.3,30.7,8.4,2594.91,8520.82,24.5
180,Fort Wayne,IN,12768,50.801,84.35,78.23,76.87,72.79,73.45,69.58,13.82978723,24,20.1,7.6,4.8,13,27.7,6.9,2633.89,7991.5,25.2
181,Gary,IN,10127,47.191,86.36,81.82,73.64,74.55,71.17,65.68,15.32258065,21.4,17,8.2,5.7,11.8,26.1,5.2,2415.62,10255.55,25.4
183,Indianapolis,IN,48476,52.51,88.07,81.32,81.95,77.08,74.47,72.89,17.24137931,24.7,21.8,7.5,6.1,13.9,29.1,6.7,2720.97,8577.36,25.9
184,Lafayette,IN,4392,50.677,87.5,85.71,80.36,73.21,72.68,72.68,24.07407407,22.3,18.4,5.9,5.5,11.6,28.8,6.1,2317.2,8735.8,23
185,Muncie,IN,3733,52.859,90.32,87.1,83.87,77.42,72.82,66.33,,23.7,20.4,7.7,5.8,13,26.9,6,2832.91,8725.64,26.5
186,Munster,IN,5965,45.64,82.98,80.85,76.6,61.7,73.26,69.46,19.27710843,21.5,13.5,6.3,5.3,9.5,25.1,5.4,2355.06,11408.42,26.5
187,South Bend,IN,12832,47.755,79.22,70.78,75.32,66.88,73.22,68.88,20.58823529,21.2,19.2,7.3,5.4,11.6,26.6,5.8,2413.76,8206.43,25.4
188,Terre Haute,IN,4580,52.411,81.13,81.13,56.6,50.94,68.4,65,21.875,25,18.8,8.2,6.3,12.8,31.4,7.6,2795.95,9282.09,25.6
190,Cedar Rapids,IA,7182,47.989,85.42,78.13,81.25,78.13,71.79,75.84,14.28571429,24.7,17.9,4.4,5.2,11.1,18.5,2.7,1944.31,6473.26,18.1
191,Davenport,IA,11238,46.071,82.14,77.98,68.45,64.29,73.03,71.89,16.09756098,23.2,15.6,4.8,4.9,9.7,21.3,3.6,2088.37,7464.56,21.1
192,Des Moines,IA,29562,46.837,89.49,84.75,80.68,74.58,73.19,72.81,14.55938697,22.5,17.9,5.5,5.5,11.2,19.2,2.9,2071.9,6657.64,20.2
193,Dubuque,IA,2318,46.12,91.3,86.96,91.3,82.61,73.22,64.48,,23.8,16.4,6.8,4.2,9.8,18.3,2.8,2085.27,6067.16,19.9
194,Iowa City,IA,8551,46.248,88.66,79.38,68.04,61.86,74.78,70.12,13.29113924,25.7,17.6,4.3,4.9,11.4,18.1,2.6,1928.09,6623.88,18.4
195,Mason City,IA,6128,44.174,86.3,75.34,78.08,69.86,74.13,71.05,14.61538462,19.4,17.3,4,4.6,9.4,14.1,1.5,1858.05,6362.77,19
196,Sioux City,IA,7506,46.298,86.36,78.41,76.14,67.05,75.61,73.01,14.37125749,22.4,16,5.2,4.9,10.3,19.4,3.3,2047.81,6853.68,21.4
197,Waterloo,IA,5495,49.095,86.54,78.85,90.38,84.62,76.65,69.38,,23.8,17.6,5,4.7,11.5,19.6,2.7,2077.81,6939.5,18.6
200,Topeka,KS,10505,47.204,85.11,80.85,81.91,74.47,70.78,69.22,13.8121547,22.8,18.8,7.6,5.5,12.2,23.4,4.5,2368.57,7127.17,24.3
201,Wichita,KS,35712,48.373,80.25,73.33,76.54,70.37,71.8,66.98,16.71686747,22.5,19.4,6.4,5.7,12.3,26.3,5.7,2194.93,7797.28,22.3
