HRR,HRR name,State,Table 1. Region information (2001-05),Table 2. Medicare spending per decedent by site of care during the last two years of life (deaths occurring 2001-05),,,,,,,,,Table 3. Medicare Part B spending by type of service (BETOS category) per decedent during the last two years of life (deaths occurring 2001-05),,,,,,Table 4. The Medical Care Cost Equation: Disaggregation of hospital (facility) reimbursements per decedent into contributions of volume (patient days per decedent) and price (average reimbursements per day in hospital) during the last two years of life (deaths occurring 2001-05),,,,,,,,Table 5. The Medical Care Cost Equation: Disaggregation of payments for physician visits per decedent into contributions of volume (physician visits per decedent) and price (average payments per physician visit) during the last two years of life (deaths occurring 2001-05),,,,,,,,"Table 6. Resource inputs per 1,000 decedents during the last two years of life (deaths occurring 2001-05)",,,,,,,,,,,Table 7. The patient experience of end-of-life care (deaths occurring 2001-05),,,,,,,,,,,"Table 7, continued. The patient experience of end-of-life care (deaths occurring 2001-05)",,,,,,,,,"Table 8. CMS Hospital Compare technical process quality measures (all patients, 2005)",,,
,,,Number of deaths among chronically ill patients living in region,Total Medicare spending,Inpatient sector,Outpatient sector,SNF/Long-term care sector,Home health sector,Hospice sector,Ambulance,Durable medical equipment,Other,Total Part B spending,Evaluation & management services,Procedures,Imaging,Tests,Other,Hospital reimbursements per decedent,Hospital days per decedent,Reimbursements per patient day,Ratios to U.S. average,,,,,Payments for physician visits per decedent,Physician visits per decedent,Payments per physician visit,Ratios to U.S. average,,,,,Hospital beds,Intensive care beds,,,Medical & surgical unit beds,SNF beds,Standardized FTE physician labor,,,,RNs required under proposed federal standards,Hospital days per decedent*,Intensive care days per decedent*,,,Medical & surgical unit days per decedent*,SNF days per decedent*,Physician visits per decedent*,,,,Home health agency visits per decedent*,Percent of deaths occurring in hospital,Percent of deaths that included an ICU admission,Percent enrolled in hospice*,Hospice days per decedent*,Percent of patient seeing 10 or more different physicians*,Number of different physicians seen per decedent*,Average co-payments per decedent during the last two years of life,,,Composite quality score,AMI score,CHF score,Pneumonia score
218,New Orleans,LA,2691,62143.6080551147,29854.5359489603,6766.19897021727,15326.8571506499,5126.93170753121,2109.82647771588,1028.14026733768,1575.05972491254,356.057807789919,10169.4702758789,4695.82580147196,1954.820761855,801.461465916584,590.500633215543,2126.86161341981,25481.6040986094,23.1444073809818,1100.98321720469,1.14592904959889,=,1.18148851896048,x,0.969902822760488,4696.58836960119,86.7322484500503,54.1504279380695,1.28040916154601,=,1.41504990885705,x,0.904850884432908,63.4093352903612,13.2019491280974,9.83726927270628,3.36467982971505,50.2073861148259,46.050619117167,26.6597054914243,12.5136597576072,9.27749195480844,1.34881925185841,55.7761233248939,13.7027627640638,3.51978773876682,2.78067676723003,0.739110965281725,10.1829750239849,8.25793116350637,47.4429451593062,27.0690934511377,16.2411023665931,1.66670296388361,13.559162400108,29.8345668855787,17.9997722605533,33.2162586647115,12.0290543621426,43.2949709917537,9.60043319144712,3108.34671829093,2668.68859863281,439.65811965812,84.3875686054674,91.1123071704715,85.2673700124063,72.5931367258346
288,New Brunswick,NJ,4341,61446.349861145,39024.143665131,7933.63688463084,8376.02392898815,2078.86908196853,1954.09128403184,704.069017557913,981.966310634918,393.549688201805,13598.4432373047,6653.47643054095,2325.83817775899,1337.11360331184,713.738141591157,2568.27688410176,33146.0181790454,29.5162705042524,1122.97446841294,1.49060416145363,=,1.50676291465394,x,0.98927584887897,6654.31148636905,105.436485958891,63.1120377908225,1.81413415875985,=,1.72021240671814,x,1.0545989272458,80.8664945321983,30.4853786086627,14.5377862943362,15.9475922992785,50.381115854603,61.1366974968511,33.1007721375973,17.911885475759,10.154469866172,1.76394097494244,75.540108631735,18.0452076744406,7.32671477761808,3.85736052691936,3.46935424208641,10.7184928953648,11.0996789804914,58.1458162283966,38.9439703687556,15.8060770419571,2.46386059395883,5.19824020615636,41.2377283963897,29.5289475408948,27.8299468998649,9.53170201958415,48.6108467907315,10.8698723107359,3819.77907037988,3561.35589599609,258.423174383783,95.0024385186606,96.7555166772463,94.6430944155499,92.3202043230916
308,White Plains,NY,4746,59501.0650253296,35803.7841620746,8288.41374109678,9155.04523888023,2378.69371822253,1661.81643199038,836.684470141016,962.101735044174,414.525527879887,12781.4767150879,5825.68459481261,2438.07942637106,1161.9958659317,757.393555460493,2598.32327251204,31010.4242626871,28.2726081979957,1096.83634581989,1.39456471678479,=,1.44327575284768,x,0.966249667835971,5832.5136410173,83.1082057548964,70.1797564757757,1.59009121368556,=,1.3559230975831,x,1.17270014539899,77.459200542454,13.3425597876583,11.2114501734302,2.13110957753985,64.1166406135036,64.4158630282862,29.2444555204702,11.5322051763117,12.7797525198152,0.902380946613084,67.035765297813,17.1582383224658,3.39660216387531,2.88330905884504,0.513293102383614,13.7616361379623,11.322544186574,42.5875441498986,20.9368747825773,18.8048537542909,1.11337610258202,6.07556834842634,41.6172491299437,21.1281481848563,17.7359683850477,7.16840967486345,41.0215484621131,9.25744525728923,3584.64644446938,3333.30215454102,251.344289928361,86.6262250713546,93.4639965115147,85.4434834850992,76.0184337285914
216,Metairie,LA,1690,59366.8429412842,29209.8813369595,8270.30955484613,11143.2126156338,5376.48526616918,2461.24621952803,989.064065076048,1604.8929461216,311.750936949917,11015.3950805664,4558.74245882669,2199.15505885438,931.306838410383,507.70203241146,2818.48869206349,24950.6716415268,23.8372189949351,1046.71067740026,1.12205257292217,=,1.21685554971716,x,0.922091840056915,4566.1562339578,83.4122206560584,54.7420533591339,1.24485005176352,=,1.36088314722863,x,0.914736914994205,65.3074493011922,17.8310995278012,10.5755783107183,7.25552121253863,47.4763496281349,44.9089001709757,27.2845747246713,12.5592259550721,9.35219557069385,1.34291737807834,58.7261508997172,14.0008983459324,4.49562341658401,2.78654339164495,1.70908001810312,9.50527492165565,8.30478282405754,45.2855068379207,25.8840578947572,15.5658063163097,1.66287935033832,14.1305109837344,34.0455922584694,21.4944825830012,34.3832441636221,12.9105490142937,41.4395768551826,9.43034174851029,3310.0183551856,2880.06628417969,429.952071005917,85.4863959039932,92.7307020570618,85.159307808861,73.6306110456336
291,Paterson,NJ,1749,59313.2752914429,36768.0123204729,7467.43323613838,8593.76217695779,2376.00506809227,1873.06074635368,966.758583333857,900.580974431598,367.662185662419,12365.2098388672,6046.51062233637,2352.24224899558,955.934752854261,635.887960508348,2374.63425417264,31561.6118007247,27.923133098722,1130.30338283096,1.41935208139378,=,1.42543555453724,x,0.995732200502436,6047.44219739068,89.4201515141274,67.6295230436425,1.64868619178488,=,1.45890345876276,x,1.1300858750332,76.5017345170467,19.7729980477803,10.3580860650703,9.41491196416829,56.7287363418161,64.9729463996441,30.8271275114929,14.5163256468592,11.5207222185396,1.26001871857468,67.4985933181358,17.0349417672377,4.88873239670711,2.75726846605539,2.13146392256022,12.146209359169,12.5549991115718,48.160222279246,28.3259972620006,17.1597280688976,1.65072529985729,6.67018117463815,39.9335913036112,23.7445082327232,27.8725987653098,8.20865864662853,42.0458903644734,9.20266148513183,3482.74330384313,3244.47457885742,238.268724985706,88.7043452769246,92.8149572080104,87.471003644392,82.6755531468033
65,Alameda County,CA,2858,59139.5188980103,35651.3436418749,7509.60556527385,9286.34357522019,2133.38305440764,1986.72521742106,1096.33949616094,1244.48320094432,231.295146707402,10007.3136901855,4428.0004099317,2080.25339361042,834.570408818317,377.179044455414,2287.31043336965,32048.5626266981,19.7173334620388,1625.40044719536,1.44125066733247,=,1.00654135257992,x,1.43188420787512,4481.25886604266,63.8699035750148,70.1622926482024,1.22170487507031,=,1.04204725286908,x,1.17240832573243,54.0200916768187,14.9604726842199,7.81464513442288,7.14582751875054,39.0596189727522,53.5020798940975,23.5945290187981,9.55352709086227,10.2047365690429,0.936185566988943,48.162509449949,11.7664504460458,3.59793970542844,1.99667973443866,1.60125996544957,8.16851073503494,9.93173903620646,31.1572942267458,15.252623340573,14.0551969777527,1.08519456288771,4.00558204431154,34.1941205998898,20.7540789966035,24.998547657037,8.63745395812273,32.5399576152121,7.95718843534905,2873.3117828903,2545.89260864258,327.419174247726,87.0741229918885,93.5386884524388,84.6373019988759,77.9243945529795
397,Houston,TX,16441,59102.9558563232,29829.470165114,7335.58477035791,12524.2872519223,3166.99325954797,2650.99463415931,1402.46910167464,1769.2245537885,423.932119758567,11447.0519714355,5056.28747541619,2080.41642657845,881.867998229798,580.700176308546,2847.77989490251,25164.059683397,21.921192410634,1147.93297791547,1.13164881164677,=,1.11904516407579,x,1.01126285870811,5094.75230366898,83.7233039043198,60.8522605544967,1.38895875304893,=,1.36595851803898,x,1.01683816507325,60.0580613989972,19.8613702297377,11.1336349624477,8.7277352401655,40.1966911472686,46.9732385868134,28.7913853310427,13.0683159299689,11.0879324912517,1.17860709742593,55.5757060442885,12.6673617811039,4.75072841018786,2.91605868935585,1.83466971293092,7.91663336753845,8.36207037291669,44.7752162774783,25.0935838226878,17.0333571849316,1.47320246679771,8.30129772794822,30.3758257107052,20.7668556508009,38.4593801188188,14.4037410253514,35.222227876964,8.44742474072013,3566.49649504659,3083.59429931641,482.902195730187,85.0645318140599,90.2785248499667,85.8786576138408,75.8317928876948
356,Philadelphia,PA,16691,58863.3717346191,35542.9233505349,7678.56174995459,7950.65647318104,2568.95347514329,2382.86419201962,1185.25551472446,1182.29792996664,371.859049094564,11886.6264953613,5483.65503783974,2193.77340240606,930.042359704262,590.245205736451,2688.91048967479,30856.2815291986,24.7892159148425,1244.74616846286,1.38763278913198,=,1.26545361543738,x,1.09654970534213,5485.61745625067,84.9762649431363,64.5547019502621,1.49551851151829,=,1.38640076916775,x,1.07870577164787,67.9156600406644,26.2762294809233,9.87797965333886,16.3982497910931,41.6394305555788,53.9496241365068,28.0475191436535,13.2861109044583,9.86902037712199,1.34624414549368,62.4447921877855,14.8507600600914,6.26654481035469,2.75380755215883,3.51273725181818,8.58421522378922,10.0497444049943,43.6628828956938,24.9158364709484,15.3107162630792,1.62734623533135,6.24770043810351,33.9378573613534,24.4528598414579,34.9063638151126,11.9713183278554,50.7257198400941,11.3914037666966,3359.09803641335,3045.91799926758,313.180037145767,87.8078159057836,92.9630925392163,88.2098841579027,78.9476426819831
226,Takoma Park,MD,2553,58538.0105743408,36907.3994391691,9613.59917612041,6672.27668993162,1903.4888887733,1613.1449713599,247.994888193719,1112.02468605315,468.081834739598,12313.021270752,5202.83107789874,2491.71668086958,1308.19309574406,737.072370640734,2573.20804559889,32354.6721236895,21.7832726592112,1485.29895529761,1.45501666744782,=,1.11200456026332,x,1.30846286017321,5205.11148136377,74.3947363499201,69.9661257871958,1.41904546516015,=,1.21376151054156,x,1.16913038750669,59.6801990663322,15.370506896862,10.1778626033705,5.19264428174659,44.3096920235516,52.765746039502,28.0887973140565,13.7687463386881,9.3796117768684,1.46794416082806,53.691707204466,13.3830772138042,4.08093103430459,2.93068445473909,1.15024657174945,9.30214616656303,9.70490281179529,38.2592332928293,22.026558760566,13.763200531943,1.60039510500807,4.66790794294406,37.3854920584702,23.4756792313608,25.9127022493242,8.55607134194744,42.9837891756697,9.70005754832815,3520.09164952279,3217.94241333008,302.149236192714,84.1056777753648,88.0091743713614,85.9559355434159,76.3663449366696
33,Contra Costa County,CA,1976,58386.707572937,34680.6123138012,8421.34794668752,7957.766782775,2652.40446894381,2151.76123241088,1115.79890519071,1141.61352862328,265.402394504599,10225.0634460449,4206.41909032423,2092.68167767889,980.718618289308,421.506036310488,2523.73802344198,31251.873259619,19.4209981712875,1609.17955833097,1.40542288012922,=,0.99141386462907,x,1.41759453873993,4211.18275190253,61.7059909015161,68.2459302634594,1.14807527340072,=,1.00674268638857,x,1.14038600818561,53.2082141679109,16.1811602540816,7.75387278974873,8.42728743406191,37.0270538819979,48.1531629243368,23.3028162530255,10.1571528083145,8.95886772325076,1.13375407719815,47.8283870301835,11.9241653330193,3.96409343162299,2.10484117269516,1.85925225540996,7.96007189154625,9.10969046794863,31.0173454510345,16.3965594636058,12.7558093668594,1.28541897985755,5.1779397720265,33.0490967432682,19.9138105775122,30.2304353784287,10.448356409769,34.0177896135706,8.03747344298909,2890.25810470272,2594.99545288086,295.262651821862,89.5114767454235,95.6885710406522,89.3946742418993,79.2941879223917
118,Fort Lauderdale,FL,12338,58109.9294586182,27873.8311886739,11479.8177292287,7744.27219682142,4348.40286567007,4120.92172217758,712.088863678419,1340.81319073251,489.781701635613,14841.8937988281,6038.1192895386,3003.37265133198,1440.79257219124,930.523144582578,3429.0861411837,23163.0974008871,21.9670101010368,1054.44925341906,1.04166386416048,=,1.12138409089665,x,0.928909079963476,6041.10468521599,93.1772608859264,64.8345382529746,1.646958425157,=,1.52020127323361,x,1.08338182197004,60.183589317909,30.966624510648,12.0017119466442,18.964912507632,29.2169647674038,52.0903132146533,32.4747432206262,16.157561397505,10.3772099237027,1.55702366207311,58.8802040031512,13.1971061448495,7.34248288434296,3.22154329717159,4.12093958258629,5.85462325811386,9.89905533247909,47.2253156213869,28.7991338112871,15.200997532226,1.89455552178291,12.1781590477864,25.9037482621308,20.3714586169167,50.7309597079845,15.5817488736231,50.3597838730961,10.971598820983,4133.12875298438,3793.67608642578,339.4526665586,84.9119560707869,90.3988138588397,83.8480947081067,76.4764339991524
