HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (2005),Total Medicare reimbursements per enrollee (Part A and B) (2005),Total Part A Medicare reimbursements per enrollee (2005),Total Part B Medicare reimbursements per enrollee (2005),Medicare reimbursements for inpatient short stays per enrollee (2005),Medicare reimbursements for inpatient long stays per enrollee (2005),Medicare reimbursements for outpatient services per enrollee (2005),Part B Medicare reimbursements for professional & laboratory services per enrollee (2005),Part B Medicare reimbursements for medical & surgical services per enrollee (2005),Part B Medicare reimbursements for medical care per enrollee (2005),Part B Medicare reimbursements for surgical services per enrollee (2005),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2005)",Part B Medicare reimbursements for durable medical equipment per enrollee (2005),Medicare reimbursements for home health services per enrollee (2005),Medicare reimbursements for hospice services per enrollee (2005),Medicare reimbursements for skilled nursing facilities per enrollee (2005)
49011,VA-Danville,782.664657592773,6315.77980042601,3345.54734370697,2972.13073635957,2554.15109788492,,590.913387844046,1857.7827822589,1412.22487119745,1095.3203825763,313.065818448701,445.161148745064,232.117016466924,195.126572656677,,498.155313997717
49012,VA-Emporia,197.666580200195,5184.25874415872,2779.42824866003,2409.00061269995,2206.54362206649,,462.900253972696,1187.99033904951,878.875736131465,589.493364945108,294.783702486316,308.947467482244,346.77386329932,,,
49013,VA-Fairfax,221.833221435547,8894.79151215594,4857.94824752025,4035.06580799306,3177.81622429189,,996.728611862814,2138.84130190132,1443.15303307783,991.02879584801,450.696878551441,693.126438772138,208.385485757618,,,
49014,VA-Falls Church,2053.74688720703,6452.4181031632,3257.95072322066,3191.76404209912,2365.70849446583,62.9521071315089,672.940715548679,2025.84257552763,1394.46433196704,980.006262924555,414.129999370849,630.971437781097,98.2609737022558,224.792316012129,238.71984593976,448.20804809722
49015,VA-Farmville,249.49934387207,4317.71203551812,2173.89088483511,2150.41369837793,1273.93866680802,,606.355525650091,1025.30368769064,684.439112429977,458.451838361343,227.915633324422,342.111611945478,192.929803916396,,,
49016,VA-Franklin,152.333068847656,6135.50984074557,3784.8571507328,2329.44652166533,3011.08350138885,,668.14201263787,1376.10707141545,1092.88093380673,787.752856467676,304.47051749003,281.061048962697,118.362868410494,,,
49017,VA-Fredericksburg,1098.83166503906,8266.18163699129,4985.82467672995,3288.83757281916,3776.10742724048,,805.826528847447,1901.33209985166,1367.46159295328,985.386907519674,382.102753273747,533.627816300474,185.961084944449,270.283601050204,,723.750729880167
49018,VA-Front Royal,174.333206176758,6551.81273918103,3808.00680929607,2747.25476501634,2460.14153426592,,1002.30802392536,1209.73862801652,922.1145845833,643.022088554787,278.865884750898,287.956645606208,195.717940759449,,,
49019,VA-Galax,413.74870300293,7009.84197267012,3858.41281772144,3151.29073731978,2766.73507124229,,754.867308875471,1387.16415234286,1038.51455029395,720.260063497414,317.671668378173,348.90045897472,360.618122050912,560.024875163082,,
49020,VA-Gloucester,324.499221801758,5284.03913678829,3132.46556607338,2155.45571855407,2139.20738345955,,533.527137965451,1211.85574051488,923.747975054752,610.953335075445,312.833912501883,288.259562779244,154.373327399926,234.863186552819,,
49021,VA-Grundy,132.083251953125,6912.17429957941,4282.09835143121,2685.97282534143,,,602.774040058996,1399.03315277439,1078.38464503577,759.036525928471,318.463291243924,322.767850692333,212.372758078483,,,
