year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2011,KNREP,ALL,345,OR- SALEM,18454,136,143,150.559418571229,0.949791128027952,7.74899750731549,7.79800831766764,0.592196698803888,6.61905555680313,9.18695019260168,1000,hrr,11,26
2011,KNREP,ALL,346,PA- ALLENTOWN,147961,1189,1225,1207.95561723646,1.01411010679559,8.27920871040342,8.32135248043146,0.216041646726413,7.86786636385359,8.80097651654413,1000,hrr,11,26
2011,KNREP,ALL,347,PA- ALTOONA,28299,190,199,230.91414407645,0.861792164338429,7.03205060249479,7.07560764640966,0.455511827363602,6.15766937369586,8.13038513886335,1000,hrr,11,26
2011,KNREP,ALL,350,PA- DANVILLE,56630,486,506,465.905176067655,1.0860579061833,8.93519336040968,8.91658082078529,0.36005813213763,8.17232557787313,9.72861553005914,1000,hrr,11,26
2011,KNREP,ALL,351,PA- ERIE,78577,621,643,641.292924255404,1.00266192823908,8.18305611056671,8.23058573078272,0.2948503175293,7.61815431265791,8.89225115317062,1000,hrr,11,26
2011,KNREP,ALL,352,PA- HARRISBURG,106859,970,1012,875.554471251304,1.15583899486424,9.47042364236985,9.48250732429143,0.27082806541192,8.91559718405715,10.085465202043,1000,hrr,11,26
2011,KNREP,ALL,354,PA- JOHNSTOWN,15742,95,99,125.103801028085,0.791342862378537,6.28890865201372,6.49524203014111,0.592801052365822,5.33386683701079,7.90949049147143,1000,hrr,11,26
2011,KNREP,ALL,355,PA- LANCASTER,71215,551,569,571.962554404949,0.994820370001265,7.98988977041354,8.16133556240806,0.310770166219696,7.51738504429715,8.86044785117883,1000,hrr,11,26
2011,KNREP,ALL,356,PA- PHILADELPHIA,380533,2418,2486,2956.74920538857,0.840788253352484,6.53294195247193,6.86691917496471,0.125180496690673,6.60197234140797,7.14249871356498,1000,hrr,11,26
2011,KNREP,ALL,357,PA- PITTSBURGH,212102,1518,1573,1650.52861834087,0.953028007221828,7.41624312830619,7.81145491154847,0.178945339824472,7.43460722958822,8.20740436593774,1000,hrr,11,26
2011,KNREP,ALL,358,PA- READING,63523,524,539,517.18905128104,1.04217210063696,8.48511562741055,8.55221113503221,0.334601470124805,7.85965102365459,9.3057967940363,1000,hrr,11,26
2011,KNREP,ALL,359,PA- SAYRE,25669,183,195,213.036656804441,0.915335430648454,7.59671198722194,7.51601737729435,0.488806945391949,6.53166601786517,8.64871490080477,1000,hrr,11,26
2011,KNREP,ALL,360,PA- SCRANTON,45796,359,364,378.796198291738,0.960938894428022,7.94829242728623,7.8893199729884,0.375579250843398,7.11891694762112,8.74309534640553,1000,hrr,11,26
2011,KNREP,ALL,362,PA- WILKES-BARRE,34392,247,253,280.430187026443,0.902185327060185,7.35636194463829,7.40640328849112,0.42288841334437,6.54763256064503,8.37780818695912,1000,hrr,11,26
2011,KNREP,ALL,363,PA- YORK,48037,376,388,392.475897880877,0.988595738222284,8.07710722984366,8.11262157319068,0.374069410161747,7.34409629568513,8.96156942120527,1000,hrr,11,26
2011,KNREP,ALL,364,RI- PROVIDENCE,112927,856,891,908.201503321349,0.981059816286978,7.89005286601079,8.04797413802962,0.244935134144105,7.53628897869892,8.59440076003768,1000,hrr,11,26
2011,KNREP,ALL,365,SC- CHARLESTON,135167,1170,1212,1092.7214794938,1.10915729464883,8.96668565552243,9.05401898934155,0.236334145459316,8.55801197081219,9.57877368469929,1000,hrr,11,26
2011,KNREP,ALL,366,SC- COLUMBIA,137486,1096,1140,1066.97228698956,1.06844387047436,8.29175334215847,8.6923165355671,0.234018424326474,8.20159983204774,9.21239371607194,1000,hrr,11,26
2011,KNREP,ALL,367,SC- FLORENCE,47694,291,298,365.439167082308,0.815457200111452,6.24816538767979,6.61305115675402,0.348032937258777,5.90294170552694,7.40858503835449,1000,hrr,11,26
2011,KNREP,ALL,368,SC- GREENVILLE,103892,897,919,856.595839272791,1.07285134700186,8.84572440611404,8.78369797308557,0.263233276667953,8.2335132049582,9.3706475184768,1000,hrr,11,26
2011,KNREP,ALL,369,SC- SPARTANBURG,42391,360,365,346.131740864321,1.05451178527737,8.61031822792574,8.62662225002169,0.410094759439506,7.78535918347319,9.55878973478134,1000,hrr,11,26
2011,KNREP,ALL,370,SD- RAPID CITY,28464,266,274,237.534955574056,1.15351443469791,9.62619449128724,9.47271375085397,0.519748278428806,8.41475548530192,10.6636854704042,1000,hrr,11,26
2011,KNREP,ALL,371,SD- SIOUX FALLS,109878,1223,1264,898.432112724903,1.40689539264836,11.503667704181,11.553487036996,0.295325297079463,10.9333134630914,12.2088388999954,1000,hrr,11,26
2011,KNREP,ALL,373,TN- CHATTANOOGA,80000,632,649,668.613291666162,0.97066571677436,8.1125,7.95313712212323,0.283591523704111,7.36398713462064,8.5894215900953,1000,hrr,11,26
