year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit,nbad
2013,DEFIB,ALL,5190,CA- RED BLUFF,5756,15,15,9.96743171802529,1.5049012046778,-2.60597637248089,-2.58653903996989,-0.538909822032946,-1.55926314718445,-4.29060625037458,1000,hsa,11,26,0
2013,DEFIB,ALL,5191,CA- REDDING,31848,62,62,54.6801568425654,1.13386653550592,1.94674704848028,1.94852451364377,0.199744414132677,1.51901763021176,2.49947578274086,1000,hsa,11,26,0
2013,DEFIB,ALL,5192,CA- REDLANDS,6600,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5194,CA- REDWOOD CITY,11311,16,16,19.1515986314386,0.835439396361146,-1.41455220581735,-1.43609257608343,-0.289710025413352,-0.879757862941309,-2.34423808408691,1000,hsa,11,26,0
2013,DEFIB,ALL,5197,CA- RIDGECREST,4822,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5198,CA- RIVERSIDE,20165,29,29,35.2007825665016,0.823845320632091,1.43813538308951,1.42259406716103,0.21318505614413,0.988531559117307,2.04725267621081,1000,hsa,11,26,0
2013,DEFIB,ALL,5199,CA- ROSEVILLE,19659,19,19,33.5982090696167,0.565506332811709,-0.966478457703851,-0.972236236481949,-0.179988288770124,-0.62011432830194,-1.52430488441856,1000,hsa,11,26,0
2013,DEFIB,ALL,5200,CA- SACRAMENTO,53464,60,62,91.1365739455531,0.680297681993621,1.15965883585216,1.17323250817077,0.120259988150817,0.914637328541021,1.50494023726799,1000,hsa,11,26,0
2013,DEFIB,ALL,5201,CA- SALINAS,19394,14,14,32.97967807375,0.42450384047694,-0.721872744147675,-0.729944814759491,-0.15742058033066,-0.432294360884952,-1.23253847564315,1000,hsa,11,26,0
2013,DEFIB,ALL,5202,CA- SAN ANDREAS,7168,12,12,12.5289352772498,0.957782902892773,-1.67410714285714,-1.64577600333833,-0.383369316385281,-0.934609854743994,-2.89808484194316,1000,hsa,11,26,0
2013,DEFIB,ALL,5203,CA- SAN BERNARDINO,12399,16,16,22.2710489745551,0.718421481551234,-1.29042664731027,-1.24249553449379,-0.250661938011464,-0.761148587865552,-2.02824412716338,1000,hsa,11,26,0
2013,DEFIB,ALL,5204,CA- SAN CLEMENTE,7049,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5205,CA- SAN DIEGO,50388,58,60,87.1683081706591,0.688323557714706,1.19075970469159,1.18656831261532,0.1236382525839,0.92123278719853,1.52832636882619,1000,hsa,11,26,0
2013,DEFIB,ALL,5206,CA- SAN DIMAS,1770,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5208,CA- SAN FRANCISCO,54570,25,26,93.9482897104898,0.276747986366983,0.47645226314825,0.476935921801598,0.0754801548454046,0.324716085723377,0.70051310515771,1000,hsa,11,26,0
2013,DEFIB,ALL,5209,CA- SAN GABRIEL,13397,18,18,22.346390913551,0.80549919983207,-1.34358438456371,-1.38473084195494,-0.263376055618685,-0.872397889925662,-2.19794147464595,1000,hsa,11,26,0
2013,DEFIB,ALL,5210,CA- SAN JOSE,72803,101,104,124.70265763975,0.833983829762814,1.42851256129555,1.43444753894961,0.113557427193927,1.18350578923343,1.73859710760802,1000,hsa,11,26,0
2013,DEFIB,ALL,5211,CA- SAN LEANDRO,5834,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5212,CA- SAN LUIS OBISPO,13904,11,11,23.1577909874852,0.47500212805032,-0.791139240506329,-0.816185734496806,-0.198573318143649,-0.451987975014005,-1.47384264631255,1000,hsa,11,26,0
2013,DEFIB,ALL,5213,CA- SAN MATEO,11461,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5214,CA- SAN PABLO,5445,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5215,CA- SAN PEDRO,4351,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5218,CA- SANTA ANA,13003,11,11,22.2443657206274,0.494507244582821,-0.845958624932708,-0.850247936810969,-0.206860837337712,-0.470850456488705,-1.53535277302774,1000,hsa,11,26,0
2013,DEFIB,ALL,5219,CA- SANTA BARBARA,22709,34,34,38.3586339424202,0.88637150246375,1.49720375181646,1.52354551587595,0.210862447040565,1.08855011660131,2.13236938157059,1000,hsa,11,26,0
