HRR Number,HRR Name,Medicare enrollees (2008),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2008),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2008)
365,SC-Charleston,128416,4.64805896492969,4.70653434371228
366,SC-Columbia,144131,4.98449810325791,5.14252434893411
367,SC-Florence,45887,5.6903399224351,5.74459146185972
368,SC-Greenville,116097,5.08470757262898,5.28531088566267
369,SC-Spartanburg,50369,5.60421199872938,5.91336872008738
370,SD-Rapid City,29145,4.34425600307715,4.5653447526918
371,SD-Sioux Falls,117623,4.40540519552511,4.44362057649667
373,TN-Chattanooga,93330,5.4875767652404,5.68979330922349
374,TN-Jackson,48562,5.73303702020795,5.87070642298165
375,TN-Johnson City,38594,5.07695340654148,5.43877863470831
376,TN-Kingsport,78154,5.52203289311951,6.18101573992859
377,TN-Knoxville,196765,5.60224105332865,5.9996398320471
379,TN-Memphis,193934,5.51027195801816,5.67179009931782
380,TN-Nashville,312564,5.5437400598687,5.77692379830952
382,TX-Abilene,44196,5.49616199100926,5.65654621872025
383,TX-Amarillo,53403,5.4600806427575,5.59331556430767
385,TX-Austin,128604,4.71051573941248,4.87451961884339
386,TX-Beaumont,60117,5.78695114803966,5.98025352787328
388,TX-Bryan,23788,4.90114112775599,5.07301468623262
390,TX-Corpus Christi,64298,5.17086407032035,5.68550859741701
391,TX-Dallas,398656,5.11043871773888,5.3525257137949
393,TX-El Paso,115658,4.64477903147202,5.0486170893561
394,TX-Fort Worth,194861,5.26556700001153,5.64982308107516
396,TX-Harlingen,52924,4.40348395169362,4.65294479888546
397,TX-Houston,519808,5.04632705123191,5.30746530239588
399,TX-Longview,26871,5.44552648099031,5.60574988362386
400,TX-Lubbock,80068,5.33898389928822,5.4418953486173
402,TX-McAllen,50356,4.36089631478689,4.58019942704464
406,TX-Odessa,37042,5.47680773581114,5.53453222315308
411,TX-San Angelo,22338,5.683380064434,5.8341495562106
412,TX-San Antonio,278060,4.69145774849316,4.95717101343568
413,TX-Temple,43409,5.05597677036116,5.56124785435451
416,TX-Tyler,81484,5.44144821525612,5.60880992027031
417,TX-Victoria,21185,5.01649511080022,5.13551382658565
418,TX-Waco,43524,5.47954922296812,5.71131839017427
420,TX-Wichita Falls,28482,5.54802222633462,5.62630630435487
999,US-United States,36727297,4.76241690206606,4.98808651260429
421,UT-Ogden,39345,4.39386626263946,4.74838290584635
422,UT-Provo,38187,4.44587930051637,5.06670202336096
423,UT-Salt Lake City,182937,4.48244048223912,4.87993247472574
426,VA-Arlington,172357,4.0460710244491,4.08395458561859
427,VA-Charlottesville,76194,4.64157437719228,4.76938123367254
428,VA-Lynchburg,38203,4.9053392471479,5.21123349160621
429,VA-Newport News,69996,4.55565370898786,4.61102167739422
430,VA-Norfolk,136054,4.86600709328901,4.94949481694959
431,VA-Richmond,194799,4.89638640314547,5.02804501764417
432,VA-Roanoke,107489,5.33978251517491,5.49041857055029
435,VA-Winchester,54264,5.29870274813692,5.4219746256231
424,VT-Burlington,82994,4.96136858076097,5.1233285507162
437,WA-Everett,74871,4.76739324621206,5.0326822157895
438,WA-Olympia,52541,4.63878166412164,5.0220248142497
439,WA-Seattle,303630,4.42397654275626,4.61493139243482
440,WA-Spokane,192727,4.73832586637718,4.99999039763705
441,WA-Tacoma,81510,5.04446962520331,5.27214537311993
442,WA-Yakima,32438,4.67838450532989,4.87506616628189
446,WI-Appleton,43947,4.63553686660893,5.54345008825142
447,WI-Green Bay,72909,4.51946117720595,4.96690405699004
448,WI-La Crosse,50318,4.56994616132067,5.03010242633968
449,WI-Madison,131644,4.57283041349046,4.89856116973125
450,WI-Marshfield,60813,4.23775023789955,4.7870349851937
451,WI-Milwaukee,310053,4.73022745819595,4.98947741951122
452,WI-Neenah,33199,4.73205506824768,5.48309586226644
456,WI-Wausau,31516,4.65100351428347,5.24719181646206
443,WV-Charleston,129757,6.07148203990088,6.35046868233645
444,WV-Huntington,53702,6.13333005929292,6.4474977487031
445,WV-Morgantown,56840,5.58543224402452,5.86673281406599
457,WY-Casper,26233,4.77654972078579,4.85127092899938
