HRR #,HRR City,State,Resident Population (2010),"Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Hospital-Based Physicians per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","Resident Physicians per 100,000 Residents (2011)","Allergists/ Immunologists per 100,000 Residents (2011)","Anesthesiologists per 100,000 Residents (2011)","Cardiologists per 100,000 Residents (2011)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2011)","Critical Care Physicians per 100,000 Residents (2011)","Dermatologists per 100,000 Residents (2011)","Emergency Medicine Physicians per 100,000 Residents (2011)","Endocrinologists per 100,000 Residents (2011)","Family Practice Physicians per 100,000 Residents (2011)","Geriatricians per 100,000 Residents (2011)","General Surgeons per 100,000 Residents (2011)","Gastroenterologists per 100,000 Residents (2011)","Hematologists/ Oncologists per 100,000 Residents (2011)","Infectious Disease Specialists per 100,000 Residents (2011)","Internal Medicine Physicians per 100,000 Residents (2011)","Neonatologists per 100,000 Residents (2011)","Nephrologists per 100,000 Residents (2011)","Neurosurgeons per 100,000 Residents (2011)","Neurologists per 100,000 Residents (2011)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2011)","Ophthalmologists per 100,000 Residents (2011)","Orthopedic Surgeons per 100,000 Residents (2011)","Otolaryngologists per 100,000 Residents (2011)","Pathologists per 100,000 Residents (2011)","Pediatricians per 100,000 Residents (2011)","Plastic & Reconstructive Surgeons per 100,000 Residents (2011)","Psychiatrists per 100,000 Residents (2011)","Pulmonologists per 100,000 Residents (2011)","Radiologists per 100,000 Residents (2011)","Radiation Oncologists per 100,000 Residents (2011)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2011)","Rheumatologists per 100,000 Residents (2011)","Urologists per 100,000 Residents (2011)","Vascular Surgeons per 100,000 Residents (2011)"
188,Terre Haute,IN,186341,163.14332905,61.151516509,99.889850067,33.540218862,24.596419623,31.90574672,14.775177735,0.9208301832,11.447358422,7.2423092712,1.5739669551,1.2955085992,1.1138838976,4.8817442007,0.2077260076,37.323396787,0.1157298564,5.8747290342,2.1643885056,3.2362268772,0.1697775572,17.675288765,0.1346019512,1.1170625063,1.5968440531,3.4419351767,43.11150554,3.3143406889,4.6281199113,1.7958354767,3.2551165529,5.6644821624,0.9481738238,7.0364374494,1.3571616269,8.0336901657,0.5481832677,3.6948952393,0.9820150163,2.4544617828,0.2879092637
190,Cedar Rapids,IA,306104,163.14666463,60.443056966,100.40665089,35.975843443,24.535988137,30.522737283,23.300760567,0.7003779131,11.497842319,5.8488283593,1.1642725899,1.6214069635,1.9512694203,7.3242127352,0.5435533222,41.416475439,0.2021214139,4.1279429262,2.4526934111,3.1313732027,0.3427261184,10.671829343,0.7807395759,1.1067989163,1.6028823863,2.3673592934,35.601682703,4.085276278,5.1616500555,1.8273646931,4.2397700281,8.6705795995,1.0652737429,7.6482435356,1.6382069624,3.8260989269,1.1433364864,1.547605457,1.2726858848,2.41641047,0.6909465021
191,Davenport,IA,493646,183.07165033,65.318896679,115.19203228,42.744964765,24.481778472,38.686857383,25.466016704,0.7112429786,11.241949931,6.4671290206,1.4759664949,1.8934851071,2.6390205977,8.0220597883,0.6860654329,36.641894821,0.4290184288,6.4097487794,4.4081265919,2.8618409724,1.1157008225,17.973950997,0.8501817542,1.8422321639,0.7757660089,3.4612492748,52.577641023,5.0917023763,6.7617473926,2.9831812154,4.8552235251,11.062085777,1.3411673475,6.1587203972,1.3614490307,9.6265749217,1.0350286187,1.9120935504,1.2363177887,2.2009559824,0.507001224
192,Des Moines,IA,1093635,184.48088638,78.175418307,103.36382433,34.723804482,24.012349665,34.727686628,22.211387634,0.8516186959,10.93231101,5.3220937139,0.9648771156,2.0020644799,2.0836728526,4.9486598054,0.9448935398,49.413297437,0.8024566861,6.8028031584,2.4799024694,2.4026563733,0.9739434827,18.284700421,1.1485721179,1.3493538401,0.7677437256,2.9298505045,42.709964335,3.7387542803,5.8326065148,2.7924860775,3.8343220476,10.852135942,1.4305820871,6.2838120765,1.1868320149,6.9222462308,0.8832477749,2.1288282629,1.3502458188,1.7678071023,1.2681658419
193,Dubuque,IA,151837,174.24345517,65.418945768,106.62128445,35.632180846,21.490227111,41.816057659,18.725920032,1.7429125144,8.4385640528,3.0708745631,0.9270496922,0.8520370881,2.0633215348,9.7433582529,1.8078424653,33.173575056,0.199932157,8.899673826,2.0514204131,2.5754906023,1.2643579122,22.357051403,0.7486934395,0.2785294296,0.4151837458,3.9309226573,61.625817174,4.8892783785,6.0997980112,3.6378981797,4.8478971599,9.8436950095,0.9453786571,5.5324373709,0.2219472929,7.8569911581,0.7771568216,0.572674673,1.2472134128,3.1262097467,0.1900906761
194,Iowa City,IA,345215,205.04631659,75.158039355,127.56453688,45.730263231,22.83659367,40.367103474,62.088183425,0.656517781,9.32666693,5.0559640774,1.4802259439,3.8830332119,3.9024109402,5.6889173447,1.2264502799,38.2100109,1.410444177,7.2954891263,2.0749935823,3.5515428468,2.0953614102,22.630249605,1.217484779,1.7570779185,0.6714805348,5.535580329,45.594131226,5.9333163814,6.6710687892,3.5070945803,5.8093829492,14.345672315,0.8475885719,12.673264529,1.4397484453,10.398018311,2.1545410951,2.4293029101,0.730164344,3.3398630198,0.733915523
195,Mason City,IA,134425,187.43209399,85.592977376,100.03922768,32.965248579,21.605752815,35.493775981,37.664755206,0.2802056456,7.8176334724,5.4509456199,0.9805860336,2.2497446234,2.6307630989,3.7252161234,0.8677829914,60.993183872,0.3357280195,6.3677754863,2.1701569053,3.0910142565,0.6938766745,16.461865556,0.3075146153,1.4295329986,1.0740832169,3.3663341358,49.13034819,3.4996438965,6.0435507245,3.3079655061,5.1044373659,9.6313064016,1.5680356641,7.0988366141,1.4861599263,14.024832388,1.5029142098,1.7685032729,0.3907865816,2.0633082755,0.333379038
196,Sioux City,IA,255569,151.14333304,58.546405038,90.235979109,28.244707142,18.929349286,35.342305054,16.533443689,0.5153096539,6.4878559923,5.5045702985,1.3975097825,1.5072698389,1.4788902218,4.3109460369,0.1970879476,47.758452405,0.4330946127,8.8237755309,1.8132707165,2.502020595,0.9081602269,7.5694841569,0.5300860137,1.3413865545,1.7687908287,2.7291675237,26.415492074,1.5700967574,8.2709744797,3.2143737937,3.8099100371,4.4603992877,1.3394113855,5.5640360679,1.1939739631,6.450981705,0.8552752977,0.8288397565,0.527200359,2.1268388217,0.2189681585
197,Waterloo,IA,213477,193.67810589,76.254850639,114.97526699,36.994321453,27.02277557,39.636962097,34.527014517,0.594103473,13.706740743,4.318078573,2.0932922442,2.208859891,1.6332893643,7.2987474439,0.4735450617,53.443312684,0.3018859668,7.1168995901,2.7259956148,2.9996938663,1.2631256781,15.585073284,0.3079622177,2.1285822724,1.2302577794,3.9130216611,48.609034741,4.7743779212,6.9788775792,2.8695530953,4.6909027847,7.5604710667,1.2027562806,8.2422704011,1.1835492922,7.6004248452,1.2349657397,2.0103404395,0.6515670871,2.0245258397,1.029469851
200,Topeka,KS,455318,172.80802431,71.520429593,98.84211571,33.453251989,19.76755763,31.901752415,10.461187035,1.1405911429,6.7363354888,5.3396110194,1.0442494056,1.131905563,0.9028581159,6.1963708729,1.1749312145,41.761291935,0.1000794053,5.4920262517,2.1975056825,2.0218310054,1.6023478457,19.341712282,1.1078368675,0.8931081827,1.0690582522,3.2242505747,43.993648484,3.7009344024,5.2083435183,2.3841552924,4.3445210653,10.669095533,0.8898579029,10.745743466,0.7598593666,7.9952291475,1.1721947787,1.9601928214,0.7808761995,2.5897353354,0.2963924121
