HRR #,HRR City,State,Resident Population (2006),"Acute Care Hospital Beds per 1,000 Residents (2006)","Hospital-based Registered Nurses per 1,000 Residents (2006)","FTE Hospital Employees per 1,000 Residents (2006)","Total Physicians per 100,000 Residents (2006)","Primary Care Physicians per 100,000 Residents (2006)","Total Specialists per 100,000 Residents (2006)","Medical Specialists per 100,000 Residents (2006)","Hospital-Based Physicians per 100,000 Residents (2006)","Surgeons per 100,000 Residents (2006)","Resident Physicians per 100,000 Residents (2006)","Allergists/ Immunologists per 100,000 Residents (2006)","Anesthesiologists per 100,000 Residents (2006)","Cardiologists per 100,000 Residents (2006)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2006)","Critical Care Physicians per 100,000 Residents (2006)","Dermatologists per 100,000 Residents (2006)","Emergency Medicine Physicians per 100,000 Residents (2006)","Endocrinologists per 100,000 Residents (2006)","Family Practice Physicians per 100,000 Residents (2006)","Geriatricians per 100,000 Residents (2006)","General Surgeons per 100,000 Residents (2006)","Gastroenterologists per 100,000 Residents (2006)","Hematologists/ Oncologists per 100,000 Residents (2006)","Infectious Disease Specialists per 100,000 Residents (2006)","Internal Medicine Physicians per 100,000 Residents (2006)","Neonatologists per 100,000 Residents (2006)","Nephrologists per 100,000 Residents (2006)","Neurosurgeons per 100,000 Residents (2006)","Neurologists per 100,000 Residents (2006)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2006)","Ophthalmologists per 100,000 Residents (2006)","Orthopedic Surgeons per 100,000 Residents (2006)","Otolaryngologists per 100,000 Residents (2006)","Pathologists per 100,000 Residents (2006)","Pediatricians per 100,000 Residents (2006)","Plastic & Reconstructive Surgeons per 100,000 Residents (2006)","Psychiatrists per 100,000 Residents (2006)","Pulmonologists per 100,000 Residents (2006)","Radiologists per 100,000 Residents (2006)","Radiation Oncologists per 100,000 Residents (2006)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2006)","Rheumatologists per 100,000 Residents (2006)","Urologists per 100,000 Residents (2006)","Vascular Surgeons per 100,000 Residents (2006)"
111,New Haven,CT,1476683,2.07178625330666,3.72596088087418,13.550927992412,252.1352,81.4794,167.2344,60.4494,26.7753,53.8925,58.142,1.5944,13.9801,8.7066,1.5791,2.4759,4.2725,8.9655,2.6853,12.7713,1.7177,7.5114,5.7051,3.9322,2.7567,47.0523,1.2978,2.7174,1.7548,4.6066,78.7615,7.0915,8.6084,3.4908,6.1942,21.7416,2.6013,22.5265,2.7509,13.4584,1.3146,1.9,2.2665,2.9615,0.9226
112,Wilmington,DE,766361,2.25853589542767,4.66599907670389,18.0930929835618,217.1645,76.5826,138.0221,50.5405,25.3812,43.7227,35.4414,1.4072,12.1471,8.0661,2.0044,1.299,2.5123,8.7082,0.9681,30.5049,1.3948,7.8963,3.1642,2.8608,1.9132,26.4894,1.5234,2.6287,1.3408,4.2522,57.4544,4.7916,6.7552,2.3338,3.9207,19.6952,2.2464,11.2981,2.2121,10.1049,0.8966,4.1003,1.3075,2.9932,0.8581
113,Washington,DC,2513112,2.25085093736427,3.51548364740297,13.8450776956433,298.9757,101.9685,194.6542,79.8796,28.4447,60.2648,52.8231,3.051,16.3429,10.2828,1.7737,3.8149,5.5962,11.8468,3.0487,26.0115,1.3932,9.7568,5.9089,6.2353,4.5887,49.0991,2.0117,3.5905,1.8349,6.8144,81.571,8.8973,8.4407,4.3535,8.6268,27.1043,2.864,22.7189,3.0215,12.6388,2.2227,3.3471,2.3083,3.718,1.0459
115,Bradenton,FL,304079,1.82286718173781,2.49839659573683,8.11106284155197,157.4672,47.612,107.1153,37.6818,22.6446,36.3661,7.0166,1.0553,9.7539,5.3571,0.9348,2.0956,3.2893,8.1996,0.7256,18.4316,0.1638,5.0273,3.5038,1.6005,1.3616,17.6465,0.1635,0.8657,1.6944,2.7715,56.9631,3.6753,5.0911,3.1844,3.3098,12.122,2.5212,8.1951,2.2464,7.552,0.9477,1.8059,0.7474,2.2607,0.6105
116,Clearwater,FL,515211,2.27669815961547,2.25590607397595,6.6994542426338,188.6592,67.2809,118.7312,46.032,23.6998,37.502,11.0009,0.7077,10.4397,6.1413,1.1488,1.3527,3.4349,10.5299,1.4781,24.1758,1.1646,5.6299,3.3163,2.9339,1.3665,27.8129,1.1715,1.1038,1.3037,4.2352,55.4199,4.4217,6.2924,2.4056,3.531,15.6652,2.0828,7.7264,2.5506,12.363,0.9844,1.7718,1.4302,2.3639,0.3361
118,Fort Lauderdale,FL,2739143,2.31566845042796,2.88081879443449,9.19721445620263,207.6178,64.8945,139.9426,50.3168,28.04,47.8184,11.582,0.8776,14.8805,6.9701,1.3668,1.6452,5.0361,9.6903,1.424,19.2937,1.0144,5.6504,4.8386,2.7399,1.6154,28.8528,1.8663,1.8505,1.2498,4.0869,71.4957,6.2216,7.4198,2.9282,4.5897,17.0118,4.1844,9.5895,1.9943,10.9087,1.084,1.8824,1.6781,3.1608,0.5322
119,Fort Myers,FL,1089206,1.93983073317984,2.59707573242693,10.6024390765,177.3138,55.7982,118.8962,41.445,22.6099,42.7869,8.8718,0.9682,9.5905,5.3623,1.249,2.1059,3.8099,11.155,1.3325,21.2079,0.9985,5.3003,3.3383,2.0014,0.9589,21.1784,0.597,1.045,1.9573,3.7185,75.8464,4.5779,5.6406,2.6187,3.7967,14.1887,3.6207,8.1924,1.4207,9.0214,1.1342,1.4087,0.7933,2.4876,0.752
120,Gainesville,FL,536965,2.12523434365576,3.04839224700371,10.8856707349869,201.7415,73.9941,125.3474,48.2041,24.6989,34.7173,55.9525,0.8568,11.421,7.2157,0.8268,2.2826,2.5512,7.6265,1.166,29.5372,1.8955,6.6413,4.7642,3.4262,2.1509,26.5454,1.2869,2.1337,1.1592,4.2085,34.9397,4.5401,5.083,2.524,5.2896,18.3905,1.8112,11.1512,2.1567,11.8096,1.8952,1.5994,1.5873,2.1274,1.4329
122,Hudson,FL,395414,2.24137323436551,2.822316384377,9.68151883341163,176.5656,64.135,109.9804,41.9561,23.447,34.7266,9.2749,0.6867,10.351,5.5846,1.3648,1.5339,2.9871,7.5084,1.3293,22.6032,0.6969,5.2412,3.7034,2.812,1.2005,27.3032,0.6931,1.6181,1.2899,3.9458,52.1425,5.0508,4.2934,1.4375,5.1553,14.167,1.7239,6.2329,2.1468,8.3019,1.2663,2.0628,0.8728,2.6807,0.5503
123,Jacksonville,FL,1529607,2.42651932634084,3.7818055606813,13.0379483751003,204.3261,72.6041,129.1661,51.6987,26.2442,39.4228,27.275,0.7547,13.032,8.0046,1.0515,1.867,2.7832,10.8656,1.1132,33.8305,0.5124,6.977,5.0626,3.9427,1.3528,23.4577,0.8751,2.7934,1.557,3.9077,51.0295,4.2425,5.2698,3.1454,4.2387,15.2161,2.1202,8.1225,2.3274,9.3925,1.5296,1.7908,1.0073,2.8075,0.6252
124,Lakeland,FL,365182,2.51887899257613,3.32022271200537,12.2774798471131,152.8825,53.8481,96.7036,34.3048,22.7771,32.6971,8.6475,0.8671,9.6011,5.7425,1.7992,3.1957,3.1724,7.016,0.4711,17.3968,0.3096,6.207,3.2687,1.2077,0.937,26.174,0.6404,0.7975,0.637,2.9474,47.1693,3.1902,3.9554,2.9854,3.7011,10.2062,1.2671,4.5992,1.032,8.9439,1.3189,0.8304,0.8969,2.3948,0.1575
127,Miami,FL,3086481,2.76913134168427,3.65681693360426,12.5171294080873,196.9946,69.7101,124.6537,47.0002,23.7233,37.7452,33.2361,0.9669,10.5365,8.7726,1.1899,1.9828,4.0024,6.0201,1.7451,22.768,1.2802,6.2644,3.7851,2.9345,1.7686,28.5767,1.9338,1.9844,1.2119,4.195,49.2855,4.4811,4.6657,2.3197,3.7175,18.3441,3.3261,10.5096,2.4223,8.467,1.1354,1.3635,1.1432,2.8748,0.5764
129,Ocala,FL,446808,2.0041648852039,3.10195504099371,10.9300547603304,185.2414,65.1191,117.5711,39.2543,25.7159,41.3653,15.1399,1.0621,12.4841,5.9832,1.6091,2.447,3.0192,8.7242,0.6587,26.9044,0.7357,7.0731,3.4881,2.0278,1.1683,24.7914,0.5013,1.5669,1.4375,3.3258,60.4069,4.0156,5.7655,2.6092,5.557,13.6548,2.1239,7.5523,1.6338,11.4201,1.2896,1.164,0.7196,3.5341,0.6706
130,Orlando,FL,3379383,2.20382770619607,3.44453589015079,12.6121811244281,174.0587,60.3172,111.1738,40.4025,23.7509,37.0789,12.3418,0.8041,10.5854,6.343,1.0336,1.6842,2.5171,9.0871,1.0451,24.4575,0.8824,5.5367,3.115,2.3291,1.2305,22.486,0.742,1.5638,1.0047,3.3041,55.5399,4.2121,5.6787,2.542,3.8583,13.5423,2.0503,6.5526,1.4518,8.3521,1.107,1.6159,0.8616,2.5091,0.66
131,Ormond Beach,FL,375221,2.13978083368532,3.13119719296129,11.4070910281091,167.5477,58.0293,107.0831,35.4306,24.6269,35.2646,12.3637,1.0393,11.393,3.7628,1.0493,1.0035,2.8048,9.2133,1.0637,30.9857,0.6111,5.7238,3.0084,2.7289,0.7167,16.8015,0.3652,1.2638,0.846,3.6177,47.2858,4.6579,5.8579,1.7849,4.225,10.8115,1.7342,8.3985,0.9714,10.4431,0.7043,1.5428,0.4736,2.8564,0.1377
133,Panama City,FL,205181,2.51705704778754,2.56706142644867,11.9431511969736,158.1254,52.2099,103.2054,35.9577,21.2045,36.6408,9.4821,1.3743,8.869,3.8935,1.7764,1.4411,1.5344,8.267,0.5098,26.3476,1.2723,4.8217,2.6512,2.102,0.9038,18.1377,1.3438,2.8782,1.063,3.532,42.272,3.4573,6.7808,2.5189,2.3289,7.4595,2.0227,6.7315,2.0391,5.0601,0.8763,0.6262,0.1222,3.3706,0.5039
134,Pensacola,FL,764907,2.64754195841564,3.67045068558394,11.5769610086409,207.2522,72.5377,132.2217,44.3543,25.9141,49.6856,17.7263,1.7886,12.659,5.2934,1.3972,1.6725,3.233,10.2107,0.6883,40.5828,0.5458,10.2319,2.666,2.1398,0.8338,18.6101,0.8286,1.6931,1.7696,2.3743,64.2634,5.1965,7.8165,3.3394,4.3457,13.5005,2.1184,8.5561,1.5432,8.9165,1.1315,1.48,1.1527,2.766,0.93
137,Sarasota,FL,389509,2.11492714162108,2.81532558434832,9.84346457890615,213.4295,63.5244,146.558,52.9529,27.1868,50.8381,10.7297,1.5774,13.9505,7.2949,1.2549,2.3609,5.61,14.0922,1.5791,23.4362,0.5666,5.2295,4.6786,2.1968,1.2788,24.2812,0.436,1.4093,1.8794,3.4448,96.7171,6.1076,8.0772,2.9683,5.1243,18.5418,4.2848,9.5933,1.7997,12.4184,0.9977,3.145,1.8451,2.8703,0.8879
139,St. Petersburg,FL,421971,2.90166168556486,3.48245960460787,12.7957264768293,229.9818,84.7958,143.0861,54.5227,25.7377,44.258,19.8296,1.5651,12.5282,8.0758,1.3401,1.825,3.6549,11.0382,1.7569,35.4812,0.9573,5.2555,4.2202,3.0599,1.2533,25.8662,3.6732,1.6353,1.58,4.9346,66.8375,5.0363,6.4862,2.3345,5.6301,26.8563,3.6564,9.0952,2.9348,10.7772,1.1274,3.0559,1.2602,2.7914,1.0528
140,Tallahassee,FL,799197,2.72502263828277,3.55858988488039,14.1668763566137,157.6177,59.3659,95.8611,32.2737,20.2398,32.1456,13.0655,0.9788,7.6087,3.563,0.9268,1.0759,2.3403,6.6728,0.8132,30.992,0.3775,6.0895,2.9252,2.1485,0.6464,18.2327,0.4789,1.9049,1.1856,2.6007,39.9305,3.8418,4.9445,2.3147,3.2671,9.9818,1.5981,9.0046,1.3671,6.5422,1.3439,0.7744,0.9438,2.2464,0.5201
141,Tampa,FL,1247186,2.24654567689818,2.97220577988622,10.1315398712529,183.7475,63.3352,117.869,46.5089,23.7458,34.6973,27.9186,1.3206,10.4402,6.4241,1.4538,1.4542,3.107,7.2411,1.3275,19.429,2.5576,5.9371,3.0144,3.7411,1.7946,29.1146,0.8113,1.707,1.4947,4.1442,43.25,4.115,4.6527,2.5155,5.8461,14.7722,2.1724,9.5198,2.1368,8.6628,1.2785,1.7103,1.1414,2.3702,0.5898
142,Albany,GA,219390,3.43552295496732,3.99971037541868,20.1078780942791,149.3394,54.2451,92.7154,32.1756,18.8045,34.1634,11.4448,1.2075,6.5527,3.7837,1.073,1.5943,1.0548,6.8377,0.847,20.1306,0.8228,6.6766,2.6738,3.4513,0.5665,23.1795,1.189,1.8855,0.946,1.4995,47.1533,4.1197,6.0845,1.2073,3.0868,11.0115,1.3208,5.8213,0.9501,5.8495,0.9231,1.3292,1.2579,2.3345,0.1434
144,Atlanta,GA,5757756,2.04408139492358,3.46240175643753,12.0652408019368,184.9631,64.2089,118.3879,43.3333,22.5752,39.8363,22.1486,0.7917,9.5038,6.2699,0.9263,1.2202,3.0339,8.2374,0.9397,20.3282,0.6551,6.6731,3.262,2.5459,2.1887,29.1261,0.9187,2.2997,1.1565,3.1936,57.9938,4.4771,5.7079,2.596,3.4553,14.8165,1.7249,9.2645,1.6069,7.2652,1.1917,1.5838,0.8373,2.8137,1.1294
145,Augusta,GA,640630,2.91752430738442,4.06881279683802,14.3600646445343,212.8616,70.4517,139.7172,50.063,25.3935,47.2448,53.0242,1.4839,12.1893,8.0653,1.7631,2.855,3.1136,8.6315,1.7906,30.6044,0.2257,8.9309,3.5547,3.4408,1.1448,25.3257,0.9538,3.5748,2.283,5.9972,60.2271,5.012,7.0862,3.3616,6.028,14.4903,2.1396,12.2664,2.0463,9.2801,0.9874,1.5434,1.5032,2.6602,0.6297
146,Columbus,GA,327832,3.01106270360844,2.96300278380862,13.1748995383139,170.474,69.6729,97.7192,32.3865,20.2361,36.4172,21.1942,0.9176,7.7221,5.0159,0.8363,0.7383,1.2435,4.5791,0.9542,45.6257,0.3599,7.4624,3.1018,2.3934,0.8347,16.2624,0.6812,2.9804,1.1791,1.8854,43.4606,4.9536,6.6888,1.6252,2.2511,8.3327,1.5078,6.9537,1.1167,6.8598,1.0233,1.1094,1.002,2.2139,0.6375
147,Macon,GA,709750,3.0537406999431,4.30874966313028,16.6307023794692,185.3417,67.6382,115.2247,36.19,23.0026,45.0558,23.0153,0.5922,9.8814,5.2935,1.7347,0.6738,2.1533,7.4765,0.5477,27.2619,0.7928,7.5601,2.7565,2.2843,0.596,29.6343,1.0843,2.7103,1.5345,3.1017,71.4963,5.001,6.4304,3.116,3.6919,10.9139,1.0327,8.4462,1.6128,7.7333,1.5365,0.8252,0.6997,2.5339,0.753
148,Rome,GA,284854,2.82634411390678,3.86711377099743,14.7449643916566,182.8605,73.6189,106.467,31.4985,23.4706,42.5513,12.8669,0.3607,10.4293,4.3787,0.772,1.2944,1.477,6.1134,0.828,42.1133,0.0705,7.7492,4.651,2.0982,0.3368,21.6754,0.4579,1.4594,1.9102,2.4148,55.1263,3.1376,7.6122,3.0376,2.4036,10.0759,1.6121,7.3147,0.9309,7.2984,1.199,1.9801,0.2315,3.0045,1.5463
149,Savannah,GA,781453,2.61466245507356,3.9050055871664,15.0704831323038,185.1361,64.1425,118.6003,38.5923,22.3258,46.9504,19.9281,0.94,9.387,5.5122,1.0862,1.0412,2.3831,10.2138,0.378,26.0618,0.5701,8.5265,3.3878,1.9622,0.904,23.8477,1.1669,2.0519,1.3057,2.7412,64.3613,4.9469,7.4975,2.9452,2.4041,14.1055,2.5622,7.5594,1.8226,7.5846,0.8826,0.9979,0.5109,3.184,0.7329
150,Honolulu,HI,1283258,1.74553299705218,3.05463040336449,10.282758735347,231.8022,87.5196,141.7345,48.9455,24.5472,46.2822,31.0034,1.0854,11.2727,4.0107,1.1214,1.5741,3.5643,12.3532,0.8447,29.417,2.564,7.7732,2.9634,1.5008,1.4035,37.5859,1.538,1.657,1.3011,3.3934,72.8238,6.3945,6.2177,2.6016,4.4932,20.4999,2.1748,17.1929,1.665,10.831,1.0747,2.8873,1.0429,2.87,0.6511
151,Boise,ID,799975,1.98456464975233,3.48760546039627,13.474468807796,178.2358,62.3247,113.526,37.5647,23.2657,43.3475,10.2962,0.6257,10.029,3.9505,0.5492,1.4782,2.8164,10.3782,0.7903,37.8736,0.5472,8.1714,2.8825,1.4149,0.6923,17.1043,1.5445,1.205,1.569,2.3785,54.3771,4.1895,8.9368,2.7791,3.329,7.7572,1.1453,6.5836,1.4707,9.1863,1.3052,2.6161,1.0623,2.7289,0.8
152,Idaho Falls,ID,210371,2.23811996409475,3.34880165668674,13.124909311067,159.6811,52.9521,103.9917,33.1092,22.1181,41.1259,7.9842,0.5568,8.9151,4.8171,1.6264,1.0297,2.2728,8.0105,1.0406,34.7787,0.0962,7.3757,2.955,1.8654,0.631,12.4898,0.1161,0.3268,1.7925,2.4105,48.0142,5.0774,9.1575,1.8796,3.1591,6.4086,1.9203,7.0291,0.3089,8.6549,0.7077,2.5821,0.6765,2.236,0.1646
154,Aurora,IL,314808,1.88376442902744,3.3321550115766,10.4037950314338,143.0197,52.6445,88.1565,28.1373,20.1856,34.9358,12.9268,0.7743,7.6329,4.2333,0.5743,0.5436,2.2218,5.1263,0.789,23.9182,0.4482,5.7412,2.897,2.9217,0.5363,21.8601,0.4831,1.2015,1.5115,1.7075,48.2279,4.2291,6.0502,2.7544,1.9922,7.9497,1.0143,4.0899,1.5705,6.6249,0.8896,0.6342,0.519,2.0101,0.1271
155,Blue Island,IL,862887,2.61109848180777,3.9391292944447,16.7043537172372,202.8547,73.7204,126.5826,50.0886,25.0643,40.184,34.6891,1.8074,11.8179,7.8866,0.9713,1.4522,2.0385,10.132,1.5626,23.4873,0.8546,5.9858,3.7928,2.8596,2.3383,34.7118,1.0703,2.2062,0.7551,4.1476,63.5332,5.5087,5.6283,2.333,4.1539,15.4677,1.0698,7.5545,1.6943,9.2643,1.3881,2.8018,1.097,2.4689,1.0503
156,Chicago,IL,2736587,3.68703806746994,4.79316448541389,19.1792061836655,241.0273,92.4881,146.2882,60.9244,26.1819,39.6063,87.737,1.151,13.1035,8.7028,0.9961,2.1548,3.2001,11.3798,1.9727,26.4086,1.608,7.1689,4.6898,4.8466,2.712,50.0045,2.4015,2.8178,1.6906,5.3427,56.4237,5.6611,4.4714,1.9987,6.2057,16.9922,1.6085,15.2023,2.1118,9.9087,1.5563,3.4509,1.4684,2.5901,0.6712
158,Elgin,IL,772699,1.85058394232048,3.09878510170451,10.6674360199868,177.8891,62.0828,113.4838,38.4394,26.2274,39.2341,14.3854,1.8201,12.7786,6.7993,1.5491,1.02,2.6156,6.7678,1.097,21.3884,0.3883,4.7385,3.8907,2.4791,0.988,29.264,0.6186,1.1087,0.9759,3.4698,55.8187,5.0007,7.4125,2.472,2.8914,11.968,1.4478,8.3468,0.9727,5.6434,1.0721,1.6789,0.5645,2.5409,0.3487
161,Evanston,IL,921373,2.16885852276192,3.60546430051897,14.5552431873952,270.1289,96.5737,170.8698,62.1761,27.7045,58.6269,45.3654,2.0034,15.0211,7.9447,1.3503,1.96,5.3249,13.6591,1.4224,24.1614,1.5646,7.3239,4.7775,3.6558,2.0239,46.8018,2.0374,2.1303,1.4555,5.8118,113.7081,7.9994,7.3795,3.0339,6.4393,25.7423,2.7399,19.5641,1.771,12.4369,1.3511,2.5806,1.6802,3.0429,0.8801
163,Hinsdale,IL,471693,1.72654048256437,3.66919540199194,11.2336457634091,210.2172,70.4698,137.1684,46.8041,30.1843,46.9057,29.2086,1.9485,17.2809,8.3603,1.1538,0.9773,2.8878,10.0905,1.263,25.1963,0.6323,7.0906,2.7424,3.1692,2.027,27.8562,3.0461,1.2847,1.8001,2.4181,68.286,6.1538,5.3445,3.5836,5.6139,17.218,2.7526,9.9015,1.6534,8.3835,0.9679,3.3028,0.8455,2.8002,0.5265
164,Joliet,IL,671851,2.4523514060333,3.63788578550959,13.2856733797268,171.5438,58.9723,110.175,41.2169,23.0218,35.818,18.0061,1.1359,10.1084,8.0142,1.1566,0.7383,2.4005,7.5606,1.0218,20.8908,0.6647,6.4649,2.288,2.8081,1.2653,25.924,0.592,1.7433,1.352,2.7876,48.892,4.3599,5.1469,2.3187,2.778,12.274,1.1411,7.8034,1.5458,5.6564,1.2763,3.1461,0.7876,2.6913,0.4305
166,Melrose Park,IL,1318678,2.28628056276353,3.52716876479928,14.10749959125,230.5253,85.894,142.0469,53.9625,27.8968,45.7853,48.7031,1.6626,14.8875,8.8898,1.1169,1.9445,3.209,10.4088,1.3891,31.3316,1.5614,7.308,4.0595,3.9081,1.544,39.5056,1.8034,1.8168,1.3629,3.9511,68.212,6.0944,6.3947,2.7858,5.4432,15.2732,1.9242,9.9941,1.8449,9.3856,1.3208,3.4222,1.2035,3.1449,0.5089
170,Peoria,IL,603199,3.16352052590816,4.90597155521736,18.541633656182,175.6485,62.0963,111.1529,35.5369,25.4153,36.3449,34.1824,0.5986,12.1628,4.3069,1.2825,1.1171,1.1271,10.5752,0.8222,32.7234,0.3521,6.2639,2.2043,1.8712,0.8033,18.2159,1.0212,1.4761,1.1061,3.2305,51.2363,3.5619,5.7101,2.1885,4.3804,11.3427,1.4551,6.2658,1.7451,9.322,0.882,1.871,0.9433,2.7082,0.6823
171,Rockford,IL,725460,2.38753183359574,4.01895892648869,15.2224906099764,188.6289,69.0919,116.9804,38.6338,27.5884,40.9544,16.53,0.9907,14.122,6.1886,1.5505,0.8631,1.5104,8.6563,0.5341,34.5393,0.7019,7.169,4.0013,2.4165,0.9819,23.5812,1.352,1.4015,1.4586,2.8262,56.895,4.6304,7.0354,2.3577,3.3129,10.9022,1.5293,6.9933,1.1423,7.9939,0.987,2.1332,1.119,2.2608,0.5151
172,Springfield,IL,828439,2.88238400934247,3.50767744438721,15.6692869855905,172.0263,62.9314,106.7135,36.5532,21.9803,37.1995,33.0544,1.1283,8.7707,5.4903,0.9008,0.9633,2.3078,6.9987,0.7824,33.6041,0.4909,7.0311,2.1806,2.5797,1.688,18.8871,0.4603,0.9789,1.275,3.5602,48.8209,4.0099,5.8231,2.4985,4.9597,10.4352,1.4,6.4416,1.9892,8.6533,1.0295,1.2129,1.0008,2.4412,0.7352
173,Urbana,IL,440636,2.37950374573685,3.43008583556955,13.0523292982668,181.7653,68.6609,110.6623,39.5361,21.281,38.4392,27.73,0.3703,8.2733,5.4176,1.2866,1.5277,1.3654,8.5776,1.8193,34.0422,1.5569,7.5888,2.9199,2.9495,1.172,24.3419,1.3511,0.8281,1.027,3.2385,39.3565,5.4513,5.7654,3.6819,4.4457,9.8016,1.2593,7.9398,1.427,7.4522,1.1633,2.3598,0.5779,2.9096,0.759
175,Bloomington,IL,195476,1.99853838028188,2.72044111799527,11.851264817343,161.8495,53.4856,105.8228,33.7154,25.5767,37.8464,7.8563,1.3557,12.3007,6.5351,1.8727,1.7702,2.3122,6.2521,0.1417,27.2204,0.0851,6.5768,3.3743,2.1401,0.1475,16.6562,0.1152,1.5328,1.8841,2.5165,43.5613,1.9952,5.7048,2.7756,2.9894,9.4203,2.5961,4.8463,0.6374,8.9835,0.5838,1.9884,0.9914,4.1721,0.9744
179,Evansville,IN,672555,3.12569832937097,4.41169030515692,18.2435701753239,176.1656,63.7961,109.9348,32.9006,25.2855,41.1847,10.6848,0.6765,11.9745,5.0379,1.5657,1.2338,1.8554,7.0703,0.7887,38.2625,0.4896,7.8455,2.0018,1.7429,0.6515,16.4614,1.2671,1.8204,1.3908,1.8728,57.5371,4.4135,6.6094,2.4556,2.015,9.0465,1.0919,8.4483,1.5338,7.2677,1.3581,1.7271,0.6117,2.569,0.6679
180,Fort Wayne,IN,849967,2.50382167190678,3.84263799138025,13.326618781082,150.5648,53.7969,94.5273,31.73,23.7967,32.1335,10.3453,1.1237,10.6564,5.381,1.5724,1.27,1.3665,6.8144,0.4113,36.4646,0.3682,6.1154,2.6451,2.0973,0.5343,11.1196,0.729,1.7536,1.0098,1.6235,39.3216,3.237,5.6622,2.2799,2.6486,6.5092,1.0615,4.5869,1.0779,8.0684,1.0757,1.9197,0.7564,2.2849,0.254
181,Gary,IN,517772,3.10173182238144,3.88180653999621,16.1804863759747,184.1327,61.6035,120.0571,40.2863,27.2603,43.9172,15.5938,0.8333,13.9572,7.7763,2.7237,1.2544,1.6399,7.7733,0.8367,30.9932,0.3198,7.2725,2.8551,3.0573,1.2163,22.1015,1.015,2.1127,2.1779,3.2744,52.5355,5.1136,7.0338,3.3011,4.5495,8.5336,1.7224,6.5316,1.6227,8.1351,1.4381,2.0611,0.5858,2.7889,0.3304
183,Indianapolis,IN,2738513,2.50579568291051,4.47524856849616,17.4315382329991,199.1646,68.585,128.052,45.6015,28.1512,39.8963,35.1252,0.8838,14.9887,7.0508,1.4212,1.9305,2.194,9.6281,1.1054,33.681,0.9152,6.6707,3.1573,3.1765,1.2607,22.5403,1.204,2.136,1.0943,4.2979,51.5044,4.2593,6.5633,2.6531,4.6255,12.4044,1.6314,8.5469,1.5004,9.0948,1.4601,1.7165,1.109,2.762,1.0604
184,Lafayette,IN,224467,1.96765649870554,2.71223246159595,19.7866254818233,164.1689,59.5039,102.1916,36.2156,25.7011,31.9674,11.8716,0.8525,12.3808,5.1775,1.2805,0.9654,2.1991,7.4645,1.2929,31.0329,0.8901,5.3292,2.2688,1.9513,0.5349,18.352,0.8328,1.8096,1.0343,3.0616,35.739,5.3271,4.6762,1.9428,2.4767,9.8314,1.3873,6.4403,1.394,8.1619,1.2938,1.0656,0.9152,2.3962,0.2319
185,Muncie,IN,166688,2.41372375259377,3.58224045905611,14.297686901625,188.5823,70.5721,115.7049,42.7487,29.512,34.692,28.3249,0.6528,16.5678,4.8334,1.4319,0.9327,4.2139,9.4805,1.1255,37.0618,0.586,6.411,2.9093,1.9293,0.712,22.5724,1.2099,1.2435,1.2505,3.1499,35.3158,3.5961,7.3969,3.3338,7.0751,10.6359,0.862,4.1936,1.745,8.5916,1.6882,2.2732,2.1757,2.2359,0.2012
186,Munster,IN,307773,2.74697554308153,4.492736870924,21.0508289943723,197.4037,63.7475,130.9708,50.3291,29.1109,41.3911,20.5696,0.5458,16.2555,8.1999,3.407,1.6875,2.1094,10.3288,1.7959,26.1227,0.6928,6.0213,3.0906,2.6919,3.7767,26.5064,1.9637,2.5813,1.0603,4.0305,61.1116,6.2923,5.5537,1.8929,4.7766,11.1737,1.5599,7.2378,2.8355,10.9533,1.329,1.5648,1.241,1.7315,0.4313
187,South Bend,IN,707327,2.48097475680598,3.95445676813346,14.3021364996866,169.6854,62.7778,104.3856,33.8826,25.5936,36.1756,13.5734,0.7019,12.3287,4.7929,1.1821,0.6728,1.3487,8.7517,0.662,41.2741,0.3673,7.322,2.2366,1.9472,0.8052,13.5526,0.7613,1.4229,0.815,2.6565,50.3051,3.3453,6.6335,2.7011,4.0545,8.3076,0.8731,6.4648,0.9562,8.3176,1.3598,1.9329,0.9182,2.3954,0.1654
188,Terre Haute,IN,176708,2.87877341801032,4.56666624311576,15.9160137492272,175.0636,67.3133,105.5045,35.4798,26.0939,35.6691,20.6616,1.0677,12.8408,6.7613,1.4753,1.395,1.6898,4.7711,1.0789,41.0693,0.1575,6.5088,2.2092,3.8453,0.2172,18.305,0.2238,0.7184,1.7303,3.3243,47.0811,4.1311,4.7255,2.1244,3.4459,7.4474,1.0226,6.0295,1.0414,10.1822,1.037,3.0449,1.0458,2.1266,0.3582
190,Cedar Rapids,IA,288742,2.58900744084788,4.2058069459136,16.1110984061191,153.0494,57.1289,93.6586,31.963,24.8777,28.3429,25.9884,1.0313,11.6312,5.2744,0.6495,1.115,1.7282,6.2438,0.2063,39.7262,0.2683,3.6584,2.6573,2.3568,0.3064,8.2824,1.0866,0.8207,1.4293,2.9039,30.0079,4.0766,5.0203,2.2318,4.83,9.2422,1.1589,5.938,1.1627,8.1447,1.1429,0.7999,1.3253,1.9322,0.7342
